Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,4.05,1.80,3.15,4.05,86.94,FoodLevelOutOfRange,0,0
2,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.69,1.79,3.14,3.14,89.24,FoodLevelOutOfRange,0,0
3,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,2.24,4.93,1.79,88.79,FoodLevelOutOfRange,0,0
4,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.69,1.35,1.35,2.24,92.38,FoodLevelOutOfRange,0,0
5,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.79,2.69,2.69,1.35,91.48,FoodLevelOutOfRange,0,0
6,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.79,0.45,4.04,0.90,92.83,FoodLevelOutOfRange,0,0
7,224,-0.67,0.00,-1.32,0,0,-15.01,-14.01,0.00,45.38,39,2.69,19.73,1.79,0.45,75.34,FoodLevelOutOfRange,0,0
8,224,-0.60,0.00,-1.32,0,0,-15.01,-14.01,0.00,100.01,0,2.69,1.35,1.79,3.14,91.03,FoodLevelOutOfRange,0,0
9,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,2.24,1.79,2.24,91.48,FoodLevelOutOfRange,0,0
10,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.79,2.69,2.24,2.24,91.03,FoodLevelOutOfRange,0,0
11,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,2.24,1.35,0.90,93.27,FoodLevelOutOfRange,0,0
12,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,0.90,2.69,2.24,0.90,93.27,FoodLevelOutOfRange,0,0
13,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,4.48,1.35,1.79,1.79,90.58,FoodLevelOutOfRange,0,0
14,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.79,1.79,2.69,0.45,93.27,FoodLevelOutOfRange,0,0
15,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,0.90,0.90,3.59,3.14,91.48,FoodLevelOutOfRange,0,0
16,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.69,1.79,0.45,2.24,92.83,FoodLevelOutOfRange,0,0
17,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,0.90,2.24,1.35,94.17,FoodLevelOutOfRange,0,0
18,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.14,0.90,2.24,3.14,90.58,FoodLevelOutOfRange,0,0
19,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,1.79,2.24,1.79,92.83,FoodLevelOutOfRange,0,0
20,224,-0.60,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.61,10,3.59,9.87,2.24,1.35,82.96,FoodLevelOutOfRange,0,0
21,224,-0.60,0.00,-1.21,0,0,-15.01,-14.01,0.00,99.98,0,2.24,2.69,1.79,1.79,91.48,FoodLevelOutOfRange,0,0
22,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,4.48,2.69,2.69,3.14,87.00,FoodLevelOutOfRange,0,0
23,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,1.79,1.35,0.90,94.62,FoodLevelOutOfRange,0,0
24,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,1.79,1.79,0.90,94.17,FoodLevelOutOfRange,0,0
25,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,0.90,3.14,1.79,3.14,91.03,FoodLevelOutOfRange,0,0
26,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,0.90,1.79,2.24,92.83,FoodLevelOutOfRange,0,0
27,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.14,2.24,0.45,2.69,91.48,FoodLevelOutOfRange,0,0
28,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,1.35,1.79,1.35,93.27,FoodLevelOutOfRange,0,0
29,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.59,1.79,4.48,2.69,87.44,FoodLevelOutOfRange,0,0
30,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,0.45,1.79,2.24,94.17,FoodLevelOutOfRange,0,0
31,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.69,1.35,1.79,2.24,91.93,FoodLevelOutOfRange,0,0
32,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.14,1.79,1.79,3.14,90.13,FoodLevelOutOfRange,0,0
33,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.69,2.69,1.35,1.35,91.93,FoodLevelOutOfRange,0,0
34,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.59,2.69,0.90,2.69,90.13,FoodLevelOutOfRange,0,0
35,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,2.24,3.59,1.79,91.03,FoodLevelOutOfRange,0,0
36,224,-0.62,0.00,-1.25,0,0,-15.01,-14.01,0.00,65.14,23,2.24,12.56,2.69,1.35,81.17,FoodLevelOutOfRange,0,0
37,224,-0.60,0.00,-1.25,0,0,-15.01,-14.01,0.00,100.01,0,1.35,4.04,1.35,1.35,91.93,FoodLevelOutOfRange,0,0
38,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,1.79,2.24,2.69,91.93,FoodLevelOutOfRange,0,0
39,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.59,2.69,1.79,1.79,90.13,FoodLevelOutOfRange,0,0
40,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.79,0.00,1.35,3.59,93.27,FoodLevelOutOfRange,0,0
41,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,1.35,2.69,0.90,1.79,93.27,FoodLevelOutOfRange,0,0
42,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,96.51,2,0.90,3.14,1.35,3.59,91.03,FoodLevelOutOfRange,0,0
43,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.69,1.35,1.79,1.35,92.83,FoodLevelOutOfRange,0,0
44,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,1.79,3.14,3.14,89.69,FoodLevelOutOfRange,0,0
45,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,1.35,2.24,0.90,93.27,FoodLevelOutOfRange,0,0
46,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.14,0.90,2.69,1.79,91.48,FoodLevelOutOfRange,0,0
47,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.14,1.79,1.35,3.14,90.58,FoodLevelOutOfRange,0,0
48,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,3.59,2.69,1.79,1.79,90.13,FoodLevelOutOfRange,0,0
49,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,1.35,2.24,4.04,90.13,FoodLevelOutOfRange,0,0
50,224,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,100.01,0,2.24,0.90,1.79,2.24,92.83,FoodLevelOutOfRange,0,0
