Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,94.50,3,3.01,4.41,69.34,3.81,19.44,MaxStepReached,0,0
2,500,-0.44,0.00,-0.87,0,0,-13.74,2.51,0.00,97.39,1,1.80,3.21,65.53,1.60,27.86,MaxStepReached,0,0
3,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.40,2.00,67.54,0.80,28.26,MaxStepReached,0,0
4,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.80,64.53,2.61,29.06,MaxStepReached,0,0
5,500,-0.44,0.00,-0.87,0,0,-13.74,2.51,0.00,91.91,3,1.60,6.01,79.76,1.60,11.02,MaxStepReached,0,0
6,500,-0.44,0.00,-0.87,0,0,-13.74,2.51,0.00,97.14,3,2.40,5.41,67.74,1.20,23.25,MaxStepReached,0,0
7,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,1,1.00,2.40,65.73,2.40,28.46,MaxStepReached,0,0
8,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.80,1.60,64.53,2.00,30.06,MaxStepReached,0,0
9,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.40,66.73,1.60,28.26,MaxStepReached,0,0
10,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.01,3.81,54.31,2.61,36.27,MaxStepReached,0,0
11,500,-0.44,0.00,-0.87,0,0,-13.74,2.51,0.00,96.17,2,0.60,10.62,68.94,1.00,18.84,MaxStepReached,0,0
12,500,-0.44,0.00,-0.87,0,0,-13.74,2.51,0.00,99.46,1,1.80,3.61,67.94,2.61,24.05,MaxStepReached,0,0
13,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.61,1.60,54.51,2.20,39.08,MaxStepReached,0,0
14,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.40,1.00,64.53,2.20,30.86,MaxStepReached,0,0
15,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,98.23,1,2.81,3.21,62.73,2.00,29.26,MaxStepReached,0,0
16,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,3.01,66.93,2.20,25.85,MaxStepReached,0,0
17,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,0.80,3.01,65.33,1.80,29.06,MaxStepReached,0,0
