Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,14.72,1.34,2.34,4.01,77.59,MaxStepReached,0,0
2,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,9.03,2.01,4.68,2.68,81.61,MaxStepReached,0,0
3,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,9.36,2.34,2.34,2.68,83.28,MaxStepReached,0,0
4,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,9.03,2.34,3.34,1.34,83.95,MaxStepReached,0,0
5,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,5.69,2.01,3.01,0.33,88.96,MaxStepReached,0,0
6,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,8.03,1.67,1.34,3.01,85.95,MaxStepReached,0,0
7,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,10.03,2.01,2.68,2.01,83.28,MaxStepReached,0,0
8,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,8.03,3.01,1.34,1.34,86.29,MaxStepReached,0,0
9,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,9.03,3.34,2.34,3.68,81.61,MaxStepReached,0,0
10,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,15.05,1.67,1.67,1.34,80.27,MaxStepReached,0,0
11,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,9.36,0.67,3.34,1.67,84.95,MaxStepReached,0,0
12,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,9.70,2.01,1.00,2.68,84.62,MaxStepReached,0,0
13,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,12.71,1.34,2.34,2.34,81.27,MaxStepReached,0,0
14,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,12.04,1.00,2.34,2.01,82.61,MaxStepReached,0,0
15,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,12.04,1.34,2.01,1.34,83.28,MaxStepReached,0,0
16,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,99.99,0,9.03,3.01,2.01,2.68,83.28,MaxStepReached,0,0
17,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,12.04,2.01,1.67,2.01,82.27,MaxStepReached,0,0
18,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,18.06,2.34,2.34,1.67,75.59,MaxStepReached,0,0
19,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,8.36,2.34,1.34,3.34,84.62,MaxStepReached,0,0
20,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,10.70,2.01,1.34,2.34,83.61,MaxStepReached,0,0
21,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,10.03,1.34,1.34,2.34,84.95,MaxStepReached,0,0
22,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,8.70,1.00,4.01,2.34,83.95,MaxStepReached,0,0
23,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,6.69,0.67,1.67,1.67,89.30,MaxStepReached,0,0
24,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,25.75,2.34,1.67,4.01,66.22,MaxStepReached,0,0
25,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,14.05,2.68,1.34,1.67,80.27,MaxStepReached,0,0
26,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,16.39,2.34,2.68,3.34,75.25,MaxStepReached,0,0
27,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,97.99,2,14.05,3.34,2.01,1.67,78.93,MaxStepReached,0,0
28,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,10.03,3.68,2.01,2.01,82.27,MaxStepReached,0,0
29,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,13.38,1.34,2.01,2.01,81.27,MaxStepReached,0,0
30,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,12.71,1.34,1.00,2.68,82.27,MaxStepReached,0,0
31,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,99.60,0,19.06,2.01,1.67,3.34,73.91,MaxStepReached,0,0
32,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,24.75,2.34,1.00,1.67,70.23,MaxStepReached,0,0
33,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,12.37,1.34,2.68,3.01,80.60,MaxStepReached,0,0
34,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,99.93,0,8.03,1.67,3.01,1.67,85.62,MaxStepReached,0,0
35,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,11.37,1.34,1.34,2.34,83.61,MaxStepReached,0,0
36,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,12.04,2.34,1.67,2.01,81.94,MaxStepReached,0,0
37,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,11.37,1.34,2.01,3.68,81.61,MaxStepReached,0,0
38,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,8.03,0.67,2.01,1.67,87.63,MaxStepReached,0,0
39,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,11.04,1.34,0.00,2.68,84.95,MaxStepReached,0,0
