Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,150,-0.67,0.00,-1.28,0,0,-14.03,-13.35,-15.01,100.01,0,4.03,2.01,4.03,4.70,85.23,ThermoLevelOutOfRange,0,0
2,148,-0.67,0.00,-1.28,0,0,-13.98,-13.32,-15.01,100.01,0,4.08,0.68,0.68,4.08,90.48,ThermoLevelOutOfRange,0,0
3,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.72,2.72,4.76,4.08,85.71,ThermoLevelOutOfRange,0,0
4,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.72,1.36,4.08,2.72,89.12,ThermoLevelOutOfRange,0,0
5,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,3.40,3.40,3.40,2.72,87.07,ThermoLevelOutOfRange,0,0
6,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,1.36,0.68,1.36,2.72,93.88,ThermoLevelOutOfRange,0,0
7,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,1.36,2.72,3.40,2.72,89.80,ThermoLevelOutOfRange,0,0
8,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.72,3.40,3.40,1.36,89.12,ThermoLevelOutOfRange,0,0
9,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.04,0.00,4.08,1.36,92.52,ThermoLevelOutOfRange,0,0
10,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.04,4.76,2.04,0.68,90.48,ThermoLevelOutOfRange,0,0
11,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,3.40,2.72,2.72,2.72,88.44,ThermoLevelOutOfRange,0,0
12,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.72,0.68,0.68,2.04,93.88,ThermoLevelOutOfRange,0,0
13,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.04,1.36,2.04,4.76,89.80,ThermoLevelOutOfRange,0,0
14,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.04,2.72,3.40,2.04,89.80,ThermoLevelOutOfRange,0,0
15,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.72,3.40,0.68,3.40,89.80,ThermoLevelOutOfRange,0,0
16,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.04,2.04,1.36,1.36,93.20,ThermoLevelOutOfRange,0,0
17,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,2.72,4.08,1.36,2.04,89.80,ThermoLevelOutOfRange,0,0
18,148,-0.67,0.00,-1.27,0,0,-13.98,-13.32,-15.01,100.01,0,1.36,2.72,2.04,1.36,92.52,ThermoLevelOutOfRange,0,0
