Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,49,-0.31,0.00,-0.87,0,0,-3.66,6.56,0.00,-67.48,3,6.25,22.92,37.50,6.25,27.08,HealthLevelTooLow,0,0
2,65,-0.12,0.00,-0.87,0,0,-3.86,6.42,0.00,-402.11,9,1.56,34.38,31.25,3.13,29.69,HealthLevelTooLow,0,0
3,25,-0.02,0.00,-0.23,0,0,-3.32,6.78,0.00,-459.99,7,8.33,33.33,50.00,4.17,4.17,HealthLevelTooLow,0,0
4,115,-0.08,0.00,-0.15,1,0,-4.53,5.98,0.00,94.47,1,4.35,31.30,55.65,4.35,3.48,ResourceConsumed,0,0
5,139,-0.16,0.00,-0.22,1,0,-4.86,5.76,0.00,84.74,2,3.60,26.62,55.40,4.32,9.35,ResourceConsumed,0,0
6,38,-0.08,0.00,-0.27,0,0,-3.51,6.66,0.00,-7.03,4,2.70,24.32,45.95,0.00,27.03,HealthLevelTooLow,0,0
7,275,-0.24,-0.10,-0.48,0,0,-6.70,4.53,0.00,-175.51,9,2.55,24.09,69.71,1.82,1.82,HealthLevelTooLow,0,0
8,69,-0.08,-0.05,-0.48,0,0,-3.92,6.39,0.00,-1678.77,24,7.35,41.18,42.65,1.47,7.35,HealthLevelTooLow,0,0
9,25,-0.11,-0.10,-0.23,0,0,-3.32,6.78,0.00,-562.94,9,4.17,50.00,41.67,0.00,4.17,HealthLevelTooLow,0,0
10,82,-0.11,-0.10,-0.23,0,0,-4.09,6.27,0.00,-310.15,6,1.23,55.56,34.57,3.70,4.94,HealthLevelTooLow,0,0
11,29,-0.02,0.00,-0.14,0,0,-3.38,6.75,0.00,-1629.57,22,3.57,21.43,67.86,3.57,3.57,HealthLevelTooLow,0,0
12,29,-0.04,0.00,-0.15,0,0,-3.38,6.75,0.00,-512.17,8,7.14,50.00,35.71,0.00,7.14,HealthLevelTooLow,0,0
13,25,-0.08,-0.05,-0.15,0,0,-3.32,6.78,0.00,-793.20,12,4.17,50.00,41.67,0.00,4.17,HealthLevelTooLow,0,0
14,32,-0.19,-0.10,-0.42,0,0,-3.42,6.72,0.00,-1221.37,17,3.23,41.94,22.58,0.00,32.26,HealthLevelTooLow,0,0
15,301,-0.22,-0.10,-0.42,0,0,-7.04,4.31,0.00,89.69,1,1.67,18.33,77.00,1.00,2.00,MaxStepReached,0,0
16,61,-0.10,0.00,-0.37,0,0,-3.82,6.45,0.00,-169.39,5,1.67,30.00,53.33,1.67,13.33,HealthLevelTooLow,0,0
17,35,-0.06,0.00,-1.09,0,0,-3.46,6.69,0.00,-8.60,4,2.94,32.35,58.82,0.00,5.88,HealthLevelTooLow,0,0
18,39,-0.14,-0.05,-1.09,0,0,-3.51,6.66,0.00,-2009.28,30,5.26,36.84,36.84,0.00,21.05,HealthLevelTooLow,0,0
19,28,-0.11,0.00,-1.00,0,0,-3.36,6.76,0.00,-82.70,3,3.70,48.15,33.33,0.00,14.81,HealthLevelTooLow,0,0
20,29,-0.11,-0.05,-0.24,0,0,-3.38,6.75,0.00,-245.84,6,3.57,42.86,35.71,0.00,17.86,HealthLevelTooLow,0,0
21,25,-0.14,0.00,-0.96,0,0,-3.32,6.78,0.00,-316.41,8,12.50,33.33,41.67,0.00,12.50,HealthLevelTooLow,0,0
22,19,-0.14,-0.05,-0.96,0,0,-3.24,6.84,0.00,-272.93,9,5.56,55.56,22.22,5.56,11.11,HealthLevelTooLow,0,0
23,282,-0.22,0.00,-0.90,0,0,-6.79,4.47,0.00,-981.62,22,2.49,18.51,74.73,2.85,1.42,HealthLevelTooLow,0,0
24,32,-0.14,-0.05,-0.47,0,0,-3.42,6.72,0.00,-1466.90,20,6.45,29.03,41.94,6.45,16.13,HealthLevelTooLow,0,0
25,69,-0.09,-0.05,-0.47,0,0,-3.92,6.39,0.00,-309.73,5,2.94,51.47,41.18,1.47,2.94,HealthLevelTooLow,0,0
26,82,-0.07,0.00,-0.15,0,0,-4.09,6.27,0.00,-1591.04,22,2.47,51.85,40.74,1.23,3.70,HealthLevelTooLow,0,0
27,25,-0.02,0.00,-0.15,0,0,-3.32,6.78,0.00,-221.28,5,4.17,54.17,37.50,0.00,4.17,HealthLevelTooLow,0,0
28,280,-0.21,0.00,-0.36,1,0,-6.75,4.50,0.00,86.55,1,1.79,17.86,76.79,2.14,1.07,ResourceConsumed,0,0
29,301,-0.22,0.00,-0.38,0,0,-7.05,4.30,0.00,87.66,0,2.00,19.00,76.00,1.00,2.00,MaxStepReached,0,0
30,54,-0.09,0.00,-0.38,0,0,-3.73,6.51,0.00,-399.86,6,0.00,26.42,50.94,0.00,22.64,HealthLevelTooLow,0,0
31,90,-0.11,-0.05,-0.22,1,0,-4.19,6.21,0.00,80.88,0,1.11,41.11,38.89,3.33,14.44,ResourceConsumed,0,0
32,69,-0.18,0.00,-1.00,0,0,-3.93,6.38,0.00,-1665.01,26,7.35,20.59,55.88,0.00,16.18,HealthLevelTooLow,0,0
33,29,-0.16,-0.10,-1.04,0,0,-3.38,6.75,0.00,-2200.77,30,7.14,50.00,32.14,3.57,7.14,HealthLevelTooLow,0,0
34,45,-0.11,-0.05,-1.04,0,0,-3.59,6.60,0.00,-239.56,4,9.09,38.64,29.55,2.27,20.45,HealthLevelTooLow,0,0
35,68,-0.09,0.00,-0.26,0,0,-3.90,6.40,0.00,-84.66,5,4.48,32.84,41.79,0.00,20.90,HealthLevelTooLow,0,0
36,301,-0.31,-0.05,-0.44,0,0,-7.04,4.31,0.00,74.88,1,1.33,4.00,57.67,1.67,35.33,MaxStepReached,0,0
37,14,-0.04,0.00,-0.44,0,0,-3.19,6.87,0.00,-379.99,6,0.00,69.23,23.08,0.00,7.69,HealthLevelTooLow,0,0
38,45,-0.06,-0.02,-0.12,0,0,-3.59,6.60,0.00,-230.89,5,2.27,59.09,29.55,4.55,4.55,HealthLevelTooLow,0,0
