Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.01,2.20,63.33,3.81,27.66,MaxStepReached,0,0
2,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.80,2.00,66.53,1.60,28.06,MaxStepReached,0,0
3,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.40,2.00,67.13,0.80,28.66,MaxStepReached,0,0
4,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.80,64.73,2.61,28.86,MaxStepReached,0,0
5,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.60,2.81,65.13,1.60,28.86,MaxStepReached,0,0
6,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.40,2.00,65.33,1.20,29.06,MaxStepReached,0,0
7,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.00,1.40,64.93,2.40,30.26,MaxStepReached,0,0
8,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.80,1.00,65.13,2.00,30.06,MaxStepReached,0,0
9,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.40,65.13,1.60,29.86,MaxStepReached,0,0
10,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.01,2.81,64.13,2.61,27.45,MaxStepReached,0,0
11,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,0.60,2.00,66.13,1.00,30.26,MaxStepReached,0,0
12,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.80,2.20,65.73,2.61,27.66,MaxStepReached,0,0
13,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.61,1.40,65.93,2.20,27.86,MaxStepReached,0,0
14,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.40,1.00,65.13,2.20,30.26,MaxStepReached,0,0
15,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.81,2.61,63.33,2.00,29.26,MaxStepReached,0,0
16,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,2.61,65.53,2.20,27.66,MaxStepReached,0,0
17,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,0.80,3.01,64.73,1.80,29.66,MaxStepReached,0,0
18,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.60,64.93,2.61,28.86,MaxStepReached,0,0
19,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.00,2.20,63.53,3.01,30.26,MaxStepReached,0,0
20,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.20,64.93,2.00,29.86,MaxStepReached,0,0
21,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.40,1.80,63.93,2.00,29.86,MaxStepReached,0,0
22,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.61,2.20,65.13,2.81,27.25,MaxStepReached,0,0
23,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,0.80,0.80,65.33,2.20,30.86,MaxStepReached,0,0
24,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.21,2.20,63.13,2.81,28.66,MaxStepReached,0,0
25,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.80,64.33,2.61,29.26,MaxStepReached,0,0
26,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.40,1.80,65.53,1.20,29.06,MaxStepReached,0,0
27,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.60,2.61,62.73,2.20,30.86,MaxStepReached,0,0
28,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.80,2.81,62.93,2.61,29.86,MaxStepReached,0,0
29,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.40,2.61,64.73,2.81,27.45,MaxStepReached,0,0
30,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.20,1.80,64.93,2.00,30.06,MaxStepReached,0,0
31,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.41,3.21,62.12,1.40,29.86,MaxStepReached,0,0
32,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.40,2.20,64.33,1.60,29.46,MaxStepReached,0,0
33,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.40,1.00,64.53,1.80,30.26,MaxStepReached,0,0
34,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.60,1.60,65.53,1.80,29.46,MaxStepReached,0,0
35,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.01,1.60,63.93,2.00,29.46,MaxStepReached,0,0
36,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.40,2.00,66.33,2.20,28.06,MaxStepReached,0,0
37,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.00,1.60,64.53,1.80,30.06,MaxStepReached,0,0
38,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,2.40,1.40,65.33,1.60,29.26,MaxStepReached,0,0
39,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,1.40,1.80,67.54,1.00,28.26,MaxStepReached,0,0
