Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,500,-0.32,0.00,-0.67,0,0,0.26,-11.49,0.00,81.00,7,9.82,4.81,2.81,3.81,78.76,MaxStepReached,0,0
2,500,-0.32,0.00,-0.70,0,0,0.26,-11.49,0.00,71.48,20,5.41,7.01,3.01,2.61,81.96,MaxStepReached,0,0
3,500,-0.32,0.00,-0.70,0,0,0.26,-11.49,0.00,100.00,0,4.81,2.81,3.61,0.80,87.98,MaxStepReached,0,0
4,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,94.58,0,5.01,9.42,1.40,2.61,81.56,MaxStepReached,0,0
5,500,-0.33,0.00,-0.69,0,0,0.26,-11.49,0.00,73.62,19,18.04,6.81,2.00,1.60,71.54,MaxStepReached,0,0
6,500,-0.32,0.00,-0.73,0,0,0.26,-11.49,0.00,64.27,24,7.62,11.02,2.20,1.60,77.56,MaxStepReached,0,0
7,500,-0.32,0.00,-0.73,0,0,0.26,-11.49,0.00,80.55,14,12.63,4.81,2.61,2.40,77.56,MaxStepReached,0,0
8,500,-0.32,0.00,-0.67,0,0,0.26,-11.49,0.00,99.81,0,5.81,6.01,1.80,2.00,84.37,MaxStepReached,0,0
9,500,-0.32,0.00,-0.74,0,0,0.26,-11.49,0.00,63.48,21,6.41,6.41,2.20,1.60,83.37,MaxStepReached,0,0
10,500,-0.32,0.00,-0.74,0,0,0.26,-11.49,0.00,98.45,0,6.21,7.82,2.20,2.61,81.16,MaxStepReached,0,0
11,500,-0.32,0.00,-0.70,0,0,0.26,-11.49,0.00,72.09,13,12.42,6.21,1.80,1.00,78.56,MaxStepReached,0,0
12,500,-0.33,0.00,-0.82,0,0,0.26,-11.49,0.00,49.28,25,8.42,7.82,1.20,2.61,79.96,MaxStepReached,0,0
13,500,-0.32,0.00,-0.82,0,0,0.26,-11.49,0.00,90.94,6,5.41,4.61,2.81,2.20,84.97,MaxStepReached,0,0
14,500,-0.32,0.00,-0.65,0,0,0.26,-11.49,0.00,95.16,3,4.41,4.81,1.80,2.20,86.77,MaxStepReached,0,0
15,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,92.54,3,4.61,12.83,1.60,2.00,78.96,MaxStepReached,0,0
16,500,-0.32,0.00,-0.67,0,0,0.26,-11.49,0.00,81.74,17,4.61,13.83,2.81,3.01,75.75,MaxStepReached,0,0
17,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,77.34,16,6.41,6.41,1.60,1.80,83.77,MaxStepReached,0,0
18,500,-0.33,0.00,-1.11,0,0,0.26,-11.49,0.00,8.74,2,5.01,5.01,1.60,2.61,85.77,MaxStepReached,0,0
19,500,-0.36,0.00,-1.11,0,0,0.26,-11.49,0.00,56.28,22,24.65,6.61,1.20,3.01,64.53,MaxStepReached,0,0
20,500,-0.32,0.00,-0.77,0,0,0.26,-11.49,0.00,74.61,17,4.81,9.02,2.61,2.00,81.56,MaxStepReached,0,0
21,500,-0.33,0.00,-0.71,0,0,0.26,-11.49,0.00,69.15,22,11.62,6.41,2.20,2.00,77.76,MaxStepReached,0,0
22,500,-0.32,0.00,-0.71,0,0,0.26,-11.49,0.00,75.88,6,9.42,7.62,1.80,2.81,78.36,MaxStepReached,0,0
23,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,81.57,7,5.21,3.41,1.40,2.20,87.78,MaxStepReached,0,0
24,500,-0.33,0.00,-0.70,0,0,0.26,-11.49,0.00,70.60,14,9.22,6.81,1.60,2.81,79.56,MaxStepReached,0,0
25,500,-0.32,0.00,-0.70,0,0,0.26,-11.49,0.00,91.75,5,4.61,8.42,2.40,2.61,81.96,MaxStepReached,0,0
26,500,-0.32,0.00,-0.65,0,0,0.26,-11.49,0.00,87.87,1,6.21,11.62,2.61,1.20,78.36,MaxStepReached,0,0
27,500,-0.32,0.00,-0.65,0,0,0.26,-11.49,0.00,90.84,1,3.21,7.01,1.20,2.20,86.37,MaxStepReached,0,0
28,500,-0.33,0.00,-0.68,0,0,0.26,-11.49,0.00,75.52,2,12.22,12.63,1.40,2.61,71.14,MaxStepReached,0,0
29,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,100.00,0,6.21,2.81,1.80,2.81,86.37,MaxStepReached,0,0
30,500,-0.33,0.00,-0.68,0,0,0.26,-11.49,0.00,75.78,8,21.84,3.21,2.00,2.00,70.94,MaxStepReached,0,0
31,500,-0.32,0.00,-0.70,0,0,0.26,-11.49,0.00,72.34,12,10.62,14.23,2.81,1.40,70.94,MaxStepReached,0,0
32,500,-0.32,0.00,-0.70,0,0,0.26,-11.49,0.00,83.60,19,9.02,7.41,1.80,1.60,80.16,MaxStepReached,0,0
33,500,-0.32,0.00,-0.66,0,0,0.26,-11.49,0.00,93.54,1,5.21,8.22,2.81,1.80,81.96,MaxStepReached,0,0
34,500,-0.32,0.00,-0.69,0,0,0.26,-11.49,0.00,73.10,19,6.41,6.41,2.20,1.80,83.17,MaxStepReached,0,0
35,500,-0.32,0.00,-0.69,0,0,0.26,-11.49,0.00,100.00,0,6.61,1.80,1.40,2.00,88.18,MaxStepReached,0,0
36,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,5.41,2.20,2.00,2.20,88.18,MaxStepReached,0,0
37,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,99.92,0,6.21,3.21,1.40,1.80,87.37,MaxStepReached,0,0
38,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,75.44,11,8.42,4.61,1.00,1.60,84.37,MaxStepReached,0,0
39,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,76.76,7,6.61,13.03,2.61,1.00,76.75,MaxStepReached,0,0
40,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,83.34,0,4.81,10.02,1.40,2.40,81.36,MaxStepReached,0,0
41,500,-0.33,0.00,-0.72,0,0,0.26,-11.49,0.00,66.68,12,16.03,8.02,1.60,2.40,71.94,MaxStepReached,0,0
42,500,-0.32,0.00,-0.72,0,0,0.26,-11.49,0.00,99.05,2,6.21,6.61,2.40,2.81,81.96,MaxStepReached,0,0
43,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,94.91,0,5.21,7.82,2.61,1.20,83.17,MaxStepReached,0,0
44,500,-0.36,0.00,-1.15,0,0,0.26,-11.49,0.00,4.97,67,10.62,16.03,1.80,1.20,70.34,MaxStepReached,0,0
45,500,-0.32,0.00,-1.15,0,0,0.26,-11.49,0.00,98.84,0,4.61,5.81,1.80,2.00,85.77,MaxStepReached,0,0
46,500,-0.32,0.00,-0.66,0,0,0.26,-11.49,0.00,84.57,9,6.81,12.63,1.60,4.21,74.75,MaxStepReached,0,0
47,500,-0.32,0.00,-0.66,0,0,0.26,-11.49,0.00,100.00,0,4.41,2.40,1.40,1.80,89.98,MaxStepReached,0,0
48,500,-0.32,0.00,-0.67,0,0,0.26,-11.49,0.00,80.49,7,14.63,2.61,1.80,2.20,78.76,MaxStepReached,0,0
49,500,-0.32,0.00,-0.67,0,0,0.26,-11.49,0.00,94.31,4,5.61,3.21,1.40,2.00,87.78,MaxStepReached,0,0
50,500,-0.32,0.00,-0.65,0,0,0.26,-11.49,0.00,91.53,1,10.62,10.82,1.20,2.20,75.15,MaxStepReached,0,0
51,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,76.63,1,3.81,13.03,1.20,2.40,79.56,MaxStepReached,0,0
52,500,-0.32,0.00,-0.68,0,0,0.26,-11.49,0.00,83.74,8,5.01,6.41,1.60,3.21,83.77,MaxStepReached,0,0
