Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,300,-0.27,0.00,-0.52,0,0,-11.04,4.31,0.00,95.38,1,6.69,13.04,2.34,4.01,73.91,MaxStepReached,0,0
2,32,-0.07,0.00,-0.52,0,1,-7.42,6.72,0.00,73.87,2,3.13,78.13,3.13,6.25,6.25,ResourceConsumed,0,0
3,301,-0.52,-0.13,-1.09,0,0,-11.05,7.30,0.00,3.79,43,15.00,52.00,5.33,2.00,25.67,MaxStepReached,0,0
4,300,-0.27,0.00,-1.09,0,0,-11.04,4.31,0.00,97.62,3,10.37,8.36,1.67,2.34,77.26,MaxStepReached,0,0
5,300,-0.27,0.00,-0.52,0,0,-11.04,4.31,0.00,95.46,3,13.71,8.36,3.68,1.00,73.24,MaxStepReached,0,0
6,39,-0.06,0.00,-0.52,0,1,-7.51,6.66,0.00,81.18,7,5.13,89.74,0.00,0.00,2.56,ResourceConsumed,0,0
7,135,-0.28,-0.13,-1.03,0,0,-8.82,8.79,0.00,-2.26,44,2.24,91.79,3.73,0.75,1.49,HealthLevelTooLow,0,0
8,301,-0.26,0.00,-1.03,0,0,-11.04,4.31,0.00,100.00,2,10.00,11.33,1.67,1.00,76.00,MaxStepReached,0,0
9,77,-0.07,0.00,-0.52,0,1,-8.03,6.32,0.00,100.00,0,41.56,35.06,1.30,5.19,15.58,ResourceConsumed,0,0
10,301,-0.51,-0.13,-0.97,0,0,-11.05,7.30,0.00,17.76,88,28.00,47.33,2.67,2.00,20.00,MaxStepReached,0,0
11,300,-0.26,0.00,-0.97,0,0,-11.04,4.31,0.00,98.49,3,1.67,18.06,1.00,1.67,77.59,MaxStepReached,0,0
12,300,-0.27,0.00,-0.53,0,0,-11.04,4.31,0.00,89.49,7,8.03,12.04,2.34,1.34,76.25,MaxStepReached,0,0
13,300,-0.26,0.00,-0.53,0,0,-11.04,4.31,0.00,95.88,5,10.37,9.36,2.01,1.34,76.92,MaxStepReached,0,0
14,147,-0.13,0.00,-0.52,0,1,-8.97,5.69,0.00,98.42,3,19.05,17.69,2.72,0.68,59.18,ResourceConsumed,0,0
15,301,-0.29,-0.13,-0.53,0,0,-11.05,7.30,0.00,84.51,5,27.67,32.67,2.67,2.67,34.33,MaxStepReached,0,0
16,300,-0.26,0.00,-0.53,0,0,-11.04,4.31,0.00,100.00,0,11.04,7.69,1.67,1.67,77.93,MaxStepReached,0,0
17,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,98.54,2,13.71,7.36,2.01,3.01,73.91,MaxStepReached,0,0
18,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,100.00,1,5.69,14.38,2.34,1.34,76.25,MaxStepReached,0,0
19,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,99.76,2,8.03,16.72,1.34,2.01,71.91,MaxStepReached,0,0
20,300,-0.27,0.00,-0.52,0,0,-11.04,4.31,0.00,94.41,4,14.05,10.37,3.01,3.01,69.57,MaxStepReached,0,0
21,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,97.78,2,13.71,9.70,2.01,0.67,73.91,MaxStepReached,0,0
22,300,-0.27,0.00,-0.54,0,0,-11.04,4.31,0.00,86.85,7,15.72,11.04,1.67,1.67,69.90,MaxStepReached,0,0
23,300,-0.92,0.00,-1.07,0,0,-11.04,4.31,0.00,6.50,19,1.34,19.06,1.34,3.01,75.25,MaxStepReached,0,0
24,33,-0.07,0.00,-1.07,0,1,-7.43,6.71,0.00,81.20,5,9.09,84.85,0.00,0.00,3.03,ResourceConsumed,0,0
25,301,-0.31,-0.13,-0.57,0,0,-11.05,7.30,0.00,73.72,10,8.67,49.33,1.00,2.67,38.33,MaxStepReached,0,0
26,15,-0.05,0.00,-0.57,0,1,-7.19,6.87,0.00,100.00,0,0.00,86.67,0.00,0.00,6.67,ResourceConsumed,0,0
27,301,-0.35,-0.02,-0.59,0,0,-11.05,7.30,0.00,69.90,30,20.33,36.67,4.00,1.67,37.33,MaxStepReached,0,0
28,300,-0.26,0.00,-0.59,0,0,-11.04,4.31,0.00,97.72,5,0.67,12.71,2.01,2.34,82.27,MaxStepReached,0,0
29,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,98.10,2,8.70,9.03,1.00,2.68,78.60,MaxStepReached,0,0
30,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,93.98,4,8.36,13.04,1.67,2.01,74.92,MaxStepReached,0,0
31,142,-0.13,0.00,-0.52,0,1,-8.90,5.73,0.00,92.58,2,2.11,59.15,2.11,2.11,33.80,ResourceConsumed,0,0
32,301,-0.28,-0.13,-0.51,0,0,-11.05,7.30,0.00,91.82,4,31.33,33.33,2.67,2.33,30.33,MaxStepReached,0,0
33,27,-0.06,0.00,-0.51,0,1,-7.35,6.77,0.00,73.20,3,3.70,88.89,0.00,0.00,3.70,ResourceConsumed,0,0
34,136,-0.44,-0.13,-1.02,0,0,-8.84,8.78,0.00,-0.58,68,15.56,76.30,3.70,1.48,2.96,HealthLevelTooLow,0,0
35,23,-0.06,0.00,-1.02,0,1,-7.28,6.81,0.00,100.00,0,17.39,73.91,0.00,0.00,4.35,ResourceConsumed,0,0
36,301,-0.54,-0.04,-0.93,0,0,-11.05,7.30,0.00,21.46,85,3.33,68.00,1.00,1.33,26.33,MaxStepReached,0,0
37,300,-0.27,0.00,-0.93,0,0,-11.04,4.31,0.00,96.84,4,10.37,8.70,2.68,3.01,75.25,MaxStepReached,0,0
38,300,-0.27,0.00,-0.52,0,0,-11.04,4.31,0.00,94.72,6,2.01,14.38,1.34,2.34,79.93,MaxStepReached,0,0
39,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,98.83,0,1.00,19.06,1.00,2.01,76.92,MaxStepReached,0,0
40,300,-0.27,0.00,-0.52,0,0,-11.04,4.31,0.00,94.97,3,3.68,12.37,1.00,3.68,79.26,MaxStepReached,0,0
41,300,-0.28,0.00,-0.53,0,0,-11.04,4.31,0.00,90.48,14,5.02,12.37,3.01,1.67,77.93,MaxStepReached,0,0
42,300,-0.26,0.00,-0.53,0,0,-11.04,4.31,0.00,96.34,4,3.68,14.72,3.01,2.34,76.25,MaxStepReached,0,0
43,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,97.65,3,14.05,7.36,1.00,1.34,76.25,MaxStepReached,0,0
44,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,98.14,2,12.37,8.70,2.01,3.01,73.91,MaxStepReached,0,0
45,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,99.44,1,14.05,8.03,2.01,3.01,72.91,MaxStepReached,0,0
46,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,100.00,0,8.36,8.36,2.01,2.34,78.93,MaxStepReached,0,0
47,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,100.00,2,10.37,8.36,0.33,2.68,78.26,MaxStepReached,0,0
48,300,-0.26,0.00,-0.52,0,0,-11.04,4.31,0.00,93.77,10,10.37,10.70,1.34,3.01,74.58,MaxStepReached,0,0
