Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,153,-0.28,0.00,-1.01,0,0,4.93,-8.38,0.00,-1.17,47,3.95,80.92,9.21,3.95,1.97,HealthLevelTooLow,0,0
2,301,-0.19,0.00,-1.01,0,0,2.96,-9.69,0.00,97.44,1,79.67,9.67,4.67,3.33,2.67,MaxStepReached,0,0
3,300,-0.19,0.00,-0.39,0,0,2.96,-9.69,0.00,95.41,4,59.20,31.44,5.35,2.01,2.01,MaxStepReached,0,0
4,300,-0.19,0.00,-0.39,0,0,2.96,-9.69,0.00,95.21,2,82.27,9.36,3.68,2.01,2.68,MaxStepReached,0,0
5,101,-0.25,0.00,-0.99,0,0,5.64,-7.91,0.00,-0.68,28,19.00,70.00,8.00,0.00,3.00,HealthLevelTooLow,0,0
6,115,-0.26,0.00,-1.01,0,0,5.46,-8.03,0.00,-1.84,50,14.04,76.32,7.89,0.88,0.88,HealthLevelTooLow,0,0
7,302,-1.12,0.00,-1.86,0,0,-9.48,5.34,0.00,95.28,0,7.67,47.67,3.67,1.00,40.00,MaxStepReached,1,1
8,300,-0.46,0.00,-1.72,0,0,2.96,-9.69,0.00,6.40,40,2.01,72.58,21.07,3.01,1.34,MaxStepReached,0,0
9,300,-0.69,0.00,-1.01,0,0,2.96,-9.69,0.00,7.14,105,2.68,76.59,17.73,1.67,1.34,MaxStepReached,0,0
10,300,-0.20,0.00,-1.00,0,0,2.96,-9.69,0.00,97.23,3,68.23,26.42,2.68,1.67,1.00,MaxStepReached,0,0
11,300,-0.24,0.00,-0.60,0,0,2.96,-9.69,0.00,54.34,19,51.84,38.46,6.02,1.34,2.34,MaxStepReached,0,0
12,300,-0.25,0.00,-0.60,0,0,2.96,-9.69,0.00,56.93,20,49.16,40.80,6.69,1.00,2.34,MaxStepReached,0,0
13,188,-0.31,0.00,-1.03,0,0,4.46,-8.69,0.00,-2.00,35,15.51,54.55,6.42,2.14,21.39,HealthLevelTooLow,0,0
14,301,-0.20,0.00,-1.03,0,0,2.96,-9.69,0.00,97.02,3,81.33,10.33,2.67,2.33,3.33,MaxStepReached,0,0
15,301,-0.56,0.00,-1.88,0,0,-7.92,6.39,0.00,73.35,13,24.41,45.15,9.03,2.01,19.40,MaxStepReached,1,1
16,301,-0.37,0.00,-1.86,0,0,-7.47,6.69,0.00,100.00,0,68.23,21.40,5.02,2.34,3.01,MaxStepReached,1,1
17,301,-0.45,0.00,-1.88,0,0,-7.51,6.66,0.00,73.26,21,31.10,47.16,8.36,1.34,12.04,MaxStepReached,1,1
18,134,-0.27,0.00,-1.85,0,0,5.19,-8.21,0.00,-2.48,30,19.55,66.17,7.52,2.26,4.51,HealthLevelTooLow,0,0
19,301,-0.42,0.00,-1.01,0,0,2.96,-9.69,0.00,6.73,42,34.33,43.67,13.33,2.33,6.33,MaxStepReached,0,0
20,300,-0.20,0.00,-1.01,0,0,2.96,-9.69,0.00,98.37,2,66.89,22.07,8.03,1.34,1.67,MaxStepReached,0,0
21,300,-0.20,0.00,-0.39,0,0,2.96,-9.69,0.00,93.35,3,80.27,11.04,3.01,1.67,4.01,MaxStepReached,0,0
22,300,-0.19,0.00,-0.39,0,0,2.96,-9.69,0.00,100.00,2,83.61,8.70,3.34,2.68,1.67,MaxStepReached,0,0
23,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,2,81.94,10.37,2.68,3.01,2.01,MaxStepReached,0,0
24,104,-0.25,0.00,-1.01,0,0,5.60,-7.94,0.00,-2.03,42,6.80,81.55,7.77,0.97,2.91,HealthLevelTooLow,0,0
25,302,-1.33,0.00,-1.86,0,0,-10.04,4.98,0.00,98.58,0,5.67,30.00,6.00,2.00,56.33,MaxStepReached,1,1
26,300,-0.20,0.00,-1.69,0,0,2.96,-9.69,0.00,100.00,1,81.94,9.70,3.34,2.01,3.01,MaxStepReached,0,0
27,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,98.54,2,80.27,9.36,3.34,3.01,4.01,MaxStepReached,0,0
28,148,-0.23,0.00,-1.00,0,0,5.00,-8.33,0.00,-0.45,47,7.48,80.27,6.80,1.36,4.08,HealthLevelTooLow,0,0
29,301,-0.20,0.00,-1.00,0,0,2.96,-9.69,0.00,95.72,2,54.67,40.00,2.67,2.00,0.67,MaxStepReached,0,0
30,301,-0.30,0.00,-1.87,0,0,-7.26,6.83,0.00,79.97,11,36.45,46.82,10.03,2.34,4.35,MaxStepReached,1,1
31,108,-0.29,0.00,-1.86,0,0,5.54,-7.97,0.00,-0.29,48,0.93,85.98,8.41,1.87,2.80,HealthLevelTooLow,0,0
32,301,-0.19,0.00,-0.99,0,0,2.96,-9.69,0.00,98.83,2,80.67,11.67,2.33,1.33,4.00,MaxStepReached,0,0
33,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,98.97,2,80.60,8.70,4.01,3.01,3.68,MaxStepReached,0,0
34,169,-0.23,0.00,-1.00,0,0,4.72,-8.52,0.00,-0.13,40,17.26,73.21,5.36,0.60,3.57,HealthLevelTooLow,0,0
35,301,-0.29,0.00,-1.00,0,0,2.96,-9.69,0.00,23.95,33,44.67,44.00,6.33,3.33,1.67,MaxStepReached,0,0
36,300,-0.19,0.00,-0.85,0,0,2.96,-9.69,0.00,98.45,3,78.93,12.37,3.01,3.01,2.68,MaxStepReached,0,0
37,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,98.80,1,81.94,9.03,3.01,1.34,4.68,MaxStepReached,0,0
38,152,-0.35,0.00,-1.01,0,0,4.95,-8.37,0.00,-2.18,22,1.99,81.46,7.95,3.31,5.30,HealthLevelTooLow,0,0
39,154,-0.31,0.00,-1.01,0,0,4.93,-8.38,0.00,-0.03,34,17.65,69.28,7.84,3.27,1.96,HealthLevelTooLow,0,0
40,301,-0.50,0.00,-0.99,0,0,2.96,-9.69,0.00,16.84,38,19.33,56.67,12.00,1.33,10.67,MaxStepReached,0,0
41,183,-0.28,0.00,-1.02,0,0,4.53,-8.65,0.00,-0.94,38,2.75,90.11,5.49,1.10,0.55,HealthLevelTooLow,0,0
42,301,-0.19,0.00,-1.02,0,0,2.96,-9.69,0.00,100.00,1,83.00,8.33,4.00,3.00,1.67,MaxStepReached,0,0
43,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,81.61,9.03,3.34,3.34,2.68,MaxStepReached,0,0
44,301,-0.56,0.00,-1.86,0,0,-8.00,6.33,0.00,99.06,1,31.10,52.17,4.68,2.01,10.03,MaxStepReached,1,1
45,300,-0.20,0.00,-1.80,0,0,2.96,-9.69,0.00,96.12,3,82.94,8.36,3.68,2.68,2.34,MaxStepReached,0,0
46,300,-0.19,0.00,-0.39,0,0,2.96,-9.69,0.00,98.92,1,81.27,9.70,3.01,3.01,3.01,MaxStepReached,0,0
47,301,-0.90,0.00,-1.86,0,0,-8.90,5.73,0.00,98.64,0,22.41,37.79,5.69,2.01,32.11,MaxStepReached,1,1
48,167,-0.40,0.00,-1.75,0,0,4.75,-8.50,0.00,-0.67,106,10.84,77.11,3.01,2.41,6.63,HealthLevelTooLow,0,0
49,301,-0.42,0.00,-1.02,0,0,2.96,-9.69,0.00,43.94,43,5.67,82.67,7.33,1.67,2.67,MaxStepReached,0,0
50,163,-0.22,0.00,-1.01,0,0,4.80,-8.47,0.00,-0.93,49,20.99,66.67,6.79,2.47,3.09,HealthLevelTooLow,0,0
51,190,-0.21,0.00,-1.02,0,0,4.45,-8.70,0.00,-0.74,36,28.04,63.49,5.82,1.59,1.06,HealthLevelTooLow,0,0
52,301,-0.20,0.00,-1.02,0,0,2.96,-9.69,0.00,92.58,4,75.33,15.33,3.00,2.33,4.00,MaxStepReached,0,0
53,300,-0.22,0.00,-0.43,0,0,2.96,-9.69,0.00,80.63,7,86.96,9.36,0.67,0.67,2.34,MaxStepReached,0,0
54,301,-0.89,0.00,-1.88,0,0,-8.80,5.80,0.00,72.79,13,2.01,54.18,5.02,3.68,35.12,MaxStepReached,1,1
55,235,-0.31,0.00,-1.86,0,1,-7.30,6.80,0.00,90.65,4,47.86,40.17,5.56,2.14,3.85,ResourceConsumed,1,1
56,301,-0.25,-0.18,-1.85,0,0,2.95,-6.70,0.00,99.77,3,78.33,10.67,2.00,3.00,6.00,MaxStepReached,0,0
57,150,-0.23,0.00,-1.01,0,0,4.97,-8.35,0.00,-1.29,40,3.36,85.23,7.38,2.01,2.01,HealthLevelTooLow,0,0
58,301,-0.41,0.00,-1.01,0,0,2.96,-9.69,0.00,11.79,41,34.67,38.00,5.67,2.67,19.00,MaxStepReached,0,0
59,24,-0.05,0.00,-0.96,1,0,6.69,-7.21,0.00,100.00,0,0.00,87.50,4.17,0.00,4.17,ResourceConsumed,0,0
60,77,-0.48,-0.03,-1.00,0,0,8.96,-7.69,0.00,-1.97,48,1.32,90.79,2.63,2.63,2.63,HealthLevelTooLow,0,0
61,302,-1.31,0.00,-1.86,0,0,-9.98,5.01,0.00,95.29,3,17.67,26.33,6.00,2.00,48.00,MaxStepReached,1,1
62,300,-0.20,0.00,-1.69,0,0,2.96,-9.69,0.00,93.98,3,79.93,16.05,1.67,0.33,2.01,MaxStepReached,0,0
63,300,-0.19,0.00,-0.39,0,0,2.96,-9.69,0.00,100.00,0,66.56,25.08,3.01,2.34,3.01,MaxStepReached,0,0
64,145,-0.34,0.00,-1.00,0,0,5.04,-8.30,0.00,-0.22,66,2.78,86.81,6.25,1.39,2.78,HealthLevelTooLow,0,0
65,301,-0.19,0.00,-1.00,0,0,2.96,-9.69,0.00,100.00,0,66.67,22.33,7.00,2.00,2.00,MaxStepReached,0,0
66,300,-0.25,0.00,-0.64,0,0,2.96,-9.69,0.00,48.24,19,20.40,70.90,4.68,1.67,2.34,MaxStepReached,0,0
67,188,-0.28,0.00,-1.02,0,0,4.46,-8.69,0.00,-1.15,47,0.53,87.17,6.42,2.14,3.74,HealthLevelTooLow,0,0
68,301,-0.20,0.00,-1.02,0,0,2.96,-9.69,0.00,95.85,3,77.00,15.00,3.33,2.67,2.00,MaxStepReached,0,0
69,300,-0.19,0.00,-0.39,0,0,2.96,-9.69,0.00,95.45,2,82.27,11.04,2.68,1.67,2.34,MaxStepReached,0,0
70,301,-1.04,0.00,-2.04,0,0,-8.66,5.89,0.00,18.64,38,1.67,51.51,3.68,1.67,41.47,MaxStepReached,1,1
71,300,-0.24,0.00,-1.94,0,0,2.96,-9.69,0.00,50.35,19,33.11,57.53,5.02,2.01,2.34,MaxStepReached,0,0
72,300,-0.19,0.00,-0.63,0,0,2.96,-9.69,0.00,98.87,2,74.58,9.36,2.34,2.34,11.37,MaxStepReached,0,0
73,101,-0.18,0.00,-1.00,0,0,5.64,-7.91,0.00,-0.93,14,34.00,56.00,8.00,0.00,2.00,HealthLevelTooLow,0,0
74,301,-0.27,0.00,-1.00,0,0,2.96,-9.69,0.00,45.99,15,14.33,75.33,5.67,2.33,2.33,MaxStepReached,0,0
75,300,-0.41,0.00,-0.96,0,0,2.96,-9.69,0.00,12.25,49,39.80,32.78,4.01,1.00,22.41,MaxStepReached,0,0
76,300,-0.19,0.00,-0.96,0,0,2.96,-9.69,0.00,100.00,0,46.15,46.15,4.68,0.33,2.68,MaxStepReached,0,0
77,198,-0.27,0.00,-1.02,0,0,4.33,-8.78,0.00,-1.31,58,6.09,83.25,6.09,2.03,2.54,HealthLevelTooLow,0,0
78,301,-0.21,0.00,-1.02,0,0,2.96,-9.69,0.00,94.00,4,80.67,10.00,3.67,3.67,2.00,MaxStepReached,0,0
79,153,-0.22,0.00,-1.02,0,0,4.93,-8.38,0.00,-1.86,38,37.50,53.29,5.92,0.66,2.63,HealthLevelTooLow,0,0
80,301,-0.24,0.00,-1.02,0,0,2.96,-9.69,0.00,82.13,11,41.00,50.33,3.67,2.67,2.33,MaxStepReached,0,0
81,190,-0.23,0.00,-1.02,0,0,4.43,-8.71,0.00,-0.61,48,35.45,55.03,5.82,1.59,2.12,HealthLevelTooLow,0,0
82,301,-0.20,0.00,-1.02,0,0,2.96,-9.69,0.00,97.70,3,78.33,11.00,3.00,2.33,5.33,MaxStepReached,0,0
83,301,-1.35,0.00,-1.86,0,0,-10.06,4.96,0.00,97.83,1,5.69,29.10,5.35,2.34,57.53,MaxStepReached,1,1
84,300,-0.28,0.00,-1.68,0,0,2.96,-9.69,0.00,40.87,10,50.84,42.81,4.35,1.00,1.00,MaxStepReached,0,0
85,300,-0.37,0.00,-0.88,0,0,2.96,-9.69,0.00,20.23,37,15.72,69.90,9.36,2.01,3.01,MaxStepReached,0,0
86,300,-0.27,0.00,-0.88,0,0,2.96,-9.69,0.00,33.92,26,47.83,45.15,3.68,1.00,2.34,MaxStepReached,0,0
87,301,-0.54,0.00,-1.86,0,0,-7.95,6.37,0.00,97.68,2,59.87,25.75,4.01,2.01,8.36,MaxStepReached,1,1
88,300,-0.43,0.00,-1.80,0,0,2.96,-9.69,0.00,10.60,47,12.04,62.54,6.35,2.68,16.39,MaxStepReached,0,0
89,300,-0.20,0.00,-0.97,0,0,2.96,-9.69,0.00,91.45,6,77.93,13.04,3.68,2.68,2.68,MaxStepReached,0,0
90,301,-1.21,0.00,-1.86,0,0,-9.70,5.20,0.00,89.53,6,8.70,25.42,5.02,2.34,58.53,MaxStepReached,1,1
91,300,-0.20,0.00,-1.71,0,0,2.96,-9.69,0.00,99.97,1,83.61,9.70,2.68,2.01,2.01,MaxStepReached,0,0
92,301,-0.64,0.00,-1.86,0,0,-8.20,6.20,0.00,99.09,1,31.44,39.80,4.68,2.34,21.74,MaxStepReached,1,1
93,300,-0.20,0.00,-1.79,0,0,2.96,-9.69,0.00,100.00,1,77.26,16.05,2.01,1.67,3.01,MaxStepReached,0,0
94,102,-0.23,0.00,-0.99,0,0,5.62,-7.92,0.00,-1.21,9,2.97,69.31,10.89,3.96,12.87,HealthLevelTooLow,0,0
95,180,-0.49,0.00,-1.02,0,0,4.58,-8.61,0.00,-3.14,25,3.35,86.59,6.15,2.23,1.68,HealthLevelTooLow,0,0
96,301,-0.19,0.00,-1.02,0,0,2.96,-9.69,0.00,99.35,1,85.33,9.00,2.33,1.67,1.67,MaxStepReached,0,0
97,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,97.68,1,59.20,32.78,3.34,2.34,2.34,MaxStepReached,0,0
98,300,-0.37,0.00,-0.97,0,0,2.96,-9.69,0.00,10.81,37,7.69,64.88,5.69,3.01,18.73,MaxStepReached,0,0
99,137,-0.23,0.00,-1.01,0,0,5.15,-8.23,0.00,-1.91,44,13.97,78.68,5.88,0.74,0.74,HealthLevelTooLow,0,0
100,301,-0.20,0.00,-1.01,0,0,2.96,-9.69,0.00,93.65,5,80.00,11.33,2.33,2.33,4.00,MaxStepReached,0,0
101,300,-0.19,0.00,-0.39,0,0,2.96,-9.69,0.00,97.01,2,80.27,9.03,5.02,4.01,1.67,MaxStepReached,0,0
102,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,98.33,2,76.25,9.70,2.34,0.67,11.04,MaxStepReached,0,0
103,300,-0.40,0.00,-0.98,0,0,2.96,-9.69,0.00,9.84,43,39.46,43.48,13.71,1.67,1.67,MaxStepReached,0,0
104,300,-0.20,0.00,-0.98,0,0,2.96,-9.69,0.00,96.33,3,69.57,11.37,2.68,1.67,14.72,MaxStepReached,0,0
105,300,-0.44,0.00,-1.00,0,0,2.96,-9.69,0.00,7.37,45,30.43,49.16,15.38,1.34,3.68,MaxStepReached,0,0
106,111,-0.23,0.00,-1.00,0,0,5.50,-8.00,0.00,-1.28,27,22.73,61.82,10.91,4.55,0.00,HealthLevelTooLow,0,0
107,301,-0.49,0.00,-1.03,0,0,2.96,-9.69,0.00,4.25,46,28.00,48.00,19.00,2.00,3.00,MaxStepReached,0,0
108,94,-0.17,0.00,-1.03,0,0,5.73,-7.85,0.00,-2.12,12,17.20,69.89,8.60,1.08,3.23,HealthLevelTooLow,0,0
109,301,-0.19,0.00,-1.01,0,0,2.96,-9.69,0.00,99.70,1,84.33,9.33,2.33,2.33,1.67,MaxStepReached,0,0
110,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,1,80.94,8.03,4.35,4.68,2.01,MaxStepReached,0,0
111,102,-0.24,0.00,-0.99,0,0,5.62,-7.92,0.00,-0.15,33,10.89,74.26,9.90,2.97,1.98,HealthLevelTooLow,0,0
112,301,-0.20,0.00,-0.99,0,0,2.96,-9.69,0.00,98.47,2,83.00,10.00,3.33,2.00,1.67,MaxStepReached,0,0
113,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,97.47,2,58.86,33.78,3.01,2.01,2.34,MaxStepReached,0,0
114,300,-0.56,0.00,-0.98,0,0,2.96,-9.69,0.00,9.52,53,2.01,77.93,14.05,3.34,2.68,MaxStepReached,0,0
115,96,-0.28,0.00,-0.99,0,0,5.70,-7.86,0.00,-0.27,34,7.37,81.05,8.42,0.00,3.16,HealthLevelTooLow,0,0
116,301,-0.33,0.00,-0.99,0,0,2.96,-9.69,0.00,26.40,25,33.33,59.67,4.00,1.00,2.00,MaxStepReached,0,0
117,175,-0.53,0.00,-1.02,0,0,4.64,-8.57,0.00,-1.24,3,1.72,86.21,5.17,3.45,3.45,HealthLevelTooLow,0,0
118,301,-0.19,0.00,-1.02,0,0,2.96,-9.69,0.00,99.68,0,78.33,11.67,4.00,2.33,3.67,MaxStepReached,0,0
119,101,-0.47,0.00,-1.00,0,0,5.64,-7.91,0.00,-1.02,48,0.00,89.00,8.00,1.00,2.00,HealthLevelTooLow,0,0
120,106,-0.26,0.00,-1.00,0,0,5.58,-7.94,0.00,-1.13,35,4.76,80.00,9.52,1.90,3.81,HealthLevelTooLow,0,0
121,301,-0.19,0.00,-1.00,0,0,2.96,-9.69,0.00,98.73,2,87.33,9.00,2.33,1.00,0.33,MaxStepReached,0,0
122,158,-0.23,0.00,-1.02,0,0,4.87,-8.42,0.00,-1.60,50,29.94,62.42,5.73,0.64,1.27,HealthLevelTooLow,0,0
123,302,-0.56,0.00,-1.86,0,0,-8.00,6.33,0.00,97.77,0,43.33,40.33,4.33,2.00,10.00,MaxStepReached,1,1
124,300,-0.20,0.00,-1.80,0,0,2.96,-9.69,0.00,99.55,1,58.19,25.75,11.04,2.68,2.34,MaxStepReached,0,0
125,301,-1.06,0.00,-1.86,0,0,-9.31,5.46,0.00,97.27,2,5.35,43.81,4.68,3.01,43.14,MaxStepReached,1,1
126,171,-0.24,0.00,-1.73,0,0,4.69,-8.54,0.00,-0.67,51,3.53,83.53,8.24,3.53,1.18,HealthLevelTooLow,0,0
127,301,-0.19,0.00,-1.01,0,0,2.96,-9.69,0.00,100.00,0,75.00,17.33,3.33,2.33,2.00,MaxStepReached,0,0
128,300,-0.46,0.00,-0.90,0,0,2.96,-9.69,0.00,18.40,17,20.40,66.22,8.70,1.67,3.01,MaxStepReached,0,0
129,301,-1.29,0.00,-1.86,0,0,-9.92,5.06,0.00,100.00,0,14.38,27.42,5.69,3.68,48.83,MaxStepReached,1,1
130,182,-0.30,0.00,-1.69,0,0,4.54,-8.64,0.00,-1.04,43,3.31,75.14,7.18,2.76,11.60,HealthLevelTooLow,0,0
131,301,-0.22,0.00,-1.02,0,0,2.96,-9.69,0.00,62.09,18,31.33,51.33,12.00,2.33,3.00,MaxStepReached,0,0
132,133,-0.22,0.00,-1.00,0,0,5.20,-8.20,0.00,-2.05,39,3.03,83.33,8.33,3.03,2.27,HealthLevelTooLow,0,0
133,301,-0.19,0.00,-1.00,0,0,2.96,-9.69,0.00,97.96,1,68.67,23.33,3.67,2.67,1.67,MaxStepReached,0,0
134,194,-0.18,0.00,-1.03,0,0,4.38,-8.75,0.00,-1.78,12,2.07,83.42,7.25,3.11,4.15,HealthLevelTooLow,0,0
135,302,-0.89,0.00,-1.87,0,0,-8.71,5.86,0.00,79.43,19,4.67,48.33,5.67,3.00,38.33,MaxStepReached,1,1
136,300,-0.46,0.00,-1.77,0,0,2.96,-9.69,0.00,27.14,28,11.37,71.91,4.35,1.67,10.70,MaxStepReached,0,0
137,107,-0.22,0.00,-1.00,0,0,5.56,-7.96,0.00,-1.94,38,0.94,86.79,8.49,1.89,1.89,HealthLevelTooLow,0,0
138,301,-0.19,0.00,-1.00,0,0,2.96,-9.69,0.00,100.00,0,62.67,23.33,3.67,3.33,7.00,MaxStepReached,0,0
139,127,-0.19,0.00,-1.01,0,0,5.29,-8.14,0.00,-2.67,32,0.79,87.30,7.94,2.38,1.59,HealthLevelTooLow,0,0
140,133,-0.22,0.00,-1.01,0,0,5.22,-8.19,0.00,-1.60,32,29.55,54.55,6.82,1.52,7.58,HealthLevelTooLow,0,0
141,302,-0.47,0.00,-1.86,0,0,-7.72,6.52,0.00,89.94,2,11.67,70.67,4.00,2.00,11.67,MaxStepReached,1,1
142,300,-0.20,0.00,-1.82,0,0,2.96,-9.69,0.00,97.33,4,80.27,10.03,3.34,3.01,3.34,MaxStepReached,0,0
143,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,99.51,1,84.95,8.36,2.34,0.67,3.68,MaxStepReached,0,0
144,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,98.90,1,82.94,8.36,4.01,2.34,2.34,MaxStepReached,0,0
145,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,100.00,0,84.28,8.36,3.01,2.01,2.34,MaxStepReached,0,0
146,301,-1.29,0.00,-1.86,0,0,-9.90,5.07,0.00,86.99,7,7.69,28.09,6.02,2.01,56.19,MaxStepReached,1,1
147,229,-0.47,0.00,-1.94,0,1,-7.59,6.60,0.00,35.44,24,14.47,78.51,4.39,0.44,1.75,ResourceConsumed,1,1
148,301,-0.25,-0.18,-1.94,0,0,2.95,-6.70,0.00,96.64,1,59.33,26.33,2.00,2.67,9.67,MaxStepReached,0,0
149,158,-0.32,0.00,-1.02,0,0,4.87,-8.42,0.00,-1.56,67,4.46,85.99,6.37,1.27,1.91,HealthLevelTooLow,0,0
150,301,-0.19,0.00,-1.02,0,0,2.96,-9.69,0.00,100.00,0,82.33,10.67,2.67,1.67,2.67,MaxStepReached,0,0
151,300,-0.19,0.00,-0.38,0,0,2.96,-9.69,0.00,99.56,0,80.94,10.03,3.34,3.34,2.34,MaxStepReached,0,0
152,149,-0.44,0.00,-1.01,0,0,4.99,-8.34,0.00,-0.43,108,3.38,87.16,3.38,2.70,3.38,HealthLevelTooLow,0,0
