Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,334,-0.55,0.00,-1.03,0,0,-15.03,7.00,0.34,74.14,15,36.94,6.61,2.40,4.20,49.85,FoodLevelOutOfRange,0,0
2,159,-0.32,0.00,-1.09,0,0,-7.11,7.00,15.01,100.10,0,62.66,3.16,3.80,2.53,27.85,ThermoLevelOutOfRange,0,0
3,335,-0.50,0.00,-1.09,0,0,-15.03,7.00,0.00,100.10,4,50.30,2.69,3.59,1.50,41.92,FoodLevelOutOfRange,0,0
4,335,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,19,37.72,11.98,3.29,1.80,45.21,FoodLevelOutOfRange,0,0
5,228,-0.46,0.00,-1.21,0,0,-10.22,7.00,15.06,100.10,0,50.22,2.64,3.52,3.08,40.53,ThermoLevelOutOfRange,0,0
6,335,-0.73,0.00,-1.21,0,0,-15.03,7.00,4.15,100.10,0,36.23,2.69,1.80,1.50,57.78,FoodLevelOutOfRange,0,0
7,335,-0.50,0.00,-1.04,0,0,-15.03,7.00,0.00,100.10,0,42.81,10.78,2.10,3.29,41.02,FoodLevelOutOfRange,0,0
8,335,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,11,40.12,14.67,1.50,1.50,42.22,FoodLevelOutOfRange,0,0
9,161,-0.24,0.00,-1.00,0,1,-7.16,7.00,0.00,99.28,1,81.99,13.04,0.62,1.24,2.48,ResourceConsumed,0,0
10,334,-0.70,0.00,-1.22,0,0,-15.03,7.00,10.48,100.10,1,32.13,2.40,2.40,2.40,60.66,FoodLevelOutOfRange,0,0
11,152,-0.42,0.00,-1.22,0,0,-6.80,7.00,15.07,100.10,0,37.75,2.65,3.31,3.97,52.32,ThermoLevelOutOfRange,0,0
12,230,-0.44,0.00,-1.21,0,0,-10.31,7.00,15.11,100.10,0,53.28,3.93,3.49,1.75,37.55,ThermoLevelOutOfRange,0,0
13,335,-0.50,0.00,-1.21,0,0,-15.03,7.00,0.00,99.64,1,37.13,14.67,0.90,2.40,44.91,FoodLevelOutOfRange,0,0
14,169,-0.35,0.00,-1.12,0,0,-7.56,7.00,15.22,100.10,0,61.90,2.98,2.98,2.38,29.76,ThermoLevelOutOfRange,0,0
15,335,-0.50,0.00,-1.12,0,0,-15.03,7.00,0.00,100.10,1,47.01,5.09,2.10,2.99,42.81,FoodLevelOutOfRange,0,0
16,335,-0.60,0.00,-1.11,0,0,-15.03,7.00,3.36,57.09,20,38.62,9.28,2.69,1.50,47.90,FoodLevelOutOfRange,0,0
17,335,-0.50,0.00,-1.11,0,0,-15.03,7.00,0.00,100.10,3,49.70,5.09,1.80,2.99,40.42,FoodLevelOutOfRange,0,0
18,335,-0.54,0.00,-1.01,0,0,-15.03,7.00,1.85,100.10,1,35.93,3.29,1.50,1.80,57.49,FoodLevelOutOfRange,0,0
19,335,-0.50,0.00,-1.01,0,0,-15.03,7.00,0.00,99.44,7,46.71,5.39,2.10,1.20,44.61,FoodLevelOutOfRange,0,0
20,335,-0.52,0.00,-1.00,0,0,-15.03,7.00,0.60,100.10,0,41.92,5.09,1.80,3.29,47.90,FoodLevelOutOfRange,0,0
