Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,150,-0.53,0.00,-1.01,0,0,2.97,3.65,-15.01,100.01,0,87.92,2.01,4.03,4.03,2.01,ThermoLevelOutOfRange,0,0
2,148,-0.54,0.00,-1.01,0,0,3.02,3.68,-15.01,100.01,0,92.52,1.36,0.68,4.08,1.36,ThermoLevelOutOfRange,0,0
3,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,99.98,0,85.71,3.40,4.76,3.40,2.72,ThermoLevelOutOfRange,0,0
4,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,89.12,2.04,4.08,2.04,2.72,ThermoLevelOutOfRange,0,0
5,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,89.12,4.08,3.40,2.04,1.36,ThermoLevelOutOfRange,0,0
6,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,91.84,1.36,1.36,2.04,3.40,ThermoLevelOutOfRange,0,0
7,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,89.80,2.72,3.40,2.04,2.04,ThermoLevelOutOfRange,0,0
8,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,90.48,3.40,3.40,0.68,2.04,ThermoLevelOutOfRange,0,0
9,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,93.88,0.68,4.08,0.68,0.68,ThermoLevelOutOfRange,0,0
10,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,92.52,4.76,2.04,0.00,0.68,ThermoLevelOutOfRange,0,0
11,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,99.19,1,91.16,3.40,2.72,2.04,0.68,ThermoLevelOutOfRange,0,0
12,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,95.24,1.36,0.68,1.36,1.36,ThermoLevelOutOfRange,0,0
13,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,91.16,1.36,2.04,4.08,1.36,ThermoLevelOutOfRange,0,0
14,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,97.45,1,90.48,3.40,3.40,1.36,1.36,ThermoLevelOutOfRange,0,0
15,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,92.52,4.08,0.68,2.72,0.00,ThermoLevelOutOfRange,0,0
16,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,93.88,2.72,1.36,0.68,1.36,ThermoLevelOutOfRange,0,0
17,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,97.01,1,91.16,4.08,1.36,1.36,2.04,ThermoLevelOutOfRange,0,0
18,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,92.52,3.40,2.04,0.68,1.36,ThermoLevelOutOfRange,0,0
19,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,91.84,1.36,2.72,2.04,2.04,ThermoLevelOutOfRange,0,0
20,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,91.16,3.40,1.36,1.36,2.72,ThermoLevelOutOfRange,0,0
21,148,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,93.88,0.68,2.72,0.68,2.04,ThermoLevelOutOfRange,0,0
