Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,500,-0.45,0.00,-0.89,0,0,-13.74,2.51,0.00,77.69,15,7.82,24.25,0.80,61.32,5.81,MaxStepReached,0,0
5,500,-0.44,0.00,-0.89,0,0,-13.74,2.51,0.00,93.88,10,3.41,13.83,1.00,75.15,6.61,MaxStepReached,0,0
7,481,-0.44,0.00,-1.29,0,0,-13.49,2.67,0.00,-0.78,50,5.63,26.46,0.63,58.75,8.54,HealthLevelTooLow,0,0
9,500,-0.45,0.00,-0.91,0,0,-13.74,2.51,0.00,73.73,18,4.01,15.83,2.61,71.94,5.61,MaxStepReached,0,0
11,500,-0.44,0.00,-0.91,0,0,-13.74,2.51,0.00,74.66,9,1.20,14.03,3.61,72.95,8.22,MaxStepReached,0,0
13,500,-0.45,0.00,-0.90,0,0,-13.74,2.51,0.00,78.56,18,2.00,15.23,0.40,77.15,5.21,MaxStepReached,0,0
15,500,-0.45,0.00,-0.92,0,0,-13.74,2.51,0.00,69.34,13,1.40,17.23,2.40,71.94,7.01,MaxStepReached,0,0
17,500,-0.46,0.00,-0.96,0,0,-13.74,2.51,0.00,59.43,14,2.20,16.43,4.41,69.34,7.62,MaxStepReached,0,0
19,500,-0.45,0.00,-0.96,0,0,-13.74,2.51,0.00,80.80,16,1.80,15.23,1.00,75.75,6.21,MaxStepReached,0,0
21,500,-0.44,0.00,-0.89,0,0,-13.74,2.51,0.00,88.98,4,1.40,13.63,3.01,76.55,5.41,MaxStepReached,0,0
23,500,-0.45,0.00,-0.90,0,0,-13.74,2.51,0.00,76.93,11,2.20,14.03,1.80,76.35,5.61,MaxStepReached,0,0
25,500,-0.44,0.00,-0.90,0,0,-13.74,2.51,0.00,83.02,8,2.00,16.23,2.40,72.34,7.01,MaxStepReached,0,0
27,500,-0.44,0.00,-0.88,0,0,-13.74,2.51,0.00,89.84,11,3.01,14.03,0.20,75.55,7.21,MaxStepReached,0,0
29,500,-0.44,0.00,-0.91,0,0,-13.74,2.51,0.00,71.90,11,1.20,22.65,3.81,68.34,4.01,MaxStepReached,0,0
31,500,-0.45,0.00,-0.92,0,0,-13.74,2.51,0.00,67.74,14,2.40,15.23,1.40,75.75,5.21,MaxStepReached,0,0
33,500,-0.45,0.00,-0.92,0,0,-13.74,2.51,0.00,68.67,12,1.40,21.64,0.80,69.14,7.01,MaxStepReached,0,0
35,500,-0.52,0.00,-1.14,0,0,-13.74,2.51,0.00,26.24,0,0.00,75.75,1.60,18.84,3.81,MaxStepReached,0,0
37,500,-0.47,0.00,-1.14,0,0,-13.74,2.51,0.00,68.75,11,1.80,18.24,1.00,72.95,6.01,MaxStepReached,0,0
39,500,-0.47,0.00,-0.95,0,0,-13.74,2.51,0.00,60.99,17,0.40,14.23,0.40,76.95,8.02,MaxStepReached,0,0
41,500,-0.44,0.00,-0.95,0,0,-13.74,2.51,0.00,77.01,12,2.40,15.03,1.80,73.75,7.01,MaxStepReached,0,0
43,500,-0.47,0.00,-0.92,0,0,-13.74,2.51,0.00,69.52,15,3.81,20.44,3.41,64.53,7.82,MaxStepReached,0,0
45,500,-0.44,0.00,-0.96,0,0,-13.74,2.51,0.00,58.52,18,2.00,16.63,5.21,67.33,8.82,MaxStepReached,0,0
47,500,-0.44,0.00,-0.96,0,0,-13.74,2.51,0.00,86.49,14,1.80,14.43,1.20,76.35,6.21,MaxStepReached,0,0
49,500,-0.45,0.00,-0.90,0,0,-13.74,2.51,0.00,75.69,9,1.60,14.23,1.20,75.35,7.62,MaxStepReached,0,0
51,500,-0.45,0.00,-0.93,0,0,-13.74,2.51,0.00,67.53,14,3.01,15.43,1.60,73.95,6.01,MaxStepReached,0,0
53,500,-0.44,0.00,-0.93,0,0,-13.74,2.51,0.00,83.84,11,3.61,14.63,2.20,73.55,6.01,MaxStepReached,0,0
55,500,-0.45,0.00,-0.91,0,0,-13.74,2.51,0.00,73.48,13,1.60,13.43,0.40,77.96,6.61,MaxStepReached,0,0
57,500,-0.45,0.00,-0.97,0,0,-13.74,2.51,0.00,57.46,20,1.20,14.83,0.80,78.16,5.01,MaxStepReached,0,0
