Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,223,-0.60,-0.01,-1.20,0,0,-15.01,-14.01,0.00,99.45,0,1.35,89.19,0.45,3.15,5.86,FoodLevelOutOfRange,0,0
5,87,-0.47,0.00,-1.09,0,0,-13.17,-12.78,0.00,-0.12,70,0.00,90.70,3.49,0.00,5.81,HealthLevelTooLow,0,0
7,61,-0.36,0.00,-1.05,0,0,-12.82,-12.55,0.00,-1.92,33,0.00,80.00,1.67,3.33,15.00,HealthLevelTooLow,0,0
9,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,90.11,0,0.45,90.99,0.00,2.70,5.86,FoodLevelOutOfRange,0,0
11,85,-0.48,0.00,-1.09,0,0,-13.15,-12.76,0.00,-1.03,71,1.19,94.05,3.57,0.00,1.19,HealthLevelTooLow,0,0
13,223,-0.69,0.00,-1.42,0,0,-15.01,-14.01,0.00,23.86,1,0.45,95.50,0.90,3.15,0.00,FoodLevelOutOfRange,0,0
15,69,-0.34,0.00,-1.05,0,0,-12.93,-12.62,0.00,-2.01,33,0.00,70.59,1.47,2.94,25.00,HealthLevelTooLow,0,0
17,88,-0.47,0.00,-1.10,0,0,-13.19,-12.79,0.00,-1.12,71,0.00,86.21,3.45,0.00,10.34,HealthLevelTooLow,0,0
19,223,-0.71,0.00,-1.42,0,0,-15.01,-14.01,0.00,24.60,2,0.00,90.54,1.35,4.05,4.05,FoodLevelOutOfRange,0,0
21,223,-0.61,0.00,-1.21,0,0,-15.01,-14.01,0.00,83.85,0,0.00,96.40,0.90,0.00,2.70,FoodLevelOutOfRange,0,0
23,223,-0.62,0.00,-1.22,0,0,-15.01,-14.01,0.00,79.01,1,0.45,87.84,2.25,4.95,4.50,FoodLevelOutOfRange,0,0
25,223,-0.61,0.00,-1.21,0,0,-15.01,-14.01,0.00,83.54,0,0.90,97.30,0.90,0.00,0.90,FoodLevelOutOfRange,0,0
27,223,-0.61,0.00,-1.21,0,0,-15.01,-14.01,0.00,83.45,0,0.00,98.65,0.90,0.00,0.45,FoodLevelOutOfRange,0,0
29,223,-0.61,0.00,-1.29,0,0,-15.01,-14.01,0.00,51.46,24,0.00,98.20,1.35,0.00,0.45,FoodLevelOutOfRange,0,0
31,58,-0.34,0.00,-1.04,0,0,-12.78,-12.52,0.00,-2.43,33,0.00,84.21,1.75,1.75,12.28,HealthLevelTooLow,0,0
33,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,93.81,0,0.00,90.54,0.90,3.60,4.95,FoodLevelOutOfRange,0,0
35,85,-0.48,0.00,-1.09,0,0,-13.15,-12.76,0.00,-1.03,71,0.00,95.24,3.57,0.00,1.19,HealthLevelTooLow,0,0
37,223,-0.62,0.00,-1.21,0,0,-15.01,-14.01,0.00,87.72,4,0.00,97.30,0.00,2.70,0.00,FoodLevelOutOfRange,0,0
39,223,-0.61,0.00,-1.35,0,0,-15.01,-14.01,0.00,37.69,34,0.00,98.65,1.35,0.00,0.00,FoodLevelOutOfRange,0,0
41,223,-0.61,0.00,-1.23,0,0,-15.01,-14.01,0.00,74.80,1,0.00,78.83,1.35,4.50,15.32,FoodLevelOutOfRange,0,0
43,223,-0.60,0.00,-1.21,0,0,-15.01,-14.01,0.00,87.63,1,0.90,88.74,0.90,3.15,6.31,FoodLevelOutOfRange,0,0
45,223,-0.70,0.00,-1.47,0,0,-15.01,-14.01,0.00,15.16,0,0.00,88.29,0.45,2.70,8.56,FoodLevelOutOfRange,0,0
47,223,-0.62,0.00,-1.25,0,0,-15.01,-14.01,0.00,65.64,0,0.00,89.19,1.35,4.05,5.41,FoodLevelOutOfRange,0,0
49,223,-0.61,0.00,-1.21,0,0,-15.01,-14.01,0.00,83.98,0,0.00,98.20,1.35,0.45,0.00,FoodLevelOutOfRange,0,0
51,187,-0.74,0.00,-1.42,0,0,-14.52,-13.68,0.00,-0.13,19,0.54,94.62,2.69,0.00,2.15,HealthLevelTooLow,0,0
53,71,-0.33,0.00,-1.06,0,0,-12.96,-12.64,0.00,-2.07,33,0.00,68.57,4.29,4.29,22.86,HealthLevelTooLow,0,0
55,223,-0.60,0.00,-1.21,0,0,-15.01,-14.01,0.00,88.80,1,0.00,92.79,0.45,3.15,3.60,FoodLevelOutOfRange,0,0
57,56,-0.35,0.00,-1.04,0,0,-12.76,-12.50,0.00,-2.97,33,0.00,87.27,1.82,1.82,9.09,HealthLevelTooLow,0,0
59,223,-0.62,0.00,-1.22,0,0,-15.01,-14.01,0.00,77.83,0,0.00,88.29,1.80,4.95,4.95,FoodLevelOutOfRange,0,0
61,91,-0.46,0.00,-1.10,0,0,-13.23,-12.82,0.00,-0.11,70,2.22,85.56,4.44,1.11,6.67,HealthLevelTooLow,0,0
63,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,97.37,1,0.45,79.73,1.80,4.50,13.51,FoodLevelOutOfRange,0,0
65,84,-0.48,0.00,-1.08,0,0,-13.13,-12.76,0.00,-0.12,70,0.00,92.77,3.61,0.00,3.61,HealthLevelTooLow,0,0
67,87,-0.48,0.00,-1.10,0,0,-13.17,-12.78,0.00,-1.04,71,0.00,93.02,3.49,0.00,3.49,HealthLevelTooLow,0,0
