Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,16,-0.01,0.00,-0.02,0,0,-3.22,6.86,0.00,-219.99,4,40.00,33.33,13.33,13.33,0.00,HealthLevelTooLow,0,0
5,292,-0.19,0.00,-0.37,0,0,-6.94,4.37,0.00,-631.70,11,6.53,19.93,11.00,61.17,1.37,HealthLevelTooLow,0,0
7,28,-0.02,0.00,-0.05,0,0,-3.38,6.75,0.00,-299.99,5,3.70,25.93,14.81,51.85,3.70,HealthLevelTooLow,0,0
9,38,-0.02,0.00,-0.07,0,0,-3.51,6.66,0.00,-146.06,4,2.70,40.54,8.11,40.54,8.11,HealthLevelTooLow,0,0
11,18,-0.02,0.00,-0.05,0,0,-3.24,6.84,0.00,-624.97,9,5.88,41.18,23.53,23.53,5.88,HealthLevelTooLow,0,0
13,58,-0.11,0.00,-0.16,0,0,-3.78,6.48,0.00,-73.96,3,3.51,35.09,3.51,57.89,0.00,HealthLevelTooLow,0,0
15,34,-0.02,0.00,-0.05,1,0,-3.45,6.70,0.00,100.00,0,8.82,52.94,14.71,14.71,5.88,ResourceConsumed,0,0
17,28,-0.02,0.00,-0.03,0,0,-3.38,6.75,0.00,-312.73,7,18.52,37.04,18.52,25.93,0.00,HealthLevelTooLow,0,0
19,18,-0.01,0.00,-0.05,0,0,-3.24,6.84,0.00,-219.99,4,11.76,41.18,17.65,29.41,0.00,HealthLevelTooLow,0,0
21,52,-0.12,0.00,-0.19,0,0,-3.70,6.53,0.00,-2247.85,36,9.80,29.41,5.88,54.90,0.00,HealthLevelTooLow,0,0
23,22,-0.01,0.00,-0.05,0,0,-3.30,6.80,0.00,-1662.29,24,19.05,38.10,19.05,23.81,0.00,HealthLevelTooLow,0,0
25,300,-0.24,0.00,-0.46,0,0,-7.04,4.31,0.00,71.61,0,7.02,20.74,10.03,62.21,0.00,MaxStepReached,0,0
27,19,-0.08,0.00,-0.80,0,0,-3.26,6.83,0.00,-539.98,8,5.56,50.00,27.78,16.67,0.00,HealthLevelTooLow,0,0
29,45,-0.04,0.00,-0.08,0,0,-3.61,6.60,0.00,-42.05,3,13.64,29.55,11.36,43.18,2.27,HealthLevelTooLow,0,0
31,25,-0.25,0.00,-0.86,0,0,-3.34,6.78,0.00,-1319.42,19,12.50,29.17,4.17,50.00,4.17,HealthLevelTooLow,0,0
33,35,-0.02,0.00,-0.05,0,0,-3.47,6.69,0.00,-1179.99,16,14.71,32.35,5.88,47.06,0.00,HealthLevelTooLow,0,0
35,42,-0.09,0.00,-0.18,0,0,-3.57,6.62,0.00,-28.49,6,14.63,24.39,9.76,41.46,9.76,HealthLevelTooLow,0,0
37,300,-0.18,0.00,-0.45,0,0,-7.04,4.31,0.00,73.47,2,8.03,31.44,9.70,48.83,2.01,MaxStepReached,0,0
39,32,-0.04,0.00,-0.45,0,0,-3.43,6.71,0.00,-2230.10,29,3.23,32.26,3.23,58.06,3.23,HealthLevelTooLow,0,0
41,39,-0.05,0.00,-0.90,0,0,-3.53,6.65,0.00,-1533.73,22,10.53,26.32,13.16,44.74,5.26,HealthLevelTooLow,0,0
43,19,-0.01,0.00,-0.05,0,0,-3.26,6.83,0.00,-1504.99,20,38.89,27.78,16.67,11.11,5.56,HealthLevelTooLow,0,0
45,55,-0.06,0.00,-0.21,0,0,-3.74,6.51,0.00,-0.45,2,9.26,33.33,7.41,42.59,7.41,HealthLevelTooLow,0,0
47,58,-0.03,0.00,-0.07,0,0,-3.78,6.48,0.00,-541.11,9,7.02,29.82,7.02,50.88,5.26,HealthLevelTooLow,0,0
49,15,-0.02,0.00,-0.05,0,0,-3.20,6.87,0.00,-872.04,13,0.00,64.29,7.14,28.57,0.00,HealthLevelTooLow,0,0
51,45,-0.06,0.00,-0.16,0,0,-3.61,6.60,0.00,-477.31,10,15.91,43.18,9.09,29.55,2.27,HealthLevelTooLow,0,0
53,32,-0.02,0.00,-0.04,0,0,-3.43,6.71,0.00,-399.49,8,16.13,25.81,16.13,38.71,3.23,HealthLevelTooLow,0,0
55,15,-0.01,0.00,-0.02,0,0,-3.20,6.87,0.00,-865.03,14,7.14,42.86,14.29,28.57,7.14,HealthLevelTooLow,0,0
57,25,-0.01,0.00,-0.03,0,0,-3.34,6.78,0.00,-1189.90,18,20.83,29.17,25.00,16.67,8.33,HealthLevelTooLow,0,0
59,8,0.00,0.00,-0.01,0,0,-3.11,6.93,0.00,-700.19,10,0.00,85.71,14.29,0.00,0.00,HealthLevelTooLow,0,0
61,25,-0.02,0.00,-0.05,0,0,-3.34,6.78,0.00,-141.04,4,25.00,29.17,20.83,20.83,4.17,HealthLevelTooLow,0,0
63,35,-0.02,0.00,-0.10,0,0,-3.47,6.69,0.00,-700.00,10,38.24,26.47,14.71,11.76,8.82,HealthLevelTooLow,0,0
65,300,-0.21,0.00,-0.37,0,0,-7.04,4.31,0.00,88.86,1,2.34,20.74,2.01,73.91,1.00,MaxStepReached,0,0
67,38,-0.15,0.00,-0.37,0,0,-3.51,6.66,0.00,-12.61,4,2.70,54.05,10.81,32.43,0.00,HealthLevelTooLow,0,0
69,69,-0.05,0.00,-0.26,0,0,-3.93,6.38,0.00,-2972.78,42,7.35,44.12,19.12,27.94,1.47,HealthLevelTooLow,0,0
71,39,-0.02,0.00,-0.05,1,0,-3.51,6.66,0.00,100.00,0,17.95,43.59,10.26,10.26,15.38,ResourceConsumed,0,0
73,62,-0.04,0.00,-0.07,0,0,-3.84,6.44,0.00,-1820.38,24,4.92,24.59,8.20,57.38,4.92,HealthLevelTooLow,0,0
75,85,-0.07,0.00,-0.17,0,0,-4.15,6.24,0.00,-793.11,12,10.71,40.48,15.48,32.14,1.19,HealthLevelTooLow,0,0
77,52,-0.04,0.00,-0.08,0,0,-3.70,6.53,0.00,-1665.51,22,15.69,33.33,15.69,31.37,3.92,HealthLevelTooLow,0,0
79,18,-0.01,0.00,-0.02,0,0,-3.24,6.84,0.00,-15.12,2,11.76,35.29,23.53,23.53,5.88,HealthLevelTooLow,0,0
81,78,-0.07,0.00,-0.13,0,0,-4.05,6.30,0.00,-632.94,10,12.99,40.26,6.49,40.26,0.00,HealthLevelTooLow,0,0
83,42,-0.03,0.00,-0.09,0,0,-3.57,6.62,0.00,-1125.90,18,12.20,41.46,9.76,34.15,2.44,HealthLevelTooLow,0,0
85,52,-0.03,0.00,-0.08,0,0,-3.70,6.53,0.00,-362.04,6,15.69,43.14,9.80,27.45,3.92,HealthLevelTooLow,0,0
87,32,-0.02,0.00,-0.04,0,0,-3.43,6.71,0.00,-224.84,5,12.90,35.48,9.68,35.48,6.45,HealthLevelTooLow,0,0
89,25,-0.03,0.00,-0.10,0,0,-3.34,6.78,0.00,-232.52,5,12.50,25.00,4.17,54.17,4.17,HealthLevelTooLow,0,0
91,19,-0.05,0.00,-0.85,0,0,-3.26,6.83,0.00,-784.98,11,11.11,33.33,33.33,22.22,0.00,HealthLevelTooLow,0,0
93,42,-0.03,0.00,-0.05,0,0,-3.57,6.62,0.00,-1819.99,24,9.76,31.71,12.20,46.34,0.00,HealthLevelTooLow,0,0
95,38,-0.02,0.00,-0.10,0,0,-3.51,6.66,0.00,-382.49,7,5.41,27.03,13.51,54.05,0.00,HealthLevelTooLow,0,0
97,48,-0.03,0.00,-0.07,0,0,-3.65,6.57,0.00,-544.92,8,10.64,31.91,10.64,44.68,2.13,HealthLevelTooLow,0,0
99,300,-0.21,0.00,-0.37,0,0,-7.04,4.31,0.00,92.32,0,8.70,26.76,9.70,51.51,3.34,MaxStepReached,0,0
101,18,-0.03,0.00,-0.37,0,0,-3.24,6.84,0.00,-393.47,7,0.00,29.41,0.00,64.71,5.88,HealthLevelTooLow,0,0
103,55,-0.04,0.00,-0.12,0,0,-3.74,6.51,0.00,-469.90,7,3.70,48.15,5.56,42.59,0.00,HealthLevelTooLow,0,0
105,35,-0.42,0.00,-0.85,0,0,-3.47,6.69,0.00,-1184.82,16,0.00,41.18,11.76,47.06,0.00,HealthLevelTooLow,0,0
107,18,-0.01,0.00,-0.02,0,0,-3.24,6.84,0.00,-219.99,4,17.65,47.06,23.53,11.76,0.00,HealthLevelTooLow,0,0
109,300,-0.21,0.00,-0.37,0,0,-7.04,4.31,0.00,89.67,1,5.35,23.08,2.34,67.89,1.34,MaxStepReached,0,0
111,55,-0.04,0.00,-0.37,0,0,-3.74,6.51,0.00,-455.71,12,27.78,31.48,20.37,14.81,5.56,HealthLevelTooLow,0,0
113,18,-0.01,0.00,-0.05,0,0,-3.24,6.84,0.00,-220.58,5,23.53,47.06,5.88,23.53,0.00,HealthLevelTooLow,0,0
115,48,-0.03,0.00,-0.08,0,0,-3.65,6.57,0.00,-552.23,10,19.15,38.30,10.64,31.91,0.00,HealthLevelTooLow,0,0
117,62,-0.04,0.00,-0.10,0,0,-3.84,6.44,0.00,-1342.15,19,11.48,40.98,4.92,39.34,3.28,HealthLevelTooLow,0,0
119,20,-0.01,0.00,-0.05,0,0,-3.27,6.82,0.00,-620.00,9,5.26,47.37,5.26,42.11,0.00,HealthLevelTooLow,0,0
121,45,-0.03,0.00,-0.07,0,0,-3.61,6.60,0.00,-945.52,13,18.18,38.64,9.09,34.09,0.00,HealthLevelTooLow,0,0
123,300,-0.34,0.00,-0.50,0,0,-7.04,4.31,0.00,64.71,1,3.68,18.39,3.01,73.58,1.34,MaxStepReached,0,0
125,13,-0.05,0.00,-0.50,0,0,-3.18,6.88,0.00,-60.00,2,0.00,50.00,25.00,25.00,0.00,HealthLevelTooLow,0,0
127,48,-0.03,0.00,-0.06,0,0,-3.65,6.57,0.00,-220.58,5,14.89,36.17,12.77,34.04,2.13,HealthLevelTooLow,0,0
129,38,-0.02,0.00,-0.05,0,0,-3.51,6.66,0.00,-219.99,4,10.81,32.43,10.81,45.95,0.00,HealthLevelTooLow,0,0
131,292,-0.38,0.00,-0.53,0,0,-6.94,4.37,0.00,-1075.20,18,3.09,21.31,2.06,72.85,0.69,HealthLevelTooLow,0,0
133,22,-0.03,0.00,-0.10,0,0,-3.30,6.80,0.00,-2148.91,31,19.05,23.81,23.81,19.05,14.29,HealthLevelTooLow,0,0
135,22,-0.02,0.00,-0.10,0,0,-3.30,6.80,0.00,-1191.16,20,19.05,28.57,33.33,19.05,0.00,HealthLevelTooLow,0,0
137,32,-0.02,0.00,-0.05,0,0,-3.43,6.71,0.00,-939.99,13,22.58,32.26,22.58,22.58,0.00,HealthLevelTooLow,0,0
139,49,-0.04,0.00,-0.85,0,0,-3.66,6.56,0.00,-1699.36,24,14.58,25.00,8.33,50.00,2.08,HealthLevelTooLow,0,0
141,300,-0.26,0.00,-0.52,0,0,-7.04,4.31,0.00,62.76,0,6.69,23.41,7.36,60.20,2.34,MaxStepReached,0,0
143,300,-0.20,0.00,-0.52,0,0,-7.04,4.31,0.00,92.72,0,8.03,19.73,5.35,63.21,3.68,MaxStepReached,0,0
145,25,-0.03,0.00,-0.37,0,0,-3.34,6.78,0.00,-1019.99,14,0.00,25.00,4.17,66.67,4.17,HealthLevelTooLow,0,0
147,72,-0.04,0.00,-0.10,0,0,-3.97,6.35,0.00,-939.99,13,15.49,39.44,8.45,36.62,0.00,HealthLevelTooLow,0,0
149,65,-0.12,0.00,-0.22,0,0,-3.88,6.42,0.00,-400.09,6,10.94,29.69,7.81,46.88,4.69,HealthLevelTooLow,0,0
151,42,-0.14,0.00,-0.90,0,0,-3.57,6.62,0.00,-309.74,5,7.32,26.83,19.51,43.90,2.44,HealthLevelTooLow,0,0
153,45,-0.37,0.00,-1.00,0,0,-3.61,6.60,0.00,-441.78,10,13.64,20.45,9.09,56.82,0.00,HealthLevelTooLow,0,0
155,55,-0.03,0.00,-0.07,0,0,-3.74,6.51,0.00,-75.92,5,11.11,37.04,29.63,22.22,0.00,HealthLevelTooLow,0,0
157,25,-0.02,0.00,-0.05,0,0,-3.34,6.78,0.00,-540.12,8,33.33,41.67,16.67,8.33,0.00,HealthLevelTooLow,0,0
159,19,-0.01,0.00,-0.05,0,0,-3.26,6.83,0.00,-1904.99,25,5.56,33.33,16.67,27.78,16.67,HealthLevelTooLow,0,0
161,15,-0.01,0.00,-0.02,0,0,-3.20,6.87,0.00,-699.99,10,7.14,64.29,14.29,14.29,0.00,HealthLevelTooLow,0,0
163,296,-0.18,0.00,-0.35,1,0,-6.98,4.35,0.00,100.00,0,5.07,28.72,8.45,54.05,3.38,ResourceConsumed,0,0
165,288,-0.17,0.00,-0.37,0,0,-6.89,4.41,0.00,-319.78,8,9.41,23.34,16.38,46.34,4.53,HealthLevelTooLow,0,0
167,72,-0.05,0.00,-0.13,0,0,-3.97,6.35,0.00,-1219.96,17,14.08,28.17,22.54,32.39,2.82,HealthLevelTooLow,0,0
169,18,-0.01,0.00,-0.05,0,0,-3.24,6.84,0.00,-219.99,4,5.88,47.06,5.88,41.18,0.00,HealthLevelTooLow,0,0
