Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,238,-0.47,0.00,-1.22,0,0,-10.71,7.00,15.03,100.10,0,10.55,6.75,27.00,12.24,43.46,ThermoLevelOutOfRange,0,0
5,206,-0.38,0.00,-1.17,0,0,-9.27,7.00,15.21,100.10,0,14.15,8.29,31.71,14.15,31.71,ThermoLevelOutOfRange,0,0
7,218,-0.35,0.00,-0.66,1,0,-9.77,7.00,1.30,100.00,0,17.43,9.63,29.36,16.51,26.61,ResourceConsumed,0,0
9,334,-0.54,0.00,-1.00,0,0,-15.03,7.00,0.83,100.10,0,8.71,7.51,19.52,15.62,48.65,FoodLevelOutOfRange,0,0
11,334,-0.51,0.00,-1.00,1,0,-14.99,7.00,0.25,100.00,0,9.88,9.28,26.35,18.26,35.93,ResourceConsumed,0,0
13,298,-0.56,0.00,-1.34,0,0,-13.41,7.00,15.03,100.10,0,8.75,10.44,23.23,6.40,51.18,ThermoLevelOutOfRange,0,0
15,294,-0.48,0.00,-0.88,1,0,-13.19,7.00,0.71,100.00,0,8.50,5.44,23.47,19.05,43.20,ResourceConsumed,0,0
17,274,-0.72,0.00,-1.28,0,0,-12.33,7.00,15.08,100.10,0,4.03,4.03,34.07,5.49,52.38,ThermoLevelOutOfRange,0,0
19,330,-0.59,0.00,-1.40,0,0,-14.85,7.00,15.01,100.10,2,11.55,8.81,24.92,18.84,35.87,ThermoLevelOutOfRange,0,0
21,192,-0.38,0.00,-0.59,1,0,-8.60,7.00,2.18,100.00,0,10.94,7.81,43.75,13.54,23.44,ResourceConsumed,0,0
23,280,-0.52,0.00,-1.30,0,0,-12.60,7.00,15.05,100.10,0,11.11,6.81,34.77,11.83,35.48,ThermoLevelOutOfRange,0,0
25,334,-0.60,0.00,-1.02,0,0,-15.03,7.00,2.94,100.10,0,7.51,4.80,15.32,11.11,61.26,FoodLevelOutOfRange,0,0
27,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.24,100.10,0,11.11,5.41,22.22,13.21,48.05,FoodLevelOutOfRange,0,0
29,211,-0.43,0.00,-1.16,0,0,-9.50,7.00,15.06,100.10,0,6.19,8.57,36.19,8.10,40.95,ThermoLevelOutOfRange,0,0
31,334,-0.59,0.00,-1.05,0,0,-15.03,7.00,4.73,100.10,0,8.71,4.50,13.51,8.71,64.56,FoodLevelOutOfRange,0,0
33,309,-0.54,0.00,-1.35,0,0,-13.91,7.00,15.05,100.10,0,6.49,5.52,23.38,12.34,52.27,ThermoLevelOutOfRange,0,0
35,332,-0.62,0.00,-1.41,0,0,-14.94,7.00,15.30,100.10,0,7.25,3.93,27.19,5.74,55.89,ThermoLevelOutOfRange,0,0
37,212,-0.43,0.00,-1.18,0,0,-9.54,7.00,15.14,100.10,1,9.95,9.00,39.81,6.16,35.07,ThermoLevelOutOfRange,0,0
39,284,-0.56,0.00,-1.31,0,0,-12.78,7.00,15.07,100.10,0,10.25,4.59,26.50,10.60,48.06,ThermoLevelOutOfRange,0,0
41,310,-0.56,0.00,-1.36,0,0,-13.95,7.00,15.03,100.10,0,6.47,4.53,35.28,9.71,44.01,ThermoLevelOutOfRange,0,0
43,334,-0.69,0.00,-1.06,0,0,-15.03,7.00,5.22,100.10,1,6.01,5.11,30.03,6.91,51.95,FoodLevelOutOfRange,0,0
45,237,-0.43,0.00,-1.22,0,0,-10.67,7.00,15.01,100.10,0,12.29,2.97,24.58,9.32,50.85,ThermoLevelOutOfRange,0,0
47,237,-0.39,0.00,-0.71,1,0,-10.62,7.00,1.15,100.00,0,15.19,9.28,25.74,19.83,29.54,ResourceConsumed,0,0
49,334,-0.61,0.00,-1.28,0,0,-15.03,7.00,12.00,100.10,3,12.31,8.41,33.03,13.81,32.43,FoodLevelOutOfRange,0,0
51,321,-0.49,0.00,-0.96,1,0,-14.40,7.00,0.68,100.00,0,9.97,7.48,20.56,16.51,45.17,ResourceConsumed,0,0
53,334,-0.54,0.00,-1.00,0,0,-15.03,7.00,0.52,100.10,0,9.61,8.11,29.13,12.91,40.24,FoodLevelOutOfRange,0,0
55,260,-0.44,0.00,-0.78,1,0,-11.66,7.00,0.97,100.00,0,12.69,10.00,30.77,25.00,21.15,ResourceConsumed,0,0
57,283,-0.48,0.00,-0.85,1,0,-12.69,7.00,1.10,100.00,0,8.48,5.65,29.33,19.79,36.40,ResourceConsumed,0,0
59,181,-0.38,0.00,-1.13,0,0,-8.15,7.00,15.09,100.10,0,15.56,10.00,36.67,18.33,19.44,ThermoLevelOutOfRange,0,0
61,301,-0.57,0.00,-1.34,0,0,-13.55,7.00,15.05,100.10,0,4.67,4.33,32.67,11.00,47.33,ThermoLevelOutOfRange,0,0
63,141,-0.32,0.00,-1.07,0,0,-6.35,7.00,15.26,100.10,0,15.00,5.71,40.71,5.00,33.57,ThermoLevelOutOfRange,0,0
65,217,-0.43,0.00,-1.19,0,0,-9.77,7.00,15.26,100.10,0,11.57,10.19,31.02,12.04,35.19,ThermoLevelOutOfRange,0,0
67,250,-0.50,0.00,-1.25,0,0,-11.25,7.00,15.06,100.10,0,9.64,8.43,36.55,10.44,34.94,ThermoLevelOutOfRange,0,0
69,225,-0.44,0.00,-0.70,1,0,-10.08,7.00,2.78,100.00,0,6.22,6.22,39.11,12.89,35.11,ResourceConsumed,0,0
71,333,-0.53,0.00,-1.40,0,0,-14.99,7.00,15.00,100.10,0,12.05,6.93,22.89,16.57,41.57,ThermoLevelOutOfRange,0,0
73,317,-0.52,0.00,-1.37,0,0,-14.27,7.00,15.03,100.10,0,10.44,6.33,27.85,17.72,37.66,ThermoLevelOutOfRange,0,0
75,212,-0.48,0.00,-1.18,0,0,-9.54,7.00,15.33,100.10,0,11.37,6.16,41.23,8.06,33.18,ThermoLevelOutOfRange,0,0
77,334,-0.57,0.00,-1.03,0,0,-15.03,7.00,3.43,100.10,0,7.21,6.61,22.52,14.41,49.25,FoodLevelOutOfRange,0,0
79,193,-0.35,0.00,-0.61,1,0,-8.64,7.00,3.00,100.00,0,8.81,10.88,40.93,10.36,28.50,ResourceConsumed,0,0
81,180,-0.47,0.00,-1.13,0,0,-8.10,7.00,15.05,100.10,0,13.97,5.59,36.87,8.38,35.20,ThermoLevelOutOfRange,0,0
83,213,-0.40,0.00,-1.18,0,0,-9.59,7.00,15.04,100.10,0,11.79,8.96,37.26,12.74,29.25,ThermoLevelOutOfRange,0,0
85,334,-0.50,0.00,-1.01,0,0,-15.03,7.00,2.02,100.10,0,12.61,6.91,27.03,17.72,35.74,FoodLevelOutOfRange,0,0
87,129,-0.27,0.00,-1.20,0,0,-5.81,7.00,12.38,-12.53,16,16.41,20.31,25.00,7.81,30.47,HealthLevelTooLow,0,0
89,334,-0.60,0.00,-1.02,0,0,-15.03,7.00,3.22,100.10,0,5.71,3.90,23.42,10.21,56.76,FoodLevelOutOfRange,0,0
91,156,-0.41,0.00,-1.10,0,0,-7.02,7.00,15.06,100.10,0,7.74,6.45,45.81,9.03,30.97,ThermoLevelOutOfRange,0,0
93,319,-0.65,0.00,-1.38,0,0,-14.36,7.00,15.08,100.10,0,11.64,4.40,24.53,13.84,45.60,ThermoLevelOutOfRange,0,0
95,334,-0.52,0.00,-1.00,0,0,-15.03,7.00,0.36,100.10,0,9.61,7.51,18.32,15.62,48.95,FoodLevelOutOfRange,0,0
97,295,-0.52,0.00,-0.89,1,0,-13.23,7.00,1.21,100.00,0,3.05,9.49,31.53,16.95,38.64,ResourceConsumed,0,0
99,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,16.22,4.20,17.72,10.81,51.05,FoodLevelOutOfRange,0,0
101,270,-0.49,0.00,-0.82,1,0,-12.11,7.00,1.71,100.00,0,10.37,7.04,30.00,18.52,33.70,ResourceConsumed,0,0
103,334,-0.57,0.00,-1.01,0,0,-15.03,7.00,2.78,100.10,0,7.51,9.01,24.32,17.42,41.74,FoodLevelOutOfRange,0,0
105,302,-0.52,0.00,-0.91,1,0,-13.55,7.00,1.49,100.00,0,9.60,6.29,27.48,13.25,43.05,ResourceConsumed,0,0
107,334,-0.72,0.00,-1.24,0,0,-15.03,7.00,10.95,100.10,0,5.41,3.90,22.22,12.31,56.16,FoodLevelOutOfRange,0,0
109,230,-0.53,0.00,-1.20,0,0,-10.35,7.00,15.03,100.10,0,8.73,4.80,30.57,10.48,45.41,ThermoLevelOutOfRange,0,0
111,334,-0.56,0.00,-1.01,0,0,-15.03,7.00,1.70,100.10,3,5.41,7.51,31.53,4.50,51.05,FoodLevelOutOfRange,0,0
