Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,4.81,1.80,8.02,8.22,77.15,MaxStepReached,0,0
5,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,5.01,1.40,9.82,9.62,74.15,MaxStepReached,0,0
7,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,4.21,1.80,6.81,7.01,80.16,MaxStepReached,0,0
9,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,5.81,1.60,8.62,9.22,74.75,MaxStepReached,0,0
11,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,5.01,1.20,12.22,9.02,72.55,MaxStepReached,0,0
13,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,5.21,1.20,8.82,8.42,76.35,MaxStepReached,0,0
15,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,4.41,1.60,13.23,7.21,73.55,MaxStepReached,0,0
17,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,5.01,1.60,13.83,4.61,74.95,MaxStepReached,0,0
19,429,-0.37,0.00,-0.87,1,0,-12.78,3.15,0.00,100.00,0,5.83,3.50,13.99,6.99,69.46,ResourceConsumed,0,0
21,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,3.61,1.80,11.82,5.81,76.95,MaxStepReached,0,0
23,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,6.41,1.40,8.42,8.22,75.55,MaxStepReached,0,0
25,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,5.41,0.40,11.22,7.62,75.35,MaxStepReached,0,0
27,500,-0.43,0.00,-0.87,0,0,-13.74,2.51,0.00,100.00,0,4.21,0.60,8.42,8.22,78.56,MaxStepReached,0,0
