Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,300,-2.18,0.00,-4.00,0,0,0.96,2.31,-4.82,87.27,8,10.70,27.42,15.05,23.08,23.75,MaxStepReached,0,0
5,147,-0.56,-0.01,-2.41,0,0,3.02,3.68,-15.01,84.27,6,5.48,41.10,13.70,32.88,6.85,ThermoLevelOutOfRange,0,0
7,300,-1.99,0.00,-4.29,0,0,0.96,2.31,-5.17,88.04,8,14.38,31.77,18.39,20.74,14.72,MaxStepReached,0,0
9,300,-1.62,-0.01,-4.20,0,0,0.96,2.31,-1.83,89.79,5,11.04,27.76,19.06,18.06,24.08,MaxStepReached,0,0
11,300,-1.93,-0.01,-4.16,0,0,0.96,2.31,0.44,79.16,12,9.03,25.75,11.71,35.12,18.39,MaxStepReached,0,0
13,300,-1.96,-0.01,-4.16,0,0,0.96,2.31,0.41,91.68,4,10.03,25.75,18.73,21.07,24.41,MaxStepReached,0,0
15,300,-1.88,-0.01,-4.61,0,0,0.96,2.31,-2.95,88.80,7,12.71,27.76,12.04,22.07,25.42,MaxStepReached,0,0
17,147,-0.56,-0.01,-3.03,0,0,3.02,3.68,-15.01,92.24,3,8.22,40.41,7.53,28.08,15.75,ThermoLevelOutOfRange,0,0
19,147,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,100.01,0,5.48,42.47,4.79,33.56,13.70,ThermoLevelOutOfRange,0,0
21,300,-2.75,0.00,-4.35,0,0,0.96,2.31,-1.29,90.37,7,16.39,26.09,19.06,17.39,21.07,MaxStepReached,0,0
23,300,-1.60,-0.01,-4.34,0,0,0.96,2.31,0.71,94.26,5,13.04,25.08,19.06,17.73,25.08,MaxStepReached,0,0
25,300,-2.00,-0.01,-4.24,0,0,0.96,2.31,-4.26,82.85,10,13.04,27.09,19.73,15.05,25.08,MaxStepReached,0,0
27,300,-2.13,-0.01,-4.40,0,0,0.96,2.31,0.03,99.79,1,17.06,20.07,12.71,20.40,29.77,MaxStepReached,0,0
29,300,-1.99,-0.01,-5.00,0,0,0.96,2.31,0.04,92.66,5,12.71,27.42,23.08,14.72,22.07,MaxStepReached,0,0
31,151,-0.58,-0.01,-4.02,0,0,2.96,3.64,-15.01,97.29,1,5.33,46.67,10.67,20.67,16.67,ThermoLevelOutOfRange,0,0
33,300,-1.15,0.00,-3.89,0,0,0.96,2.31,-0.39,72.51,13,8.36,34.45,21.74,14.72,20.74,MaxStepReached,0,0
35,300,-2.01,-0.01,-4.43,0,0,0.96,2.31,-1.03,56.57,18,8.70,30.77,15.05,27.76,17.73,MaxStepReached,0,0
37,147,-0.57,-0.01,-3.69,0,0,3.02,3.68,-15.01,100.01,0,1.37,39.04,17.81,30.14,11.64,ThermoLevelOutOfRange,0,0
39,147,-0.54,0.00,-1.01,0,0,3.02,3.68,-15.01,94.42,4,7.53,43.84,7.53,27.40,13.70,ThermoLevelOutOfRange,0,0
41,147,-0.54,0.00,-1.00,0,0,3.02,3.68,-15.01,98.55,2,8.90,34.93,11.64,28.77,15.75,ThermoLevelOutOfRange,0,0
43,300,-2.43,0.00,-4.12,0,0,0.96,2.31,-3.49,95.99,4,11.37,24.08,20.40,19.40,24.75,MaxStepReached,0,0
45,300,-2.01,-0.01,-3.88,0,0,0.96,2.31,-5.12,97.16,2,15.38,22.07,16.05,21.07,25.42,MaxStepReached,0,0
47,300,-1.72,-0.01,-4.45,0,0,0.96,2.31,-2.03,89.14,4,17.06,29.43,10.03,19.06,24.41,MaxStepReached,0,0
49,300,-2.31,-0.01,-4.41,0,0,0.96,2.31,0.98,84.42,7,16.05,23.08,15.72,22.07,23.08,MaxStepReached,0,0
51,300,-2.35,-0.01,-4.91,0,0,0.96,2.31,0.37,98.79,3,11.71,22.41,20.74,23.08,22.07,MaxStepReached,0,0
53,151,-0.58,-0.01,-4.13,0,0,2.96,3.64,-15.01,92.44,3,7.33,42.00,15.33,21.33,14.00,ThermoLevelOutOfRange,0,0
55,300,-1.14,0.00,-3.51,0,0,0.96,2.31,-1.78,81.67,8,9.36,31.10,12.37,25.75,21.40,MaxStepReached,0,0
57,147,-0.56,-0.01,-3.42,0,0,3.02,3.68,-15.01,98.80,1,8.22,35.62,4.79,33.56,17.81,ThermoLevelOutOfRange,0,0
59,300,-2.21,0.00,-4.00,0,0,0.96,2.31,-2.11,88.36,7,11.71,22.41,14.05,31.10,20.74,MaxStepReached,0,0
61,300,-0.40,-0.01,-3.31,0,0,0.96,2.31,-8.04,85.09,9,9.36,30.77,16.05,25.75,18.06,MaxStepReached,0,0
63,300,-1.65,-0.01,-4.50,0,0,0.96,2.31,0.42,92.65,4,10.03,23.75,15.05,22.74,28.43,MaxStepReached,0,0
65,147,-0.57,-0.01,-4.15,0,0,3.02,3.68,-15.01,82.45,9,7.53,42.47,10.96,23.29,15.75,ThermoLevelOutOfRange,0,0
67,147,-0.55,0.00,-1.05,0,0,3.02,3.68,-15.01,68.03,15,11.64,32.88,5.48,27.40,22.60,ThermoLevelOutOfRange,0,0
69,300,-2.08,0.00,-4.26,0,0,0.96,2.31,0.48,97.04,5,12.04,23.08,18.06,19.06,27.76,MaxStepReached,0,0
71,300,-1.13,-0.01,-4.17,0,0,0.96,2.31,0.28,79.76,13,7.02,34.45,17.73,19.40,21.40,MaxStepReached,0,0
73,300,-1.72,-0.01,-4.10,0,0,0.96,2.31,-0.09,54.38,23,8.03,35.12,18.73,19.40,18.73,MaxStepReached,0,0
75,300,-2.61,-0.01,-4.36,0,0,0.96,2.31,-1.09,89.17,11,15.05,20.74,10.37,29.43,24.41,MaxStepReached,0,0
77,300,-0.44,-0.01,-3.65,0,0,0.96,2.31,-14.90,100.00,1,5.69,34.78,12.37,24.08,23.08,MaxStepReached,0,0
79,300,-2.03,-0.01,-4.34,0,0,0.96,2.31,-0.05,97.27,2,15.38,22.07,18.39,18.39,25.75,MaxStepReached,0,0
81,148,-0.57,-0.01,-3.99,0,0,3.00,3.67,-15.01,97.87,1,8.84,33.33,2.72,38.10,17.01,ThermoLevelOutOfRange,0,0
83,300,-2.37,0.00,-4.28,0,0,0.96,2.31,-4.20,91.67,6,13.71,23.41,17.06,24.75,21.07,MaxStepReached,0,0
85,300,-3.12,-0.01,-4.73,0,0,0.96,2.31,-0.97,83.57,9,11.71,25.42,20.40,20.07,22.41,MaxStepReached,0,0
87,147,-0.57,-0.01,-3.69,0,0,3.02,3.68,-15.01,98.73,2,10.27,36.99,14.38,26.03,12.33,ThermoLevelOutOfRange,0,0
89,300,-1.86,0.00,-4.71,0,0,0.96,2.31,-0.57,90.44,7,15.05,27.42,14.38,17.73,25.42,MaxStepReached,0,0
