Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,233,-0.82,0.00,-1.86,1,0,-8.32,6.12,0.00,100.00,0,5.60,35.34,34.91,21.55,2.16,ResourceConsumed,1,1
5,103,-1.32,0.00,-1.86,1,0,-8.00,6.33,0.00,100.00,0,6.86,35.29,33.33,20.59,2.94,ResourceConsumed,1,1
7,160,-0.92,0.00,-1.86,1,0,-8.05,6.30,0.00,100.00,0,6.92,38.99,28.93,20.75,3.77,ResourceConsumed,1,1
9,277,-1.62,0.00,-1.86,1,0,-10.43,4.71,0.00,100.00,0,3.99,29.35,28.62,33.70,3.99,ResourceConsumed,1,1
11,249,-1.58,0.00,-1.86,1,0,-10.00,5.00,0.00,99.96,0,3.63,31.85,30.65,30.24,3.23,ResourceConsumed,1,1
13,301,-1.44,0.00,-1.86,0,0,-10.31,4.80,0.00,100.00,0,1.67,37.46,26.42,32.11,2.34,MaxStepReached,1,1
15,252,-1.54,0.00,-1.86,1,0,-9.93,5.05,0.00,100.00,0,3.98,30.68,34.26,28.29,2.39,ResourceConsumed,1,1
17,144,-0.20,0.00,-1.86,0,1,-7.12,6.92,0.00,100.00,0,0.70,49.65,30.77,15.38,2.80,ResourceConsumed,1,1
19,52,-0.32,0.00,-1.86,0,1,-7.11,6.93,0.00,100.00,0,7.84,49.02,27.45,11.76,1.96,ResourceConsumed,1,1
21,95,-0.21,0.00,-1.86,0,1,-7.11,6.93,0.00,100.00,0,5.32,55.32,22.34,14.89,1.06,ResourceConsumed,1,1
23,96,-0.23,0.00,-1.86,0,1,-7.12,6.92,0.00,100.00,0,2.11,38.95,31.58,23.16,3.16,ResourceConsumed,1,1
25,156,-1.26,0.00,-1.86,1,0,-8.44,6.04,0.00,100.00,0,5.16,30.97,29.68,29.68,3.87,ResourceConsumed,1,1
27,190,-0.78,0.00,-1.86,1,0,-8.03,6.32,0.00,100.00,0,3.17,41.80,29.63,22.22,2.65,ResourceConsumed,1,1
29,60,-0.28,0.00,-1.86,0,1,-7.11,6.93,0.00,100.00,0,6.78,32.20,45.76,8.47,5.08,ResourceConsumed,1,1
31,212,-0.75,0.00,-1.86,1,0,-8.09,6.27,0.00,100.00,0,3.32,44.08,32.70,17.54,1.90,ResourceConsumed,1,1
33,60,-0.43,0.00,-1.86,0,1,-7.18,6.88,0.00,100.00,0,8.47,37.29,38.98,5.08,8.47,ResourceConsumed,1,1
35,120,-0.22,0.00,-1.86,0,1,-7.14,6.91,0.00,100.00,0,2.52,53.78,29.41,10.92,2.52,ResourceConsumed,1,1
37,55,-0.33,0.00,-1.86,0,1,-7.12,6.92,0.00,100.00,0,7.41,35.19,33.33,18.52,3.70,ResourceConsumed,1,1
39,65,-0.32,0.00,-1.86,0,1,-7.14,6.91,0.00,100.00,0,10.94,37.50,29.69,18.75,1.56,ResourceConsumed,1,1
41,301,-1.03,0.00,-1.86,0,0,-9.24,5.51,0.00,100.00,0,5.02,39.80,30.10,22.41,2.68,MaxStepReached,1,1
43,301,-1.36,0.00,-1.86,0,0,-10.08,4.95,0.00,100.00,0,4.01,39.13,29.77,24.75,2.34,MaxStepReached,1,1
45,301,-1.18,0.00,-1.86,0,0,-9.62,5.25,0.00,100.00,0,4.35,37.46,30.77,23.41,4.01,MaxStepReached,1,1
47,73,-0.07,0.00,-1.71,0,1,6.03,-7.65,0.00,100.00,0,8.22,42.47,28.77,16.44,2.74,ResourceConsumed,0,0
49,90,-0.06,0.00,-0.37,0,1,5.80,-7.80,0.00,100.00,0,7.78,45.56,26.67,17.78,1.11,ResourceConsumed,0,0
