Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,67,-0.48,-0.01,-1.15,0,0,-12.90,-12.60,-13.49,-0.08,49,6.06,83.33,0.00,10.61,0.00,HealthLevelTooLow,0,0
5,88,-0.55,0.00,-1.28,0,0,-13.19,-12.79,-13.97,-0.19,49,2.30,73.56,17.24,6.90,0.00,HealthLevelTooLow,0,0
7,147,-0.75,0.00,-1.47,0,0,-13.98,-13.32,-15.01,26.01,72,0.00,91.78,2.05,5.48,0.68,ThermoLevelOutOfRange,0,0
9,104,-0.64,0.00,-1.37,0,0,-13.40,-12.94,-14.27,-1.62,58,0.00,74.76,22.33,2.91,0.00,HealthLevelTooLow,0,0
11,190,-1.93,0.00,-5.31,0,0,-14.57,-13.71,3.48,-0.31,89,1.59,66.14,28.57,3.70,0.00,HealthLevelTooLow,0,0
13,136,-0.70,0.00,-1.48,1,0,-10.84,-13.22,-14.83,-0.33,44,0.00,52.21,39.71,5.88,1.47,HealthLevelTooLow,0,0
15,74,-0.50,0.00,-1.20,0,0,-13.00,-12.67,-13.69,-0.67,45,0.00,75.34,19.18,5.48,0.00,HealthLevelTooLow,0,0
17,77,-0.53,0.00,-1.22,0,0,-13.04,-12.69,-13.75,-0.03,49,2.63,75.00,17.11,5.26,0.00,HealthLevelTooLow,0,0
19,81,-0.54,0.00,-1.24,0,0,-13.09,-12.73,-13.83,-0.89,54,1.25,83.75,13.75,1.25,0.00,HealthLevelTooLow,0,0
21,73,-0.54,0.00,-1.20,0,0,-12.99,-12.66,-13.67,-1.94,50,0.00,80.56,15.28,4.17,0.00,HealthLevelTooLow,0,0
23,66,-0.50,0.00,-1.17,0,0,-12.89,-12.59,-13.53,-1.64,50,3.08,81.54,13.85,1.54,0.00,HealthLevelTooLow,0,0
25,76,-0.57,0.00,-1.22,0,0,-13.03,-12.68,-13.73,-0.02,49,0.00,80.00,16.00,4.00,0.00,HealthLevelTooLow,0,0
27,151,-1.08,0.00,-2.07,0,2,-14.04,-7.36,-15.01,32.53,39,0.66,59.87,11.84,25.00,1.32,ThermoLevelOutOfRange,0,0
29,147,-1.04,0.00,-2.10,0,2,-13.98,-7.32,-15.01,24.68,39,0.68,52.03,38.51,4.73,2.70,ThermoLevelOutOfRange,0,0
31,126,-0.65,0.00,-1.48,0,0,-13.70,-13.13,-14.65,-0.43,48,0.00,84.80,12.00,2.40,0.80,HealthLevelTooLow,0,0
33,79,-0.51,0.00,-1.22,0,0,-13.07,-12.71,-13.79,-0.07,49,1.28,79.49,14.10,5.13,0.00,HealthLevelTooLow,0,0
35,68,-0.50,0.00,-1.18,0,0,-12.92,-12.61,-13.57,-1.42,44,1.49,80.60,16.42,1.49,0.00,HealthLevelTooLow,0,0
37,147,-1.36,0.00,-2.73,3,0,-4.98,-13.32,-15.01,9.29,52,4.70,49.66,36.91,3.36,3.36,ThermoLevelOutOfRange,0,0
39,102,-0.67,0.00,-1.36,0,0,-13.38,-12.92,-14.23,-1.66,57,0.00,86.14,8.91,3.96,0.99,HealthLevelTooLow,0,0
41,65,-0.47,0.00,-1.16,0,0,-12.88,-12.58,-13.50,-1.22,44,0.00,79.69,18.75,1.56,0.00,HealthLevelTooLow,0,0
43,91,-0.57,0.00,-1.30,0,0,-13.23,-12.82,-14.02,-2.06,50,0.00,66.67,28.89,4.44,0.00,HealthLevelTooLow,0,0
45,73,-0.54,0.00,-1.20,0,0,-12.99,-12.66,-13.67,-1.94,50,0.00,80.56,15.28,4.17,0.00,HealthLevelTooLow,0,0
47,85,-0.62,0.00,-1.26,0,0,-13.15,-12.76,-13.91,-1.85,49,1.19,79.76,14.29,4.76,0.00,HealthLevelTooLow,0,0
49,147,-2.09,0.00,-3.71,4,0,-1.98,-13.32,-15.01,19.54,46,6.67,52.00,29.33,6.00,3.33,ThermoLevelOutOfRange,0,0
51,88,-0.55,0.00,-1.27,0,0,-13.19,-12.79,-13.97,-0.65,58,0.00,85.06,10.34,4.60,0.00,HealthLevelTooLow,0,0
53,151,-1.23,0.00,-2.08,0,2,-14.04,-7.36,-14.08,-0.91,53,2.63,53.29,33.55,7.24,1.97,HealthLevelTooLow,0,0
55,87,-0.52,0.00,-1.27,0,0,-13.17,-12.78,-13.95,-1.66,50,1.16,67.44,29.07,2.33,0.00,HealthLevelTooLow,0,0
57,121,-0.63,0.00,-1.46,0,0,-13.63,-13.09,-14.57,-0.56,58,1.67,65.83,26.67,5.83,0.00,HealthLevelTooLow,0,0
59,86,-0.51,0.00,-1.26,0,0,-13.16,-12.77,-13.93,-1.33,44,0.00,65.88,31.76,1.18,1.18,HealthLevelTooLow,0,0
61,69,-0.50,0.00,-1.17,0,0,-12.93,-12.62,-13.59,-0.37,49,0.00,82.35,14.71,2.94,0.00,HealthLevelTooLow,0,0
63,66,-0.47,0.00,-1.16,0,0,-12.89,-12.59,-13.53,-1.21,44,1.54,78.46,18.46,1.54,0.00,HealthLevelTooLow,0,0
65,102,-0.66,0.00,-1.35,0,0,-13.38,-12.92,-14.23,-0.12,48,0.00,80.20,14.85,4.95,0.00,HealthLevelTooLow,0,0
