Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,223,-0.63,-0.01,-1.22,0,0,-15.01,-14.01,0.00,76.72,11,2.25,33.33,5.41,58.11,0.90,FoodLevelOutOfRange,0,0
5,223,-0.63,0.00,-1.25,0,0,-15.01,-14.01,0.00,63.82,16,0.45,38.74,12.61,48.20,0.00,FoodLevelOutOfRange,0,0
7,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,81.28,9,0.90,37.39,9.91,51.35,0.45,FoodLevelOutOfRange,0,0
9,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,76.01,11,0.00,31.98,9.01,59.01,0.00,FoodLevelOutOfRange,0,0
11,223,-0.63,0.00,-1.26,0,0,-15.01,-14.01,0.00,61.60,17,0.45,39.19,9.46,50.90,0.00,FoodLevelOutOfRange,0,0
13,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,89.79,5,0.00,34.23,8.56,57.21,0.00,FoodLevelOutOfRange,0,0
15,223,-0.62,0.00,-1.24,0,0,-15.01,-14.01,0.00,68.40,15,0.00,38.29,12.61,48.65,0.45,FoodLevelOutOfRange,0,0
17,223,-0.61,0.00,-1.28,0,0,-15.01,-14.01,0.00,54.88,19,0.90,36.94,10.81,51.35,0.00,FoodLevelOutOfRange,0,0
19,223,-0.62,0.00,-1.26,0,0,-15.01,-14.01,0.00,60.30,18,0.00,39.64,14.41,45.05,0.90,FoodLevelOutOfRange,0,0
21,223,-0.65,0.00,-1.36,0,0,-15.01,-14.01,0.00,37.08,26,0.00,44.14,11.71,44.14,0.00,FoodLevelOutOfRange,0,0
23,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,76.47,10,0.45,35.14,8.56,55.86,0.00,FoodLevelOutOfRange,0,0
25,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,93.39,4,0.00,42.34,25.23,32.43,0.00,FoodLevelOutOfRange,0,0
27,223,-0.63,0.00,-1.26,0,0,-15.01,-14.01,0.00,61.41,16,0.00,33.33,7.21,59.46,0.00,FoodLevelOutOfRange,0,0
29,223,-0.60,0.00,-1.21,0,0,-15.01,-14.01,0.00,87.41,6,0.00,38.74,17.57,43.69,0.00,FoodLevelOutOfRange,0,0
31,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,81.26,9,0.00,35.59,12.61,51.80,0.00,FoodLevelOutOfRange,0,0
33,223,-0.61,0.00,-1.20,0,0,-15.01,-14.01,0.00,91.42,5,0.45,18.47,8.11,72.07,0.90,FoodLevelOutOfRange,0,0
35,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,92.05,4,0.00,22.97,6.76,70.27,0.00,FoodLevelOutOfRange,0,0
37,223,-0.62,0.00,-1.24,0,0,-15.01,-14.01,0.00,67.25,15,0.00,37.84,7.66,54.50,0.00,FoodLevelOutOfRange,0,0
39,223,-0.65,0.00,-1.27,0,0,-15.01,-14.01,0.00,57.74,20,0.00,37.39,6.76,55.41,0.45,FoodLevelOutOfRange,0,0
41,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,91.05,4,0.45,38.74,15.77,44.59,0.45,FoodLevelOutOfRange,0,0
43,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,78.94,11,0.00,35.59,9.01,55.41,0.00,FoodLevelOutOfRange,0,0
45,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,78.05,13,0.00,35.14,5.86,59.01,0.00,FoodLevelOutOfRange,0,0
47,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,76.96,13,0.90,32.88,5.41,60.36,0.45,FoodLevelOutOfRange,0,0
49,223,-0.62,0.00,-1.23,0,0,-15.01,-14.01,0.00,71.63,13,0.45,38.29,11.71,49.10,0.45,FoodLevelOutOfRange,0,0
51,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,80.50,9,0.00,33.33,14.86,51.80,0.00,FoodLevelOutOfRange,0,0
53,223,-0.62,0.00,-1.25,0,0,-15.01,-14.01,0.00,64.85,14,0.00,36.94,9.46,53.60,0.00,FoodLevelOutOfRange,0,0
55,223,-0.65,0.00,-1.27,0,0,-15.01,-14.01,0.00,57.95,20,0.00,31.08,2.25,66.22,0.45,FoodLevelOutOfRange,0,0
57,223,-0.65,0.00,-1.28,0,0,-15.01,-14.01,0.00,54.96,17,0.00,41.44,17.57,40.99,0.00,FoodLevelOutOfRange,0,0
59,223,-0.61,0.00,-1.23,0,0,-15.01,-14.01,0.00,74.58,13,0.00,35.14,9.91,54.05,0.90,FoodLevelOutOfRange,0,0
61,223,-0.61,0.00,-1.22,0,0,-15.01,-14.01,0.00,77.02,13,0.45,36.04,5.86,57.66,0.00,FoodLevelOutOfRange,0,0
63,223,-0.60,0.00,-1.20,0,0,-15.01,-14.01,0.00,89.79,6,0.00,36.49,20.27,42.79,0.45,FoodLevelOutOfRange,0,0
65,223,-0.65,0.00,-1.32,0,0,-15.01,-14.01,0.00,44.98,18,0.00,36.94,5.41,57.21,0.45,FoodLevelOutOfRange,0,0
67,223,-0.65,0.00,-1.25,0,0,-15.01,-14.01,0.00,66.33,12,0.00,39.19,11.71,49.10,0.00,FoodLevelOutOfRange,0,0
