Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,122,-0.23,0.00,-1.01,0,0,-8.65,5.90,0.00,-1.62,43,6.61,59.50,4.96,6.61,22.31,HealthLevelTooLow,0,0
5,113,-0.20,0.00,-0.99,0,0,-8.53,5.98,0.00,-0.53,32,7.14,53.57,5.36,7.14,26.79,HealthLevelTooLow,0,0
7,127,-0.36,0.00,-1.00,0,0,-8.71,5.86,0.00,-0.45,84,3.97,79.37,3.17,1.59,11.90,HealthLevelTooLow,0,0
9,161,-0.20,0.00,-1.01,0,0,-9.17,5.55,0.00,-0.59,33,10.63,49.38,3.13,13.75,23.13,HealthLevelTooLow,0,0
11,126,-0.46,0.00,-1.01,0,0,-8.70,5.87,0.00,-1.47,37,4.00,44.80,10.40,15.20,25.60,HealthLevelTooLow,0,0
13,114,-0.21,0.00,-1.01,0,0,-8.54,5.97,0.00,-1.99,33,1.77,43.36,5.31,8.85,40.71,HealthLevelTooLow,0,0
15,237,-0.32,0.00,-1.08,0,0,-10.20,4.87,0.00,-2.56,55,8.47,56.78,7.20,12.71,14.83,HealthLevelTooLow,0,0
17,88,-0.22,0.00,-0.98,0,0,-8.19,6.21,0.00,-0.04,32,3.45,60.92,3.45,5.75,26.44,HealthLevelTooLow,0,0
19,282,-0.30,0.00,-1.10,0,0,-10.81,4.46,0.00,-1.89,34,4.98,56.23,10.32,16.37,12.10,HealthLevelTooLow,0,0
21,100,-0.20,0.00,-0.98,0,0,-8.35,6.10,0.00,-0.06,32,1.01,57.58,11.11,13.13,17.17,HealthLevelTooLow,0,0
23,113,-0.21,0.00,-1.00,0,0,-8.53,5.98,0.00,-1.55,35,5.36,58.04,3.57,5.36,27.68,HealthLevelTooLow,0,0
25,114,-0.42,0.00,-1.02,0,0,-8.54,5.97,0.00,-0.04,37,2.65,58.41,7.96,11.50,19.47,HealthLevelTooLow,0,0
27,202,-0.23,0.00,-1.05,0,0,-9.73,5.18,0.00,-1.97,31,9.95,53.73,10.45,11.44,14.43,HealthLevelTooLow,0,0
29,81,-0.48,0.00,-1.01,0,0,-8.09,6.27,0.00,-0.02,39,0.00,63.75,8.75,13.75,13.75,HealthLevelTooLow,0,0
31,85,-0.22,0.00,-0.98,0,0,-8.15,6.24,0.00,-0.19,32,3.57,58.33,2.38,4.76,30.95,HealthLevelTooLow,0,0
33,141,-0.20,0.00,-1.00,0,0,-8.90,5.73,0.00,-0.09,32,11.43,55.71,3.57,15.71,13.57,HealthLevelTooLow,0,0
35,170,-0.27,0.00,-1.02,0,0,-9.30,5.47,0.00,-0.19,81,1.18,63.91,3.55,2.37,28.99,HealthLevelTooLow,0,0
37,222,-0.75,0.00,-1.07,0,0,-10.00,5.00,0.00,-2.71,71,0.00,50.23,20.81,21.72,7.24,HealthLevelTooLow,0,0
39,115,-0.61,0.00,-1.01,0,0,-8.55,5.97,0.00,-2.14,34,0.00,41.23,17.54,22.81,18.42,HealthLevelTooLow,0,0
41,272,-0.27,0.00,-1.08,0,0,-10.67,4.55,0.00,-0.51,43,4.43,50.55,8.12,19.93,16.97,HealthLevelTooLow,0,0
43,129,-0.29,0.00,-1.00,0,0,-8.74,5.84,0.00,-0.13,65,3.13,70.31,3.13,4.69,18.75,HealthLevelTooLow,0,0
45,59,-0.28,0.00,-0.98,0,0,-7.80,6.47,0.00,-0.47,32,0.00,65.52,1.72,8.62,24.14,HealthLevelTooLow,0,0
47,253,-0.43,0.00,-1.08,0,0,-10.42,4.72,0.00,-1.48,72,1.19,70.24,4.37,9.52,14.68,HealthLevelTooLow,0,0
49,126,-0.11,0.00,-0.24,1,0,-8.69,5.88,0.00,90.86,15,10.32,43.65,1.59,17.46,26.19,ResourceConsumed,0,0
51,167,-0.21,0.00,-1.03,0,0,-9.25,5.50,0.00,-1.82,35,5.42,54.82,3.61,4.82,31.33,HealthLevelTooLow,0,0
53,156,-0.31,0.00,-1.03,0,0,-9.11,5.60,0.00,-1.58,83,1.94,77.42,3.23,1.94,15.48,HealthLevelTooLow,0,0
