Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,91,-0.10,0.00,-0.19,0,1,-8.22,6.19,0.00,89.11,4,9.89,42.86,6.59,19.78,19.78,ResourceConsumed,0,0
5,84,-0.07,0.00,-0.14,0,1,-8.12,6.25,0.00,100.00,0,2.38,16.67,1.19,3.57,75.00,ResourceConsumed,0,0
7,114,-0.10,0.00,-0.20,0,1,-8.53,5.98,0.00,100.00,0,3.51,13.16,2.63,2.63,77.19,ResourceConsumed,0,0
9,59,-0.05,0.00,-0.14,0,1,-7.78,6.48,0.00,100.00,0,6.78,33.90,5.08,5.08,47.46,ResourceConsumed,0,0
11,120,-0.30,0.00,-1.01,0,0,-8.62,5.92,0.00,-1.83,38,5.04,69.75,2.52,15.13,7.56,HealthLevelTooLow,0,0
13,301,-1.26,0.00,-1.86,0,0,4.04,-8.97,0.00,100.00,0,9.36,43.14,27.42,12.37,7.69,MaxStepReached,1,1
15,92,-0.10,0.00,-1.56,0,1,-8.23,6.18,0.00,97.77,1,4.35,42.39,5.43,22.83,23.91,ResourceConsumed,0,0
17,219,-0.36,0.00,-1.06,0,0,-9.96,5.03,0.00,-2.69,35,22.48,31.65,5.96,5.96,33.94,HealthLevelTooLow,0,0
19,81,-0.07,0.00,-0.14,1,0,-8.08,6.28,0.00,100.00,0,14.81,43.21,3.70,16.05,20.99,ResourceConsumed,0,0
21,107,-0.10,0.00,-0.37,0,1,-8.43,6.05,0.00,100.00,0,1.87,9.35,0.93,0.93,85.98,ResourceConsumed,0,0
23,44,-0.04,0.00,-0.14,0,1,-7.58,6.61,0.00,100.00,0,4.55,27.27,4.55,4.55,56.82,ResourceConsumed,0,0
25,57,-0.05,0.00,-0.14,0,1,-7.76,6.50,0.00,100.00,0,17.54,21.05,3.51,7.02,49.12,ResourceConsumed,0,0
27,98,-0.24,0.00,-1.01,0,0,-8.32,6.12,0.00,-2.71,33,7.22,63.92,7.22,7.22,14.43,HealthLevelTooLow,0,0
29,116,-0.49,0.00,-1.02,0,0,-8.57,5.96,0.00,-0.03,32,0.87,53.91,17.39,13.04,14.78,HealthLevelTooLow,0,0
31,80,-0.26,0.00,-1.00,0,0,-8.08,6.28,0.00,-0.01,34,5.06,68.35,5.06,3.80,17.72,HealthLevelTooLow,0,0
33,75,-0.06,0.00,-0.13,1,0,-8.00,6.33,0.00,98.63,1,2.67,48.00,2.67,21.33,24.00,ResourceConsumed,0,0
35,75,-0.24,0.00,-0.98,0,0,-8.01,6.33,0.00,-0.03,32,9.46,70.27,4.05,4.05,12.16,HealthLevelTooLow,0,0
37,80,-0.08,0.00,-0.29,1,0,-8.07,6.29,0.00,74.01,11,6.25,57.50,3.75,13.75,17.50,ResourceConsumed,0,0
39,90,-0.22,0.00,-0.98,0,0,-8.22,6.19,0.00,-0.15,32,8.99,59.55,5.62,5.62,20.22,HealthLevelTooLow,0,0
41,104,-0.09,0.00,-0.18,1,0,-8.39,6.07,0.00,100.00,0,10.58,46.15,0.96,24.04,17.31,ResourceConsumed,0,0
43,47,-0.05,0.00,-0.37,0,1,-7.62,6.59,0.00,100.00,0,17.02,25.53,4.26,6.38,44.68,ResourceConsumed,0,0
45,43,-0.04,0.00,-0.14,0,1,-7.57,6.62,0.00,100.00,0,4.65,23.26,4.65,4.65,60.47,ResourceConsumed,0,0
47,155,-1.09,0.00,-1.86,0,1,5.76,-7.83,0.00,100.00,0,6.49,42.86,21.43,13.64,14.94,ResourceConsumed,1,1
49,78,-0.07,0.00,-0.14,1,0,-8.04,6.31,0.00,99.89,0,11.54,41.03,5.13,19.23,21.79,ResourceConsumed,0,0
51,82,-0.07,0.00,-0.37,0,1,-8.09,6.27,0.00,100.00,0,2.44,17.07,3.66,7.32,68.29,ResourceConsumed,0,0
53,84,-0.22,0.00,-0.98,0,0,-8.13,6.24,0.00,-0.18,32,8.43,62.65,3.61,3.61,21.69,HealthLevelTooLow,0,0
55,99,-0.37,0.00,-1.00,0,0,-8.34,6.11,0.00,-1.12,42,3.06,64.29,6.12,17.35,9.18,HealthLevelTooLow,0,0
57,73,-0.24,0.00,-0.98,0,0,-7.99,6.34,0.00,-0.58,32,2.78,75.00,6.94,6.94,8.33,HealthLevelTooLow,0,0
