Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,221,-0.32,0.00,-1.07,0,0,-9.98,5.01,0.00,-0.36,33,11.82,47.27,4.55,18.64,17.73,HealthLevelTooLow,0,0
5,100,-0.38,0.00,-1.01,0,0,-8.35,6.10,0.00,-2.03,43,3.03,58.59,8.08,4.04,26.26,HealthLevelTooLow,0,0
7,123,-0.20,0.00,-0.99,0,0,-8.66,5.89,0.00,-0.32,32,6.56,59.84,1.64,13.93,18.03,HealthLevelTooLow,0,0
9,134,-0.25,0.00,-1.00,0,0,-8.81,5.79,0.00,-0.18,39,4.51,66.92,2.26,13.53,12.78,HealthLevelTooLow,0,0
11,89,-0.44,0.00,-0.99,0,0,-8.20,6.20,0.00,-0.38,49,3.41,71.59,7.95,3.41,13.64,HealthLevelTooLow,0,0
13,83,-0.25,0.00,-0.98,0,0,-8.12,6.25,0.00,-0.49,28,2.44,65.85,9.76,9.76,12.20,HealthLevelTooLow,0,0
15,184,-0.28,0.00,-1.04,0,0,-9.48,5.34,0.00,-2.38,35,6.56,63.39,2.19,18.58,9.29,HealthLevelTooLow,0,0
17,106,-0.09,0.00,-0.18,1,0,-8.42,6.06,0.00,100.00,0,15.09,48.11,2.83,18.87,14.15,ResourceConsumed,0,0
19,113,-0.56,0.00,-1.00,0,0,-8.53,5.98,0.00,-0.55,37,0.89,51.79,23.21,2.68,21.43,HealthLevelTooLow,0,0
21,29,-0.02,0.00,-0.05,1,0,-7.38,6.75,0.00,100.00,0,3.45,41.38,3.45,3.45,44.83,ResourceConsumed,0,0
23,44,-0.04,0.00,-0.07,1,0,-7.58,6.61,0.00,100.00,0,9.09,31.82,2.27,2.27,52.27,ResourceConsumed,0,0
25,136,-0.21,0.00,-1.02,0,0,-8.84,5.78,0.00,-0.37,33,1.48,38.52,2.96,3.70,53.33,HealthLevelTooLow,0,0
27,142,-0.19,0.00,-0.81,1,0,-8.90,5.73,0.00,22.61,36,9.15,57.75,1.41,14.08,16.90,ResourceConsumed,0,0
29,51,-0.04,0.00,-0.09,0,1,-7.68,6.55,0.00,100.00,0,11.76,45.10,19.61,7.84,13.73,ResourceConsumed,0,0
31,112,-0.10,0.00,-0.19,1,0,-8.50,6.00,0.00,99.84,0,8.04,49.11,0.89,16.07,25.00,ResourceConsumed,0,0
33,150,-0.20,0.00,-1.01,0,0,-9.03,5.65,0.00,-0.58,32,8.72,56.38,0.67,10.74,23.49,HealthLevelTooLow,0,0
35,131,-0.43,0.00,-1.02,0,0,-8.77,5.82,0.00,-1.65,66,0.00,65.38,6.15,14.62,13.85,HealthLevelTooLow,0,0
37,23,-0.02,0.00,-0.04,1,0,-7.30,6.80,0.00,100.00,0,4.35,60.87,4.35,4.35,21.74,ResourceConsumed,0,0
39,117,-0.35,0.00,-1.00,0,0,-8.58,5.95,0.00,-0.81,41,0.86,55.17,3.45,6.90,33.62,HealthLevelTooLow,0,0
41,101,-0.09,0.00,-0.18,1,0,-8.35,6.10,0.00,95.52,2,12.87,38.61,1.98,18.81,26.73,ResourceConsumed,0,0
43,130,-0.20,0.00,-1.00,0,0,-8.76,5.83,0.00,-0.45,32,3.10,36.43,0.78,0.78,58.91,HealthLevelTooLow,0,0
45,96,-0.08,0.00,-0.16,1,0,-8.28,6.15,0.00,100.00,0,12.50,42.71,2.08,18.75,22.92,ResourceConsumed,0,0
47,141,-0.44,0.00,-1.02,0,0,-8.90,5.73,0.00,-1.24,69,2.14,64.29,3.57,11.43,18.57,HealthLevelTooLow,0,0
49,125,-0.20,0.00,-0.99,0,0,-8.69,5.88,0.00,-0.06,32,9.68,56.45,0.81,12.90,20.16,HealthLevelTooLow,0,0
51,96,-0.32,0.00,-0.99,0,0,-8.30,6.14,0.00,-0.65,33,0.00,65.26,5.26,5.26,24.21,HealthLevelTooLow,0,0
53,84,-0.44,0.00,-1.00,0,0,-8.13,6.24,0.00,-1.42,37,0.00,65.06,9.64,4.82,20.48,HealthLevelTooLow,0,0
55,126,-0.22,0.00,-1.02,0,0,-8.70,5.87,0.00,-0.04,34,9.60,55.20,1.60,12.80,20.80,HealthLevelTooLow,0,0
57,96,-0.09,0.00,-0.17,1,0,-8.28,6.15,0.00,97.19,1,14.58,46.88,2.08,18.75,16.67,ResourceConsumed,0,0
59,104,-0.38,0.00,-1.00,0,0,-8.40,6.06,0.00,-0.89,34,0.97,47.57,5.83,1.94,43.69,HealthLevelTooLow,0,0
61,83,-0.07,0.00,-0.14,1,0,-8.11,6.26,0.00,100.00,0,10.84,38.55,1.20,21.69,26.51,ResourceConsumed,0,0
63,132,-0.33,0.00,-1.01,0,0,-8.78,5.81,0.00,-1.19,45,3.82,50.38,6.87,9.92,29.01,HealthLevelTooLow,0,0
65,159,-0.23,0.00,-1.03,0,0,-9.15,5.57,0.00,-2.07,8,11.39,46.84,1.27,20.25,20.25,HealthLevelTooLow,0,0
67,99,-0.47,0.00,-1.01,0,0,-8.34,6.11,0.00,-2.19,49,1.02,65.31,8.16,4.08,21.43,HealthLevelTooLow,0,0
69,113,-0.33,0.00,-1.00,0,0,-8.53,5.98,0.00,-0.96,33,2.68,64.29,1.79,15.18,16.07,HealthLevelTooLow,0,0
71,136,-0.22,0.00,-1.02,0,0,-8.84,5.78,0.00,-0.04,34,13.33,56.30,1.48,11.85,17.04,HealthLevelTooLow,0,0
73,243,-0.25,0.00,-1.08,0,0,-10.28,4.81,0.00,0.00,35,7.02,53.72,6.61,18.60,14.05,HealthLevelTooLow,0,0
75,106,-0.20,0.00,-0.99,0,0,-8.43,6.05,0.00,-0.58,32,7.62,60.95,9.52,9.52,12.38,HealthLevelTooLow,0,0
77,87,-0.46,0.00,-1.00,0,0,-8.17,6.22,0.00,-1.32,47,0.00,72.09,12.79,3.49,11.63,HealthLevelTooLow,0,0
79,28,-0.02,0.00,-0.05,1,0,-7.36,6.76,0.00,100.00,0,0.00,39.29,7.14,7.14,42.86,ResourceConsumed,0,0
81,41,-0.03,0.00,-0.07,1,0,-7.54,6.64,0.00,100.00,0,7.32,29.27,2.44,2.44,56.10,ResourceConsumed,0,0
83,85,-0.41,0.00,-1.00,0,0,-8.15,6.24,0.00,-0.61,35,0.00,57.14,4.76,1.19,36.90,HealthLevelTooLow,0,0
85,133,-0.20,0.00,-1.00,0,0,-8.80,5.80,0.00,-0.74,32,5.30,53.03,1.52,12.88,27.27,HealthLevelTooLow,0,0
87,130,-0.63,0.00,-1.02,0,0,-8.76,5.83,0.00,-2.19,43,0.78,54.26,17.05,10.85,17.05,HealthLevelTooLow,0,0
89,36,-0.03,0.00,-0.06,1,0,-7.47,6.69,0.00,100.00,0,16.67,30.56,8.33,5.56,36.11,ResourceConsumed,0,0
91,83,-0.38,0.00,-1.00,0,0,-8.12,6.25,0.00,-1.70,33,0.00,56.10,4.88,0.00,39.02,HealthLevelTooLow,0,0
93,69,-0.06,0.00,-0.12,1,0,-7.92,6.39,0.00,99.99,0,17.39,31.88,15.94,4.35,28.99,ResourceConsumed,0,0
95,181,-0.24,0.00,-1.04,0,0,-9.44,5.37,0.00,-0.23,38,6.67,55.56,2.78,10.56,24.44,HealthLevelTooLow,0,0
97,89,-0.08,0.00,-0.15,1,0,-8.19,6.21,0.00,100.00,0,10.11,38.20,2.25,20.22,28.09,ResourceConsumed,0,0
99,49,-0.04,0.00,-0.08,1,0,-7.65,6.57,0.00,100.00,0,10.20,26.53,4.08,4.08,53.06,ResourceConsumed,0,0
101,101,-0.41,0.00,-1.01,0,0,-8.36,6.09,0.00,-0.87,38,0.00,52.00,5.00,2.00,41.00,HealthLevelTooLow,0,0
103,29,-0.02,0.00,-0.05,1,0,-7.38,6.75,0.00,100.00,0,6.90,37.93,3.45,3.45,44.83,ResourceConsumed,0,0
105,130,-0.29,0.00,-1.02,0,0,-8.76,5.83,0.00,-1.74,41,3.88,60.47,1.55,10.08,24.03,HealthLevelTooLow,0,0
107,86,-0.07,0.00,-0.15,1,0,-8.15,6.24,0.00,100.00,0,16.28,37.21,1.16,20.93,23.26,ResourceConsumed,0,0
109,86,-0.44,0.00,-0.99,0,0,-8.16,6.23,0.00,-0.37,33,0.00,56.47,9.41,1.18,32.94,HealthLevelTooLow,0,0
111,38,-0.03,0.00,-0.06,1,0,-7.50,6.67,0.00,100.00,0,13.16,28.95,7.89,7.89,39.47,ResourceConsumed,0,0
113,44,-0.04,0.00,-0.07,1,0,-7.58,6.61,0.00,100.00,0,11.36,25.00,2.27,2.27,56.82,ResourceConsumed,0,0
