Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,300,-2.67,0.00,-3.84,0,0,0.96,2.31,-1.03,99.23,2,5.02,28.09,33.11,30.43,3.34,MaxStepReached,0,0
5,300,-2.81,-0.01,-3.88,0,0,0.96,2.31,-1.88,90.04,5,5.69,30.77,24.41,39.13,0.00,MaxStepReached,0,0
7,300,-2.30,-0.01,-3.61,0,0,0.96,2.31,-1.33,84.65,8,5.02,29.10,36.45,27.76,1.67,MaxStepReached,0,0
9,300,-2.58,-0.01,-4.10,0,0,0.96,2.31,-1.10,61.99,21,3.34,31.10,21.74,43.81,0.00,MaxStepReached,0,0
11,300,-2.90,-0.01,-3.92,0,0,0.96,2.31,-1.85,90.28,6,4.68,22.74,25.75,43.81,3.01,MaxStepReached,0,0
13,300,-2.73,-0.01,-3.75,0,0,0.96,2.31,-1.05,100.00,0,6.02,25.42,27.09,39.13,2.34,MaxStepReached,0,0
15,300,-1.78,-0.01,-3.66,0,0,0.96,2.31,-1.37,94.54,3,7.02,32.44,34.11,24.75,1.67,MaxStepReached,0,0
17,300,-2.31,-0.01,-3.95,0,0,0.96,2.31,-0.80,71.18,15,4.35,32.78,32.78,28.76,1.34,MaxStepReached,0,0
19,300,-1.84,-0.01,-3.76,0,0,0.96,2.31,-1.68,79.17,16,5.35,35.45,33.78,24.41,1.00,MaxStepReached,0,0
21,300,-2.73,-0.01,-3.94,0,0,0.96,2.31,-1.38,86.31,5,4.01,25.75,30.10,38.13,2.01,MaxStepReached,0,0
23,300,-2.85,-0.01,-3.81,0,0,0.96,2.31,-1.58,79.21,9,3.34,30.77,22.41,42.14,1.34,MaxStepReached,0,0
25,300,-2.91,-0.01,-3.80,0,0,0.96,2.31,-1.44,93.07,3,7.69,23.41,31.10,35.12,2.68,MaxStepReached,0,0
