Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,278,-0.18,0.00,-0.35,0,1,3.26,-9.49,0.00,100.00,0,5.40,45.32,38.49,5.40,5.04,ResourceConsumed,0,0
5,381,-0.24,0.00,-0.49,1,0,1.87,-10.42,0.00,100.00,0,7.87,46.19,34.38,6.04,5.25,ResourceConsumed,0,0
7,397,-0.25,0.00,-0.51,1,0,1.65,-10.56,0.00,99.35,2,8.82,49.12,34.51,4.03,3.27,ResourceConsumed,0,0
9,483,-0.31,0.00,-0.62,0,1,0.49,-11.34,0.00,97.96,3,10.77,46.17,33.33,5.59,3.93,ResourceConsumed,0,0
11,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,18.04,39.48,29.26,6.81,6.41,MaxStepReached,0,0
13,462,-0.30,0.00,-0.64,0,1,0.78,-11.15,0.00,94.94,6,9.09,48.27,29.87,8.44,4.11,ResourceConsumed,0,0
15,486,-0.31,0.00,-0.62,0,1,0.45,-11.36,0.00,100.00,0,10.49,44.86,38.68,1.85,3.91,ResourceConsumed,0,0
17,404,-0.26,0.00,-0.52,0,1,1.56,-10.63,0.00,99.98,0,5.45,48.51,35.15,5.45,5.20,ResourceConsumed,0,0
19,238,-0.16,0.00,-0.32,0,1,3.80,-9.13,0.00,89.29,5,5.46,48.74,37.39,5.04,2.94,ResourceConsumed,0,0
21,325,-0.21,0.00,-0.42,0,1,2.63,-9.92,0.00,100.00,1,2.15,51.08,40.31,3.38,2.77,ResourceConsumed,0,0
23,487,-0.31,0.00,-0.62,1,0,0.44,-11.37,0.00,100.00,0,9.65,42.71,39.01,4.31,4.11,ResourceConsumed,0,0
25,309,-0.22,0.00,-0.41,1,0,2.84,-9.77,0.00,87.58,5,3.88,47.90,36.57,6.80,4.53,ResourceConsumed,0,0
27,420,-0.27,0.00,-0.54,0,1,1.34,-10.77,0.00,100.00,0,9.52,42.14,37.38,6.67,4.05,ResourceConsumed,0,0
29,342,-0.22,0.00,-0.44,1,0,2.40,-10.07,0.00,99.81,1,5.56,49.42,37.72,3.22,3.80,ResourceConsumed,0,0
31,376,-0.24,0.00,-0.48,1,0,1.94,-10.37,0.00,97.27,2,6.65,45.48,38.56,5.85,3.19,ResourceConsumed,0,0
33,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,1,15.03,41.28,28.46,8.42,6.81,MaxStepReached,0,0
35,358,-0.23,0.00,-0.64,1,0,2.18,-10.21,0.00,99.99,1,5.31,51.40,36.87,1.96,4.19,ResourceConsumed,0,0
37,359,-0.24,0.00,-0.46,1,0,2.17,-10.22,0.00,93.37,4,5.85,49.30,34.82,5.57,4.18,ResourceConsumed,0,0
39,236,-0.15,0.00,-0.30,1,0,3.83,-9.11,0.00,100.00,0,5.51,52.97,35.17,3.39,2.54,ResourceConsumed,0,0
41,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,1,11.42,45.09,32.87,5.81,4.81,MaxStepReached,0,0
43,329,-0.21,0.00,-0.64,0,1,2.57,-9.95,0.00,100.00,2,3.34,50.46,39.51,2.13,4.26,ResourceConsumed,0,0
45,427,-0.27,0.00,-0.55,1,0,1.25,-10.83,0.00,99.99,1,5.15,48.71,43.33,0.70,1.87,ResourceConsumed,0,0
47,419,-0.27,0.00,-0.54,1,0,1.36,-10.76,0.00,100.00,0,5.49,47.73,40.10,3.82,2.63,ResourceConsumed,0,0
49,325,-0.21,0.00,-0.42,0,1,2.63,-9.92,0.00,100.00,0,3.08,49.23,43.08,1.54,2.77,ResourceConsumed,0,0
51,244,-0.16,0.00,-0.31,0,1,3.72,-9.19,0.00,99.04,2,6.15,46.31,36.89,4.10,6.15,ResourceConsumed,0,0
53,444,-0.28,0.00,-0.57,1,0,1.02,-10.99,0.00,100.00,0,7.21,45.05,36.71,6.31,4.50,ResourceConsumed,0,0
55,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,1,9.62,44.89,37.68,4.41,3.41,MaxStepReached,0,0
57,407,-0.26,0.00,-0.64,0,1,1.52,-10.65,0.00,100.00,1,6.63,46.44,39.31,2.70,4.67,ResourceConsumed,0,0
59,478,-0.31,0.00,-0.61,1,0,0.56,-11.29,0.00,100.00,0,12.55,44.14,30.54,7.11,5.44,ResourceConsumed,0,0
61,320,-0.21,0.00,-0.41,0,1,2.69,-9.87,0.00,97.05,2,6.25,43.44,35.31,6.25,8.44,ResourceConsumed,0,0
63,463,-0.30,0.00,-0.59,0,1,0.76,-11.16,0.00,98.35,3,10.58,45.79,31.97,6.70,4.75,ResourceConsumed,0,0
65,473,-0.30,0.00,-0.60,1,0,0.63,-11.25,0.00,100.00,0,11.21,43.34,32.14,6.98,6.13,ResourceConsumed,0,0
67,310,-0.20,0.00,-0.40,0,1,2.83,-9.78,0.00,100.00,0,4.84,49.35,40.97,2.26,2.26,ResourceConsumed,0,0
69,339,-0.22,0.00,-0.43,1,0,2.44,-10.04,0.00,100.00,0,5.31,46.31,42.77,2.36,2.95,ResourceConsumed,0,0
71,434,-0.28,0.00,-0.55,1,0,1.15,-10.90,0.00,99.77,0,9.45,44.47,36.87,4.38,4.61,ResourceConsumed,0,0
73,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,12.83,47.29,31.46,4.41,4.01,MaxStepReached,0,0
75,306,-0.20,0.00,-0.64,0,1,2.88,-9.74,0.00,100.00,1,5.23,48.69,41.18,2.29,2.29,ResourceConsumed,0,0
77,475,-0.30,0.00,-0.61,1,0,0.60,-11.27,0.00,100.00,0,11.16,44.84,32.00,7.16,4.63,ResourceConsumed,0,0
79,330,-0.21,0.00,-0.42,1,0,2.56,-9.96,0.00,97.09,3,7.27,46.36,40.61,3.94,1.52,ResourceConsumed,0,0
81,416,-0.28,0.00,-0.67,0,1,1.40,-10.73,0.00,59.26,16,4.81,49.52,41.59,1.44,2.40,ResourceConsumed,0,0
83,406,-0.26,0.00,-0.52,1,0,1.53,-10.64,0.00,99.94,0,6.65,44.58,36.21,6.65,5.67,ResourceConsumed,0,0
85,416,-0.27,0.00,-0.53,1,0,1.40,-10.73,0.00,100.00,0,8.17,44.95,34.38,5.29,6.97,ResourceConsumed,0,0
87,491,-0.31,0.00,-0.63,1,0,0.38,-11.41,0.00,100.00,0,10.39,42.77,33.60,8.35,4.68,ResourceConsumed,0,0
89,424,-0.27,0.00,-0.54,1,0,1.29,-10.81,0.00,100.00,2,10.85,45.05,32.31,5.90,5.66,ResourceConsumed,0,0
91,413,-0.26,0.00,-0.53,0,1,1.44,-10.71,0.00,99.39,1,7.75,48.91,38.26,1.94,2.91,ResourceConsumed,0,0
93,400,-0.26,0.00,-0.51,0,1,1.61,-10.59,0.00,99.99,0,7.00,47.25,35.00,5.25,5.25,ResourceConsumed,0,0
95,382,-0.24,0.00,-0.49,0,1,1.86,-10.43,0.00,100.00,0,4.97,51.05,36.13,4.45,3.14,ResourceConsumed,0,0
97,430,-0.27,0.00,-0.55,0,1,1.21,-10.86,0.00,100.00,0,6.05,46.05,38.37,3.26,6.05,ResourceConsumed,0,0
99,308,-0.20,0.00,-0.39,1,0,2.86,-9.76,0.00,99.83,0,2.92,52.92,40.91,1.30,1.62,ResourceConsumed,0,0
101,430,-0.28,0.00,-0.55,0,1,1.21,-10.86,0.00,99.54,1,6.74,50.00,35.81,4.88,2.33,ResourceConsumed,0,0
103,303,-0.19,0.00,-0.39,0,1,2.92,-9.72,0.00,100.00,0,5.28,46.20,42.57,2.31,3.30,ResourceConsumed,0,0
105,400,-0.26,0.00,-0.52,0,1,1.61,-10.59,0.00,93.57,4,4.75,50.75,39.00,1.75,3.50,ResourceConsumed,0,0
107,390,-0.25,0.00,-0.50,1,0,1.75,-10.50,0.00,100.00,1,6.92,50.00,33.59,6.41,2.82,ResourceConsumed,0,0
109,406,-0.26,0.00,-0.52,1,0,1.53,-10.64,0.00,100.00,1,7.14,44.09,35.71,6.40,6.40,ResourceConsumed,0,0
111,344,-0.22,0.00,-0.44,1,0,2.37,-10.09,0.00,100.00,1,6.10,47.09,39.53,3.78,3.20,ResourceConsumed,0,0
113,336,-0.21,0.00,-0.43,1,0,2.48,-10.01,0.00,100.00,0,6.25,46.13,42.26,2.08,2.98,ResourceConsumed,0,0
115,285,-0.18,0.00,-0.36,0,1,3.17,-9.56,0.00,100.00,0,7.37,50.18,38.60,1.05,2.46,ResourceConsumed,0,0
117,466,-0.30,0.00,-0.60,0,1,0.72,-11.18,0.00,100.00,0,12.45,44.42,29.83,7.73,5.36,ResourceConsumed,0,0
119,392,-0.44,0.00,-0.64,1,0,1.72,-10.52,0.00,60.75,17,11.99,45.92,26.79,9.44,5.61,ResourceConsumed,0,0
121,385,-0.25,0.00,-0.49,1,0,1.82,-10.46,0.00,96.38,3,5.71,48.05,38.70,3.12,4.16,ResourceConsumed,0,0
123,238,-0.21,0.00,-0.39,0,1,3.80,-9.13,0.00,76.29,9,6.72,48.74,33.19,6.30,4.62,ResourceConsumed,0,0
125,470,-0.30,0.00,-0.60,1,0,0.67,-11.22,0.00,100.00,0,8.72,48.30,31.91,6.17,4.68,ResourceConsumed,0,0
127,408,-0.26,0.00,-0.52,1,0,1.51,-10.66,0.00,100.00,0,5.39,48.04,37.25,4.17,4.90,ResourceConsumed,0,0
129,386,-0.29,0.00,-0.51,1,0,1.80,-10.46,0.00,87.81,18,3.89,52.59,40.16,1.04,2.07,ResourceConsumed,0,0
131,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,12.42,45.29,28.66,7.82,5.81,MaxStepReached,0,0
133,470,-0.30,0.00,-0.64,0,1,0.67,-11.22,0.00,100.00,0,8.09,46.81,37.66,2.98,4.26,ResourceConsumed,0,0
135,463,-0.31,0.00,-0.60,1,0,0.76,-11.16,0.00,90.62,8,15.33,42.76,25.27,9.29,7.13,ResourceConsumed,0,0
137,500,-0.41,0.00,-0.69,0,0,0.26,-11.49,0.00,72.99,12,15.43,39.48,30.06,9.02,6.01,MaxStepReached,0,0
139,389,-0.27,0.00,-0.69,0,1,1.76,-10.49,0.00,86.61,7,9.00,47.30,30.08,8.74,4.63,ResourceConsumed,0,0
141,348,-0.22,0.00,-0.44,1,0,2.32,-10.12,0.00,98.97,1,3.45,50.00,38.79,4.02,3.45,ResourceConsumed,0,0
143,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,2,10.22,46.69,34.07,5.81,3.21,MaxStepReached,0,0
145,63,-0.05,0.00,-0.64,1,0,6.16,-7.56,0.00,100.00,0,3.17,53.97,31.75,7.94,1.59,ResourceConsumed,0,0
147,370,-0.24,0.00,-0.47,0,1,2.02,-10.32,0.00,100.00,0,4.05,49.46,40.00,3.51,2.70,ResourceConsumed,0,0
149,409,-0.26,0.00,-0.52,0,1,1.49,-10.67,0.00,99.53,3,8.31,43.77,42.30,2.20,3.18,ResourceConsumed,0,0
151,464,-0.30,0.00,-0.61,1,0,0.75,-11.17,0.00,85.24,6,9.27,45.04,36.85,4.53,4.09,ResourceConsumed,0,0
153,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,99.03,2,15.43,42.28,31.66,4.61,6.01,MaxStepReached,0,0
155,351,-0.23,0.00,-0.64,0,1,2.27,-10.15,0.00,100.00,1,7.98,48.72,33.05,3.42,6.55,ResourceConsumed,0,0
157,403,-0.26,0.00,-0.52,0,1,1.57,-10.62,0.00,100.00,0,3.72,49.63,42.68,1.74,1.99,ResourceConsumed,0,0
159,275,-0.18,0.00,-0.35,0,1,3.30,-9.47,0.00,100.00,0,5.09,52.73,40.36,0.36,1.09,ResourceConsumed,0,0
161,450,-0.29,0.00,-0.58,0,1,0.94,-11.04,0.00,100.00,0,10.44,46.00,33.78,5.11,4.44,ResourceConsumed,0,0
163,486,-0.31,0.00,-0.62,1,0,0.45,-11.36,0.00,96.85,3,13.17,44.86,29.22,7.61,4.94,ResourceConsumed,0,0
165,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,98.90,3,12.22,42.69,27.66,12.83,4.61,MaxStepReached,0,0
167,311,-0.21,0.00,-0.64,1,0,2.81,-9.79,0.00,88.47,5,7.40,45.66,32.48,8.04,6.11,ResourceConsumed,0,0
169,373,-0.24,0.00,-0.48,0,1,1.98,-10.35,0.00,100.00,0,5.90,48.26,38.87,2.14,4.56,ResourceConsumed,0,0
171,298,-0.19,0.00,-0.38,0,1,2.99,-9.67,0.00,100.00,0,5.37,49.33,38.93,3.02,3.02,ResourceConsumed,0,0
173,353,-0.23,0.00,-0.45,0,1,2.25,-10.17,0.00,100.00,0,7.37,46.18,35.41,5.38,5.38,ResourceConsumed,0,0
175,405,-0.26,0.00,-0.52,1,0,1.55,-10.64,0.00,100.00,0,5.68,46.91,40.74,3.46,2.96,ResourceConsumed,0,0
177,403,-0.26,0.00,-0.52,1,0,1.57,-10.62,0.00,100.00,0,9.93,43.42,37.72,4.47,4.22,ResourceConsumed,0,0
179,410,-0.34,0.00,-0.61,1,0,1.48,-10.68,0.00,69.31,11,12.20,45.85,31.46,5.85,4.39,ResourceConsumed,0,0
181,356,-0.23,0.00,-0.45,0,1,2.21,-10.19,0.00,100.00,0,7.30,47.75,37.08,3.37,4.21,ResourceConsumed,0,0
183,364,-0.23,0.00,-0.47,0,1,2.10,-10.27,0.00,100.00,0,5.77,47.80,38.46,6.04,1.65,ResourceConsumed,0,0
185,386,-0.25,0.00,-0.49,1,0,1.80,-10.46,0.00,100.00,0,5.70,51.30,35.49,4.15,3.11,ResourceConsumed,0,0
187,371,-0.24,0.00,-0.47,1,0,2.00,-10.33,0.00,100.00,1,6.20,48.25,34.23,6.74,4.31,ResourceConsumed,0,0
189,335,-0.21,0.00,-0.43,1,0,2.49,-10.01,0.00,100.00,0,5.67,48.96,36.72,6.27,2.09,ResourceConsumed,0,0
191,285,-0.18,0.00,-0.36,0,1,3.17,-9.56,0.00,100.00,0,6.32,48.77,37.54,2.81,4.21,ResourceConsumed,0,0
193,482,-0.31,0.00,-0.62,1,0,0.51,-11.33,0.00,100.00,0,11.41,43.98,35.06,3.94,5.39,ResourceConsumed,0,0
195,348,-0.22,0.00,-0.45,1,0,2.32,-10.12,0.00,98.12,2,5.17,49.43,37.64,2.59,4.89,ResourceConsumed,0,0
197,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,99.41,2,15.63,40.88,33.87,6.61,3.01,MaxStepReached,0,0
199,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,11.22,44.29,39.28,1.80,3.41,MaxStepReached,0,0
201,394,-0.38,0.00,-0.64,1,0,1.69,-10.54,0.00,63.19,15,9.39,47.46,31.47,8.38,3.05,ResourceConsumed,0,0
203,357,-0.23,0.00,-0.46,1,0,2.19,-10.20,0.00,100.00,1,5.04,46.50,44.54,2.52,1.12,ResourceConsumed,0,0
205,446,-0.29,0.00,-0.57,1,0,0.99,-11.00,0.00,100.00,0,10.99,44.84,31.17,7.85,4.93,ResourceConsumed,0,0
207,373,-0.24,0.00,-0.48,1,0,1.98,-10.35,0.00,100.00,0,6.70,49.06,34.32,4.83,4.83,ResourceConsumed,0,0
209,375,-0.24,0.00,-0.48,1,0,1.95,-10.37,0.00,100.00,1,3.73,49.60,42.13,1.60,2.67,ResourceConsumed,0,0
211,360,-0.23,0.00,-0.46,1,0,2.15,-10.23,0.00,96.14,2,4.44,46.94,38.33,6.39,3.61,ResourceConsumed,0,0
213,367,-0.23,0.00,-0.47,0,1,2.06,-10.29,0.00,100.00,0,6.27,46.05,38.42,4.90,4.09,ResourceConsumed,0,0
215,414,-0.26,0.00,-0.53,0,1,1.42,-10.72,0.00,100.00,0,6.04,48.07,37.92,3.62,4.11,ResourceConsumed,0,0
217,345,-0.22,0.00,-0.44,1,0,2.36,-10.10,0.00,100.00,1,3.77,47.25,41.74,2.32,4.64,ResourceConsumed,0,0
219,372,-0.24,0.00,-0.48,1,0,1.99,-10.34,0.00,98.62,1,4.84,47.31,39.25,5.91,2.42,ResourceConsumed,0,0
221,385,-0.25,0.00,-0.49,1,0,1.82,-10.46,0.00,100.00,0,8.57,42.86,34.03,8.57,5.71,ResourceConsumed,0,0
223,487,-0.31,0.00,-0.62,0,1,0.44,-11.37,0.00,100.00,2,10.06,45.79,36.96,3.08,3.90,ResourceConsumed,0,0
225,480,-0.31,0.00,-0.61,1,0,0.53,-11.31,0.00,100.00,0,13.13,43.75,32.71,6.46,3.75,ResourceConsumed,0,0
227,247,-0.16,0.00,-0.32,0,1,3.68,-9.21,0.00,100.00,0,6.07,49.39,35.63,4.05,4.45,ResourceConsumed,0,0
229,376,-0.24,0.00,-0.48,1,0,1.94,-10.37,0.00,100.00,0,5.32,48.67,39.10,2.93,3.72,ResourceConsumed,0,0
231,362,-0.23,0.00,-0.46,1,0,2.13,-10.25,0.00,98.43,1,6.35,48.90,37.29,4.14,3.04,ResourceConsumed,0,0
233,369,-0.24,0.00,-0.47,0,1,2.03,-10.31,0.00,100.00,0,8.94,44.72,33.60,7.05,5.42,ResourceConsumed,0,0
235,435,-0.29,0.00,-0.59,1,0,1.14,-10.91,0.00,80.82,9,7.82,48.05,36.09,4.83,2.99,ResourceConsumed,0,0
237,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,12.22,44.49,30.06,9.02,4.21,MaxStepReached,0,0
239,404,-0.26,0.00,-0.64,1,0,1.56,-10.63,0.00,100.00,0,6.68,43.81,41.09,3.96,4.21,ResourceConsumed,0,0
241,395,-0.25,0.00,-0.50,0,1,1.68,-10.55,0.00,100.00,0,4.56,48.35,41.52,3.54,1.77,ResourceConsumed,0,0
243,347,-0.22,0.00,-0.44,1,0,2.33,-10.11,0.00,100.00,2,7.49,51.01,36.31,1.44,3.46,ResourceConsumed,0,0
