Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,25,-0.63,0.00,-0.66,0,1,6.68,-7.22,0.00,100.00,0,36.00,44.00,8.00,4.00,4.00,ResourceConsumed,0,0
2,30,-0.66,-0.65,-0.66,0,1,6.61,-7.26,0.00,100.00,0,30.00,36.67,6.67,10.00,13.33,ResourceConsumed,0,0
3,25,-0.66,-0.65,-0.66,0,1,6.68,-7.22,0.00,100.00,0,28.00,44.00,8.00,12.00,4.00,ResourceConsumed,0,0
4,30,-0.66,-0.65,-0.66,0,1,6.61,-7.26,0.00,99.98,0,43.33,36.67,6.67,6.67,3.33,ResourceConsumed,0,0
5,30,-0.66,-0.65,-0.66,0,1,6.61,-7.26,0.00,100.00,0,36.67,36.67,3.33,3.33,16.67,ResourceConsumed,0,0
6,34,-0.66,-0.65,-0.66,0,1,6.55,-7.30,0.00,99.98,0,50.00,32.35,2.94,5.88,5.88,ResourceConsumed,0,0
7,22,-0.66,-0.65,-0.66,0,1,6.72,-7.19,0.00,100.00,0,18.18,50.00,9.09,13.64,4.55,ResourceConsumed,0,0
8,32,-0.66,-0.65,-0.66,0,1,6.58,-7.28,0.00,100.00,0,50.00,34.38,3.13,3.13,6.25,ResourceConsumed,0,0
9,26,-0.66,-0.65,-0.66,0,1,6.66,-7.22,0.00,100.00,0,30.77,42.31,3.85,7.69,11.54,ResourceConsumed,0,0
10,29,-0.66,-0.65,-0.66,0,1,6.62,-7.25,0.00,100.00,0,37.93,34.48,6.90,10.34,6.90,ResourceConsumed,0,0
