Episode,GlobalStep,EpisodeStep,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,1,1,-0.03,-0.03,0.00,100.00,17.23,1.00,-0.90,None,0.00,0.00,False,False,False,none,False,
1,2,2,-0.06,-0.06,-0.02,100.00,17.23,1.00,-0.90,None,0.00,0.00,False,False,False,none,False,
1,3,3,-0.09,-0.09,-0.04,100.00,17.23,1.00,-0.90,None,-0.01,0.00,False,False,False,none,False,
1,4,4,-0.12,-0.12,-0.05,100.00,17.23,1.00,-0.90,None,-0.01,0.00,False,False,False,none,False,
1,5,5,-0.15,-0.15,-0.07,100.00,17.23,1.00,-0.90,None,-0.01,0.00,False,False,False,none,False,
1,6,6,-0.18,-0.18,-0.09,100.00,17.23,1.00,-0.90,None,-0.01,0.00,False,False,False,none,False,
1,7,7,-0.21,-0.21,-0.11,100.00,17.23,1.00,-0.90,None,-0.02,0.00,False,False,False,none,False,
1,8,8,-0.24,-0.24,-0.12,100.00,17.23,1.00,-0.90,Forward,-0.02,0.00,False,False,False,none,False,
1,9,9,-0.27,-0.27,-0.09,100.00,16.21,1.00,0.67,Left,-0.02,1.87,False,False,False,none,False,
1,10,10,-0.30,-0.30,-0.05,100.00,16.21,1.00,0.67,None,-0.03,0.00,False,False,False,none,False,
1,11,11,-0.33,-0.33,-0.02,100.00,16.21,1.00,0.67,Forward,-0.03,0.00,False,False,False,none,False,
1,12,12,-0.36,-0.36,0.03,100.00,14.65,1.00,1.69,Forward,-0.03,1.87,False,False,False,none,False,
1,13,13,-0.39,-0.39,0.07,100.00,13.08,1.00,2.72,Forward,-0.03,1.87,False,False,False,none,False,
1,14,14,-0.42,-0.42,0.06,100.00,11.51,1.00,3.74,Forward,-0.04,1.87,False,False,False,none,False,
1,15,15,-0.45,-0.45,0.01,100.00,9.94,1.00,4.76,Forward,-0.04,1.87,False,False,False,none,False,
1,16,16,-0.48,-0.48,-0.05,100.00,8.37,1.00,5.78,Forward,-0.04,1.87,False,False,False,none,False,
1,17,17,-0.51,-0.51,-0.11,100.00,6.80,1.00,6.80,None,-0.05,1.87,False,False,False,none,False,
1,18,18,-0.54,-0.54,-0.17,100.00,6.80,1.00,6.80,Left,-0.05,0.00,False,False,False,none,False,
1,19,19,-0.57,-0.57,-0.24,100.00,6.80,1.00,6.80,None,-0.05,0.00,False,False,False,none,False,
1,20,20,-0.60,-0.60,-0.30,100.00,6.80,1.00,6.80,None,-0.06,0.00,False,False,False,none,False,
1,21,21,-0.63,-0.63,-0.36,100.00,6.80,1.00,6.80,Forward,-0.06,0.00,False,False,False,none,False,
1,22,22,-0.66,-0.66,-0.43,100.00,4.96,1.00,7.10,Forward,-0.06,1.87,False,False,False,none,False,
1,23,23,-0.69,-0.69,-0.49,100.00,3.11,1.00,7.39,Forward,-0.07,1.87,False,False,False,none,False,
1,24,24,-0.72,-0.72,-0.55,100.00,1.26,1.00,7.69,Forward,-0.07,1.87,False,False,False,none,False,
1,25,25,-0.75,-0.75,-0.61,100.00,-0.05,1.00,7.93,None,-0.08,1.33,False,False,False,none,False,
1,26,26,-0.78,-0.78,-0.67,100.00,0.05,1.00,7.93,None,-0.08,0.10,False,False,False,none,False,
1,27,27,-0.81,-0.81,-0.73,100.00,0.05,1.00,7.93,Forward,-0.09,0.00,False,False,False,none,False,
1,28,28,-0.84,-0.84,-0.79,98.15,0.05,1.00,7.93,Forward,-0.09,0.00,False,False,False,none,False,
1,29,29,-0.87,-0.87,-0.84,96.63,0.04,1.00,7.93,Forward,-0.10,0.01,False,False,False,none,False,
1,30,30,-0.90,-0.90,-0.90,94.99,0.04,1.00,7.93,Forward,-0.11,0.01,False,False,False,none,False,
1,31,31,-0.93,-0.93,-0.96,93.47,0.03,1.00,7.93,Left,-0.12,0.01,False,False,False,none,False,
1,32,32,-0.96,-0.96,-1.02,93.49,0.06,1.00,7.93,Right,-0.13,0.03,False,False,False,none,False,
1,33,33,-0.99,-0.99,-1.08,93.51,0.06,1.00,7.93,Forward,-0.13,0.00,False,False,False,none,False,
1,34,34,-1.02,-1.02,-1.13,93.53,0.02,1.00,8.00,Forward,-0.13,0.08,False,False,False,none,False,
1,35,35,-1.05,-1.05,-1.19,91.90,0.01,1.00,8.00,None,-0.14,0.00,False,False,False,none,False,
1,36,36,-1.08,-1.08,-1.25,91.92,0.01,1.00,8.00,Forward,-0.15,0.00,False,False,False,none,False,
1,37,37,-1.11,-1.11,-1.30,90.53,0.00,1.00,8.00,Right,-0.15,0.01,False,False,False,none,False,
1,38,38,-1.14,-1.14,-1.36,90.55,0.12,1.00,8.00,None,-0.17,0.11,False,False,False,none,False,
1,39,39,-1.17,-1.17,-1.42,90.57,0.12,1.00,8.00,Forward,-0.17,0.00,False,False,False,none,False,
1,40,40,-1.20,-1.20,-1.47,90.33,0.11,1.00,8.01,Forward,-0.17,0.01,False,False,False,none,False,
1,41,41,-1.23,-1.23,-1.53,90.10,0.11,1.00,8.02,Forward,-0.18,0.01,False,False,False,none,False,
1,42,42,-1.26,-1.26,-1.59,89.90,0.10,1.00,8.03,None,-0.18,0.01,False,False,False,none,False,
1,43,43,-1.29,-1.29,-1.64,89.92,0.10,1.00,8.03,Right,-0.19,0.00,False,False,False,none,False,
1,44,44,-1.32,-1.32,-1.70,89.94,0.10,1.00,8.03,Right,-0.19,0.00,False,False,False,none,False,
1,45,45,-1.35,-1.35,-1.76,89.96,0.10,1.00,8.03,Forward,-0.20,0.00,False,False,False,none,False,
1,46,46,-1.38,-1.38,-1.81,89.98,-0.19,1.00,9.88,None,-0.20,1.87,False,False,False,none,False,
1,47,47,-1.41,-1.41,-1.86,90.00,-0.19,1.00,9.88,Forward,-0.20,0.00,False,False,False,none,False,
1,48,48,-1.44,-1.44,-1.90,90.02,-0.48,1.00,11.73,Right,-0.21,1.87,False,False,False,none,False,
1,49,49,-1.47,-1.47,-1.94,90.04,-0.48,1.00,11.73,Forward,-0.21,0.00,False,False,False,none,False,
1,50,50,-1.50,-1.50,-1.98,90.06,0.01,1.00,13.54,Forward,-0.21,1.87,False,False,False,none,False,
1,51,51,-1.53,-1.53,-2.02,90.08,0.49,1.00,15.35,Right,-0.22,1.87,False,False,False,none,False,
1,52,52,-1.56,-1.56,-2.07,90.10,0.49,1.00,15.35,Forward,-0.22,0.00,False,False,False,none,False,
1,53,53,-1.59,-1.59,-2.12,90.12,1.67,1.00,16.80,Forward,-0.22,1.87,False,False,False,none,False,
1,54,54,-1.62,-1.62,-2.17,90.14,2.85,1.00,18.25,Left,-0.23,1.87,False,False,False,none,False,
1,55,55,-1.65,-1.65,-2.21,90.16,2.85,1.00,18.25,None,-0.23,0.00,False,False,False,none,False,
1,56,56,-1.68,-1.68,-2.25,90.18,2.85,1.00,18.25,Forward,-0.24,0.00,False,False,False,none,False,
1,57,57,-1.71,-1.71,-2.26,90.20,3.34,1.00,20.06,Forward,-0.24,1.87,False,False,False,none,False,
1,58,58,-1.74,-1.74,-2.18,90.22,3.83,1.00,21.87,None,-0.24,1.87,False,False,False,none,False,
1,59,59,-1.77,-1.77,-2.07,90.24,3.83,1.00,21.87,Right,-0.24,0.00,False,False,False,none,False,
1,60,60,-1.80,-1.80,-1.97,90.26,3.83,1.00,21.87,None,-0.24,0.00,False,False,False,none,False,
1,61,61,-1.83,-1.83,-1.87,90.28,3.83,1.00,21.87,Forward,-0.24,0.00,False,False,False,none,False,
1,62,62,-1.86,-1.86,-1.63,90.30,5.01,1.00,23.32,Left,-0.23,1.87,False,False,False,none,False,
1,63,63,-1.89,-1.89,-1.34,90.32,5.01,1.00,23.32,None,-0.23,0.00,False,False,False,none,False,
1,64,64,-1.92,-1.92,-1.06,90.34,5.01,1.00,23.32,None,-0.22,0.00,False,False,False,none,False,
1,65,65,-1.95,-1.95,-0.77,90.36,5.01,1.00,23.32,None,-0.22,0.00,False,False,False,none,False,
