Episode,GlobalStep,EpisodeStep,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,1,1,-0.03,-0.03,0.00,100.00,46.91,1.00,-16.26,None,0.00,0.00,False,False,False,none,False,
1,2,2,-0.06,-0.06,-0.08,100.00,46.91,1.00,-16.26,None,0.00,0.00,False,False,False,none,False,
1,3,3,-0.09,-0.09,-0.15,100.00,46.91,1.00,-16.26,None,-0.01,0.00,False,False,False,none,False,
1,4,4,-0.12,-0.12,-0.23,100.00,46.91,1.00,-16.26,Right,-0.01,0.00,False,False,False,none,False,
1,5,5,-0.15,-0.15,-0.30,100.00,46.91,1.00,-16.26,Left,-0.02,0.00,False,False,False,none,False,
1,6,6,-0.18,-0.18,-0.38,100.00,46.91,1.00,-16.26,Left,-0.02,0.00,False,False,False,none,False,
1,7,7,-0.21,-0.21,-0.44,100.00,46.91,1.00,-16.26,Left,-0.03,0.00,False,False,False,none,False,
1,8,8,-0.24,-0.24,-0.51,100.00,46.91,1.00,-16.26,Left,-0.04,0.00,False,False,False,none,False,
1,9,9,-0.27,-0.27,-0.57,100.00,46.91,1.00,-16.26,Left,-0.04,0.00,False,False,False,none,False,
1,10,10,-0.30,-0.30,-0.64,100.00,46.91,1.00,-16.26,Left,-0.05,0.00,False,False,False,none,False,
1,11,11,-0.33,-0.33,-0.70,100.00,46.91,1.00,-16.26,Left,-0.05,0.00,False,False,False,none,False,
1,12,12,-0.36,-0.36,-0.76,100.00,46.91,1.00,-16.26,Forward,-0.06,0.00,False,False,False,none,False,
1,13,13,-0.39,-0.39,-0.83,100.00,45.05,1.00,-16.03,Left,-0.06,1.87,False,False,False,none,False,
1,14,14,-0.42,-0.42,-0.89,100.00,45.05,1.00,-16.03,Forward,-0.07,0.00,False,False,False,none,False,
1,15,15,-0.45,-0.45,-0.95,100.00,43.26,1.00,-16.57,Forward,-0.07,1.87,False,False,False,none,False,
1,16,16,-0.48,-0.48,-1.02,100.00,41.47,1.00,-17.12,Forward,-0.08,1.87,False,False,False,none,False,
1,17,17,-0.51,-0.51,-1.08,100.00,39.68,1.00,-17.67,Forward,-0.08,1.87,False,False,False,none,False,
1,18,18,-0.54,-0.54,-1.14,100.00,37.89,1.00,-18.21,Forward,-0.09,1.87,False,False,False,none,False,
1,19,19,-0.57,-0.57,-1.20,100.00,36.10,1.00,-18.76,Forward,-0.09,1.87,False,False,False,none,False,
1,20,20,-0.60,-0.60,-1.27,100.00,34.68,1.00,-19.19,Right,-0.10,1.48,False,False,False,none,False,
1,21,21,-0.63,-0.63,-1.33,100.00,34.80,1.00,-19.19,Forward,-0.10,0.12,False,False,False,none,False,
1,22,22,-0.66,-0.66,-1.39,98.17,34.79,1.00,-19.18,Forward,-0.11,0.01,False,False,False,none,False,
1,23,23,-0.69,-0.69,-1.45,96.31,34.78,1.00,-19.18,Forward,-0.11,0.01,False,False,False,none,False,
1,24,24,-0.72,-0.72,-1.51,94.45,34.78,1.00,-19.17,Right,-0.12,0.01,False,False,False,none,False,
1,25,25,-0.75,-0.75,-1.57,94.47,34.78,1.00,-19.17,Forward,-0.13,0.00,False,False,False,none,False,
1,26,26,-0.78,-0.78,-1.63,94.49,33.25,1.00,-18.26,Left,-0.14,1.78,False,False,False,none,False,
1,27,27,-0.81,-0.81,-1.70,94.51,33.25,1.00,-18.26,Left,-0.14,0.00,False,False,False,none,False,
1,28,28,-0.84,-0.84,-1.76,94.53,33.25,1.00,-18.26,Forward,-0.15,0.00,False,False,False,none,False,
1,29,29,-0.87,-0.87,-1.82,94.55,31.46,1.00,-18.80,Forward,-0.15,1.87,False,False,False,none,False,
1,30,30,-0.90,-0.90,-1.88,94.57,29.67,1.00,-19.35,Forward,-0.16,1.87,False,False,False,none,False,
1,31,31,-0.93,-0.93,-1.94,94.59,27.88,1.00,-19.89,Forward,-0.16,1.87,False,False,False,none,False,
1,32,32,-0.96,-0.96,-2.00,94.61,26.09,1.00,-20.44,Forward,-0.17,1.87,False,False,False,none,False,
1,33,33,-0.99,-0.99,-2.06,94.63,24.30,1.00,-20.99,Forward,-0.17,1.87,False,False,False,none,False,
1,34,34,-1.02,-1.02,-2.12,94.65,22.51,1.00,-21.53,Forward,-0.17,1.87,False,False,False,none,False,
1,35,35,-1.05,-1.05,-2.17,94.67,20.72,1.00,-22.08,Forward,-0.18,1.87,False,False,False,none,False,
1,36,36,-1.08,-1.08,-2.23,94.69,19.61,1.00,-22.16,Left,-0.18,1.12,False,False,False,none,False,
1,37,37,-1.11,-1.11,-2.28,94.71,19.61,1.00,-22.16,Left,-0.19,0.00,False,False,False,none,False,
1,38,38,-1.14,-1.14,-2.33,94.73,19.61,1.00,-22.16,Forward,-0.19,0.00,False,False,False,none,False,
1,39,39,-1.17,-1.17,-2.38,94.75,18.82,1.00,-23.86,Forward,-0.20,1.87,False,False,False,none,False,
1,40,40,-1.20,-1.20,-2.43,94.77,18.02,1.00,-25.55,Forward,-0.20,1.87,False,False,False,none,False,
1,41,41,-1.23,-1.23,-2.48,94.79,17.23,1.00,-27.25,Forward,-0.20,1.87,False,False,False,none,False,
1,42,42,-1.26,-1.26,-2.52,94.81,16.44,1.00,-28.94,Forward,-0.21,1.87,False,False,False,none,False,
1,43,43,-1.29,-1.29,-2.57,94.83,15.65,1.00,-30.64,Right,-0.21,1.87,False,False,False,none,False,
1,44,44,-1.32,-1.32,-2.62,94.85,15.65,1.00,-30.64,Right,-0.22,0.00,False,False,False,none,False,
1,45,45,-1.35,-1.35,-2.67,94.87,15.65,1.00,-30.64,Forward,-0.22,0.00,False,False,False,none,False,
1,46,46,-1.38,-1.38,-2.72,94.89,13.86,1.00,-31.19,Forward,-0.22,1.87,False,False,False,none,False,
