Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,46,-0.65,0.00,-0.67,1,0,6.89,-7.07,0.00,100.00,0,33.33,40.00,2.22,20.00,2.22,ResourceConsumed,1,1
2,279,-0.58,-0.54,-0.66,0,1,5.74,-7.84,0.00,100.00,0,45.68,32.37,13.31,7.91,0.36,ResourceConsumed,1,1
3,297,-0.71,-0.65,-0.82,0,1,4.41,-8.73,0.00,100.00,0,67.57,12.50,9.80,9.46,0.34,ResourceConsumed,1,1
4,162,-0.71,-0.65,-0.82,0,1,5.66,-7.89,0.00,100.00,0,40.99,30.43,9.32,18.01,0.62,ResourceConsumed,1,1
5,89,-0.73,-0.65,-0.82,0,1,6.39,-7.40,0.00,100.00,0,37.50,42.05,9.09,9.09,1.14,ResourceConsumed,1,1
6,117,-0.75,-0.65,-0.82,0,1,6.35,-7.43,0.00,100.00,0,34.48,43.97,9.48,10.34,0.86,ResourceConsumed,1,1
7,83,-0.71,-0.65,-0.81,0,1,6.27,-7.49,0.00,100.00,0,36.59,40.24,9.76,9.76,2.44,ResourceConsumed,1,1
8,77,-0.71,-0.65,-0.81,0,1,6.31,-7.46,0.00,100.00,0,32.89,40.79,11.84,11.84,1.32,ResourceConsumed,1,1
9,67,-0.72,-0.65,-0.81,0,1,6.46,-7.36,0.00,100.00,0,21.21,54.55,10.61,10.61,1.52,ResourceConsumed,1,1
10,56,-0.72,-0.65,-0.81,0,1,6.55,-7.30,0.00,100.00,0,12.73,54.55,14.55,14.55,1.82,ResourceConsumed,1,1
