Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,67,-0.50,0.00,-0.51,1,0,-3.89,6.41,0.00,95.35,0,44.78,32.84,10.45,7.46,2.99,ResourceConsumed,0,0
2,39,-0.50,-0.50,-0.51,1,0,-3.51,6.66,0.00,100.00,0,35.90,43.59,7.69,7.69,2.56,ResourceConsumed,0,0
3,21,-0.58,-0.50,-1.12,0,0,-3.28,6.81,0.00,-0.06,1,50.00,30.00,5.00,15.00,0.00,HealthLevelTooLow,0,0
4,56,-0.52,-0.50,-1.12,1,0,-3.73,6.51,0.00,95.54,0,28.57,39.29,16.07,12.50,1.79,ResourceConsumed,0,0
5,42,-0.50,-0.50,-0.51,1,0,-3.55,6.63,0.00,100.00,0,35.71,47.62,4.76,7.14,2.38,ResourceConsumed,0,0
6,36,-0.50,-0.50,-0.51,1,0,-3.47,6.69,0.00,100.00,0,19.44,55.56,8.33,11.11,2.78,ResourceConsumed,0,0
7,38,-0.50,-0.50,-0.51,1,0,-3.50,6.67,0.00,100.00,0,36.84,44.74,7.89,5.26,2.63,ResourceConsumed,0,0
8,31,-0.50,-0.50,-0.51,1,0,-3.40,6.73,0.00,100.00,0,22.58,54.84,6.45,6.45,6.45,ResourceConsumed,0,0
9,54,-0.50,-0.50,-0.51,1,0,-3.72,6.52,0.00,100.00,0,48.15,38.89,3.70,3.70,3.70,ResourceConsumed,0,0
10,31,-0.51,-0.50,-0.52,1,0,-3.40,6.73,0.00,88.74,1,29.03,54.84,6.45,3.23,3.23,ResourceConsumed,0,0
