Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,111,-0.79,0.00,-1.09,1,0,-4.49,6.01,0.00,3.26,4,40.54,24.32,9.01,22.52,2.70,ResourceConsumed,0,0
2,38,-0.52,-0.50,-1.09,1,0,-3.50,6.67,0.00,90.15,0,31.58,44.74,7.89,10.53,2.63,ResourceConsumed,0,0
3,27,-0.51,-0.50,-0.51,1,0,-3.35,6.77,0.00,100.00,0,22.22,59.26,3.70,7.41,3.70,ResourceConsumed,0,0
4,35,-0.51,-0.50,-0.51,1,0,-3.46,6.69,0.00,95.13,0,28.57,45.71,8.57,8.57,5.71,ResourceConsumed,0,0
5,24,-0.51,-0.50,-0.51,1,0,-3.31,6.79,0.00,100.00,0,12.50,66.67,8.33,4.17,4.17,ResourceConsumed,0,0
6,28,-0.51,-0.50,-0.51,1,0,-3.36,6.76,0.00,100.00,0,14.29,57.14,10.71,7.14,7.14,ResourceConsumed,0,0
7,34,-0.50,-0.50,-0.51,1,0,-3.45,6.70,0.00,100.00,0,14.71,50.00,11.76,14.71,5.88,ResourceConsumed,0,0
8,35,-0.50,-0.50,-0.51,1,0,-3.46,6.69,0.00,100.00,0,20.00,51.43,8.57,11.43,5.71,ResourceConsumed,0,0
9,44,-0.50,-0.50,-0.51,1,0,-3.58,6.61,0.00,100.00,0,34.09,45.45,6.82,9.09,2.27,ResourceConsumed,0,0
10,30,-0.50,-0.50,-0.51,1,0,-3.39,6.74,0.00,100.00,0,16.67,60.00,13.33,3.33,3.33,ResourceConsumed,0,0
