Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,110,-0.67,0.00,-0.69,1,0,-8.47,6.02,0.00,100.00,0,20.91,30.91,10.00,36.36,0.91,ResourceConsumed,0,0
2,44,-0.67,-0.66,-0.69,1,0,-7.58,6.61,0.00,100.00,0,63.64,22.73,2.27,0.00,9.09,ResourceConsumed,0,0
3,42,-0.67,-0.66,-0.67,1,0,-7.55,6.63,0.00,100.00,0,54.76,26.19,7.14,4.76,4.76,ResourceConsumed,0,0
4,53,-0.67,-0.66,-0.67,1,0,-7.70,6.53,0.00,100.00,0,64.15,20.75,5.66,3.77,3.77,ResourceConsumed,0,0
5,31,-0.66,-0.66,-0.67,1,0,-7.41,6.73,0.00,100.00,0,38.71,35.48,6.45,3.23,12.90,ResourceConsumed,0,0
6,29,-0.66,-0.66,-0.67,1,0,-7.38,6.75,0.00,99.99,0,44.83,37.93,3.45,3.45,6.90,ResourceConsumed,0,0
7,29,-0.66,-0.66,-0.67,1,0,-7.38,6.75,0.00,100.00,0,37.93,37.93,10.34,6.90,3.45,ResourceConsumed,0,0
8,32,-0.66,-0.66,-0.67,1,0,-7.42,6.72,0.00,100.00,0,40.63,34.38,9.38,6.25,6.25,ResourceConsumed,0,0
9,37,-0.66,-0.66,-0.67,1,0,-7.49,6.68,0.00,100.00,0,37.84,29.73,8.11,18.92,2.70,ResourceConsumed,0,0
10,33,-0.66,-0.66,-0.67,1,0,-7.43,6.71,0.00,100.00,0,51.52,36.36,3.03,3.03,3.03,ResourceConsumed,0,0
