Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,47,-0.65,0.00,-0.67,1,0,-7.62,6.59,0.00,100.00,0,51.06,27.66,8.51,8.51,2.13,ResourceConsumed,0,0
2,47,-0.67,-0.66,-0.68,1,0,-7.62,6.59,0.00,88.16,4,46.81,36.17,6.38,6.38,2.13,ResourceConsumed,0,0
3,43,-0.67,-0.66,-0.69,1,0,-7.57,6.62,0.00,85.42,5,37.21,44.19,6.98,6.98,2.33,ResourceConsumed,0,0
4,34,-0.66,-0.66,-0.69,1,0,-7.45,6.70,0.00,100.00,0,38.24,41.18,5.88,8.82,2.94,ResourceConsumed,0,0
5,33,-0.67,-0.66,-0.68,1,0,-7.43,6.71,0.00,87.58,4,24.24,51.52,9.09,9.09,3.03,ResourceConsumed,0,0
6,64,-0.67,-0.66,-0.68,1,0,-7.85,6.43,0.00,95.11,2,40.63,31.25,10.94,14.06,1.56,ResourceConsumed,0,0
7,53,-0.67,-0.66,-0.68,1,0,-7.70,6.53,0.00,100.00,0,54.72,26.42,5.66,5.66,5.66,ResourceConsumed,0,0
8,36,-0.66,-0.66,-0.67,1,0,-7.47,6.69,0.00,100.00,0,36.11,38.89,8.33,11.11,2.78,ResourceConsumed,0,0
9,44,-0.67,-0.66,-0.67,1,0,-7.58,6.61,0.00,97.60,1,34.09,36.36,11.36,11.36,4.55,ResourceConsumed,0,0
10,86,-0.67,-0.66,-0.69,1,0,-8.15,6.24,0.00,90.91,8,37.21,39.53,10.47,10.47,1.16,ResourceConsumed,0,0
