Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,40,-0.03,0.00,-0.07,1,0,-7.53,6.65,0.04,100.00,0,52.50,27.50,7.50,7.50,2.50,ResourceConsumed,0,0
2,35,-0.03,0.00,-0.07,1,0,-7.46,6.69,0.04,100.00,0,45.71,34.29,11.43,2.86,2.86,ResourceConsumed,0,0
3,30,-0.03,0.00,-0.06,1,0,-7.39,6.74,0.04,100.00,0,40.00,36.67,10.00,6.67,3.33,ResourceConsumed,0,0
4,26,-0.03,0.00,-0.06,1,0,-7.34,6.78,0.51,100.00,0,30.77,42.31,11.54,7.69,3.85,ResourceConsumed,0,0
5,48,-0.06,0.00,-0.10,1,0,-7.63,6.58,0.93,100.00,0,52.08,25.00,10.42,8.33,2.08,ResourceConsumed,0,0
6,42,-0.04,0.00,-0.10,1,0,-7.55,6.63,0.04,100.00,0,47.62,28.57,14.29,4.76,2.38,ResourceConsumed,0,0
7,38,-0.03,0.00,-0.07,1,0,-7.50,6.67,0.04,100.00,0,47.37,31.58,10.53,5.26,2.63,ResourceConsumed,0,0
8,29,-0.03,0.00,-0.06,1,0,-7.38,6.75,0.04,100.00,0,37.93,37.93,13.79,3.45,3.45,ResourceConsumed,0,0
9,37,-0.03,0.00,-0.06,1,0,-7.49,6.68,0.04,100.00,0,45.95,32.43,10.81,5.41,2.70,ResourceConsumed,0,0
10,33,-0.03,0.00,-0.06,1,0,-7.43,6.71,0.05,100.00,0,45.45,33.33,6.06,3.03,9.09,ResourceConsumed,0,0
