Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,28,-0.02,0.00,-0.03,0,1,6.64,-7.24,0.00,100.00,0,35.71,39.29,7.14,10.71,3.57,ResourceConsumed,0,0
2,39,-0.03,0.00,-0.05,0,1,6.49,-7.34,0.00,100.00,0,46.15,28.21,7.69,7.69,7.69,ResourceConsumed,0,0
3,28,-0.02,0.00,-0.05,0,1,6.64,-7.24,0.00,100.00,0,42.86,39.29,3.57,7.14,3.57,ResourceConsumed,0,0
4,49,-0.03,0.00,-0.06,0,1,6.35,-7.43,0.00,100.00,0,53.06,22.45,6.12,8.16,8.16,ResourceConsumed,0,0
5,36,-0.02,0.00,-0.06,0,1,6.53,-7.31,0.00,100.00,0,55.56,33.33,2.78,2.78,2.78,ResourceConsumed,0,0
6,29,-0.02,0.00,-0.04,0,1,6.62,-7.25,0.00,100.00,0,41.38,37.93,3.45,6.90,6.90,ResourceConsumed,0,0
7,33,-0.02,0.00,-0.04,0,1,6.57,-7.29,0.00,100.00,0,42.42,33.33,3.03,3.03,15.15,ResourceConsumed,0,0
8,43,-0.03,0.00,-0.05,0,1,6.43,-7.38,0.00,100.00,0,53.49,27.91,6.98,6.98,2.33,ResourceConsumed,0,0
9,43,-0.03,0.00,-0.05,0,1,6.43,-7.38,0.00,100.00,0,58.14,25.58,4.65,4.65,4.65,ResourceConsumed,0,0
10,44,-0.03,0.00,-0.06,0,1,6.42,-7.39,0.00,100.00,0,50.00,25.00,6.82,13.64,2.27,ResourceConsumed,0,0
