Episode,GlobalStep,EpisodeStep,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,1,1,-0.03,-0.03,0.00,100.00,40.41,1.00,-28.90,None,0.00,0.00,False,False,False,none,False,
1,2,2,-0.06,-0.06,-0.02,100.00,40.41,1.00,-28.90,None,0.00,0.00,False,False,False,none,False,
1,3,3,-0.09,-0.09,-0.05,100.00,40.41,1.00,-28.90,None,-0.01,0.00,False,False,False,none,False,
1,4,4,-0.12,-0.12,-0.07,100.00,40.41,1.00,-28.90,None,-0.01,0.00,False,False,False,none,False,
1,5,5,-0.15,-0.15,-0.10,100.00,40.41,1.00,-28.90,None,-0.01,0.00,False,False,False,none,False,
1,6,6,-0.18,-0.18,-0.12,100.00,40.41,1.00,-28.90,None,-0.02,0.00,False,False,False,none,False,
1,7,7,-0.21,-0.21,-0.15,100.00,40.41,1.00,-28.90,None,-0.02,0.00,False,False,False,none,False,
1,8,8,-0.24,-0.24,-0.17,100.00,40.41,1.00,-28.90,None,-0.02,0.00,False,False,False,none,False,
1,9,9,-0.27,-0.27,-0.19,100.00,40.41,1.00,-28.90,Right,-0.03,0.00,False,False,False,none,False,
1,10,10,-0.30,-0.30,-0.22,100.00,40.41,1.00,-28.90,Right,-0.03,0.00,False,False,False,none,False,
1,11,11,-0.33,-0.33,-0.24,100.00,40.41,1.00,-28.90,Right,-0.03,0.00,False,False,False,none,False,
1,12,12,-0.36,-0.36,-0.27,100.00,40.41,1.00,-28.90,None,-0.04,0.00,False,False,False,none,False,
1,13,13,-0.39,-0.39,-0.29,100.00,40.41,1.00,-28.90,Forward,-0.04,0.00,False,False,False,none,False,
1,14,14,-0.42,-0.42,-0.31,100.00,38.89,1.00,-27.81,Forward,-0.04,1.87,False,False,False,none,False,
1,15,15,-0.45,-0.45,-0.32,100.00,37.36,1.00,-26.73,Forward,-0.04,1.87,False,False,False,none,False,
1,16,16,-0.48,-0.48,-0.33,100.00,35.83,1.00,-25.65,Forward,-0.05,1.87,False,False,False,none,False,
1,17,17,-0.51,-0.51,-0.33,100.00,34.31,1.00,-24.56,Forward,-0.05,1.87,False,False,False,none,False,
1,18,18,-0.54,-0.54,-0.32,100.00,32.78,1.00,-23.48,None,-0.05,1.87,False,False,False,none,False,
1,19,19,-0.57,-0.57,-0.31,100.00,32.78,1.00,-23.48,Left,-0.06,0.00,False,False,False,none,False,
1,20,20,-0.60,-0.60,-0.31,100.00,32.78,1.00,-23.48,Left,-0.06,0.00,False,False,False,none,False,
1,21,21,-0.63,-0.63,-0.30,100.00,32.78,1.00,-23.48,Left,-0.06,0.00,False,False,False,none,False,
1,22,22,-0.66,-0.66,-0.29,100.00,32.78,1.00,-23.48,Left,-0.06,0.00,False,False,False,none,False,
1,23,23,-0.69,-0.69,-0.28,100.00,32.78,1.00,-23.48,Left,-0.07,0.00,False,False,False,none,False,
1,24,24,-0.72,-0.72,-0.28,100.00,32.78,1.00,-23.48,Left,-0.07,0.00,False,False,False,none,False,
1,25,25,-0.75,-0.75,-0.27,100.00,32.78,1.00,-23.48,Left,-0.07,0.00,False,False,False,none,False,
1,26,26,-0.78,-0.78,-0.26,100.00,32.78,1.00,-23.48,Left,-0.07,0.00,False,False,False,none,False,
1,27,27,-0.81,-0.81,-0.25,100.00,32.78,1.00,-23.48,Left,-0.08,0.00,False,False,False,none,False,
1,28,28,-0.84,-0.84,-0.25,100.00,32.78,1.00,-23.48,Left,-0.08,0.00,False,False,False,none,False,
1,29,29,-0.87,-0.87,-0.24,100.00,32.78,1.00,-23.48,Left,-0.08,0.00,False,False,False,none,False,
1,30,30,-0.90,-0.90,-0.23,100.00,32.78,1.00,-23.48,Left,-0.08,0.00,False,False,False,none,False,
1,31,31,-0.93,-0.93,-0.23,100.00,32.78,1.00,-23.48,Left,-0.09,0.00,False,False,False,none,False,
1,32,32,-0.96,-0.96,-0.22,100.00,32.78,1.00,-23.48,None,-0.09,0.00,False,False,False,none,False,
1,33,33,-0.99,-0.99,-0.21,100.00,32.78,1.00,-23.48,Forward,-0.09,0.00,False,False,False,none,False,
1,34,34,-1.02,-1.02,-0.20,100.00,32.56,1.00,-21.62,Forward,-0.09,1.87,False,False,False,none,False,
1,35,35,-1.05,-1.05,-0.19,100.00,32.35,1.00,-19.76,Forward,-0.10,1.87,False,False,False,none,False,
1,36,36,-1.08,-1.08,-0.18,100.00,32.13,1.00,-17.90,Forward,-0.10,1.87,False,False,False,none,False,
1,37,37,-1.11,-1.11,-0.16,100.00,31.91,1.00,-16.04,Forward,-0.10,1.87,False,False,False,none,False,
1,38,38,-1.14,-1.14,-0.15,100.00,31.70,1.00,-14.19,Forward,-0.11,1.87,False,False,False,none,False,
1,39,39,-1.17,-1.17,-0.13,100.00,31.48,1.00,-12.33,Forward,-0.11,1.87,False,False,False,none,False,
1,40,40,-1.20,-1.20,-0.11,100.00,31.26,1.00,-10.47,Forward,-0.11,1.87,False,False,False,none,False,
1,41,41,-1.23,-1.23,-0.10,100.00,31.05,1.00,-8.61,Forward,-0.11,1.87,False,False,False,none,False,
1,42,42,-1.26,-1.26,-0.08,100.00,30.83,1.00,-6.75,Forward,-0.12,1.87,False,False,False,none,False,
1,43,43,-1.29,-1.29,-0.07,100.00,30.61,1.00,-4.89,Forward,-0.12,1.87,False,False,False,none,False,
1,44,44,-1.32,-1.32,-0.05,100.00,30.40,1.00,-3.03,Forward,-0.12,1.87,False,False,False,none,False,
1,45,45,-1.35,-1.35,-0.04,100.00,30.18,1.00,-1.17,Forward,-0.12,1.87,False,False,False,none,False,
1,46,46,-1.38,-1.38,-0.02,100.00,29.96,1.00,0.69,Forward,-0.13,1.87,False,False,False,none,False,
