Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
1,77,-0.65,0.00,-0.67,1,0,-7.61,6.60,0.00,100.00,0,36.84,38.16,11.84,10.53,1.32,ResourceConsumed,1,1
2,59,-0.72,-0.66,-0.81,1,0,-7.46,6.69,0.00,100.00,0,25.86,39.66,15.52,15.52,1.72,ResourceConsumed,1,1
3,73,-0.73,-0.66,-0.81,1,0,-7.55,6.63,0.00,100.00,0,36.11,37.50,11.11,12.50,1.39,ResourceConsumed,1,1
4,58,-0.72,-0.66,-0.81,1,0,-7.47,6.69,0.00,100.00,0,21.05,47.37,14.04,14.04,1.75,ResourceConsumed,1,1
5,69,-0.71,-0.66,-0.81,1,0,-7.65,6.57,0.00,100.00,0,26.47,42.65,13.24,11.76,4.41,ResourceConsumed,1,1
6,65,-0.73,-0.66,-0.81,1,0,-7.45,6.70,0.00,100.00,0,34.38,34.38,14.06,14.06,1.56,ResourceConsumed,1,1
7,57,-0.72,-0.66,-0.81,1,0,-7.47,6.69,0.00,100.00,0,21.43,44.64,14.29,16.07,1.79,ResourceConsumed,1,1
8,71,-0.71,-0.66,-0.81,1,0,-7.68,6.55,0.00,100.00,0,37.14,35.71,11.43,12.86,1.43,ResourceConsumed,1,1
9,58,-0.72,-0.66,-0.81,1,0,-7.47,6.69,0.00,100.00,0,26.32,43.86,12.28,14.04,1.75,ResourceConsumed,1,1
10,57,-0.71,-0.66,-0.81,1,0,-7.50,6.67,0.00,100.00,0,28.57,41.07,12.50,14.29,1.79,ResourceConsumed,1,1
