Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,300,-0.33,0.00,-0.55,0,0,-11.04,4.31,0.00,80.56,8,0.33,62.88,0.00,36.79,0.00,MaxStepReached,0,0
5,300,-0.32,0.00,-0.59,0,0,-11.04,4.31,0.00,71.22,2,0.00,79.26,0.00,20.74,0.00,MaxStepReached,0,0
7,301,-1.38,0.00,-1.86,0,0,3.72,-9.19,0.00,53.60,18,0.00,56.86,0.00,43.14,0.00,MaxStepReached,1,1
9,301,-1.38,0.00,-1.86,0,0,3.72,-9.19,0.00,49.22,20,0.00,52.51,0.00,47.49,0.00,MaxStepReached,1,1
11,300,-0.33,0.00,-1.61,0,0,-11.04,4.31,0.00,71.22,2,0.00,78.26,0.00,21.74,0.00,MaxStepReached,0,0
13,301,-1.38,0.00,-1.86,0,0,3.72,-9.19,0.00,71.57,0,0.00,53.18,0.00,46.82,0.00,MaxStepReached,1,1
15,300,-0.36,0.00,-1.55,0,0,-11.04,4.31,0.00,71.74,0,0.00,66.89,0.00,33.11,0.00,MaxStepReached,0,0
17,301,-1.36,0.00,-1.86,0,0,3.76,-9.16,0.00,100.00,0,0.00,54.85,0.00,45.15,0.00,MaxStepReached,1,1
19,273,-1.36,0.00,-1.86,1,0,4.10,-8.93,0.00,100.00,0,0.00,49.26,0.00,50.00,0.37,ResourceConsumed,1,1
21,301,-1.38,0.00,-1.86,0,0,3.72,-9.19,0.00,71.57,0,0.00,53.18,0.00,46.82,0.00,MaxStepReached,1,1
23,300,-0.31,0.00,-1.55,0,0,-11.04,4.31,0.00,86.28,6,0.00,69.23,0.00,30.77,0.00,MaxStepReached,0,0
25,301,-1.38,0.00,-1.86,0,0,3.72,-9.19,0.00,55.05,18,0.00,56.86,0.00,43.14,0.00,MaxStepReached,1,1
27,300,-0.33,0.00,-1.59,0,0,-11.04,4.31,0.00,71.24,1,0.00,84.28,0.00,15.72,0.00,MaxStepReached,0,0
29,301,-1.38,0.00,-1.86,0,0,3.72,-9.19,0.00,71.57,0,0.00,53.18,0.00,46.82,0.00,MaxStepReached,1,1
31,301,-1.36,0.00,-1.86,0,0,3.77,-9.15,0.00,73.38,0,0.00,53.18,0.00,46.82,0.00,MaxStepReached,1,1
