Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,301,-0.81,0.00,-1.86,0,0,-8.65,5.90,0.00,68.99,10,0.33,49.50,0.00,30.77,19.40,MaxStepReached,1,1
5,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,61.79,2,0.00,55.52,0.00,44.48,0.00,MaxStepReached,1,1
7,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.87,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
9,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,68.24,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
11,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,79.40,3,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
13,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,80.92,3,0.00,47.16,0.00,52.84,0.00,MaxStepReached,1,1
15,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,77.66,6,0.00,51.51,0.00,48.49,0.00,MaxStepReached,1,1
17,301,-1.24,0.00,-1.86,0,0,-9.78,5.15,0.00,85.31,1,0.00,70.57,0.00,29.43,0.00,MaxStepReached,1,1
19,301,-1.26,0.00,-1.86,0,0,-9.78,5.15,0.00,67.31,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
21,301,-1.26,0.00,-1.86,0,0,-9.78,5.15,0.00,67.31,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
23,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,77.47,2,0.00,55.85,0.00,44.15,0.00,MaxStepReached,1,1
25,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.85,2,0.00,49.83,0.00,50.17,0.00,MaxStepReached,1,1
27,301,-1.26,0.00,-1.86,0,0,-9.78,5.15,0.00,67.29,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
29,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.86,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
31,301,-1.26,0.00,-1.86,0,0,-9.78,5.15,0.00,59.49,16,0.00,38.46,0.00,61.54,0.00,MaxStepReached,1,1
33,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,58.49,19,0.00,43.14,0.00,56.86,0.00,MaxStepReached,1,1
35,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,67.70,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
37,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,79.37,3,0.00,48.83,0.00,51.17,0.00,MaxStepReached,1,1
39,301,-1.26,0.00,-1.86,0,0,-9.78,5.15,0.00,67.25,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
41,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,68.40,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
43,301,-1.26,0.00,-1.86,0,0,-9.78,5.15,0.00,71.17,21,0.00,46.82,0.00,53.18,0.00,MaxStepReached,1,1
45,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.87,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
47,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.79,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
49,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.88,2,0.00,49.83,0.00,50.17,0.00,MaxStepReached,1,1
51,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,68.18,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
53,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.78,2,0.00,49.83,0.00,50.17,0.00,MaxStepReached,1,1
55,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.83,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
57,301,-1.27,0.00,-1.86,0,0,-9.78,5.15,0.00,57.33,31,0.00,26.76,0.00,73.24,0.00,MaxStepReached,1,1
59,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.85,2,0.00,50.17,0.00,49.83,0.00,MaxStepReached,1,1
61,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.86,2,0.00,49.50,0.00,50.50,0.00,MaxStepReached,1,1
63,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,80.00,4,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
65,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,69.89,10,0.00,69.23,0.00,30.77,0.00,MaxStepReached,1,1
67,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.85,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
69,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.87,2,0.00,48.49,0.00,51.51,0.00,MaxStepReached,1,1
71,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.86,2,0.00,49.50,0.00,50.50,0.00,MaxStepReached,1,1
73,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.83,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
75,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.85,2,0.00,49.83,0.00,50.17,0.00,MaxStepReached,1,1
77,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.86,2,0.00,49.16,0.00,50.84,0.00,MaxStepReached,1,1
79,301,-1.25,0.00,-1.86,0,0,-9.78,5.15,0.00,82.77,2,0.00,49.50,0.00,50.50,0.00,MaxStepReached,1,1
