Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.09,9,0.20,65.13,0.00,34.67,0.00,MaxStepReached,0,0
5,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
7,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,74.25,10,0.00,66.53,0.00,33.47,0.00,MaxStepReached,0,0
9,452,-0.49,0.00,-0.90,0,0,-13.10,2.93,0.00,-4.34,10,0.00,68.07,0.00,31.93,0.00,HealthLevelTooLow,0,0
11,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
13,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
15,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
17,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
19,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,75.58,10,0.00,65.13,0.00,34.87,0.00,MaxStepReached,0,0
21,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,74.25,10,0.00,67.13,0.00,32.87,0.00,MaxStepReached,0,0
23,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
25,452,-0.49,0.00,-0.90,0,0,-13.10,2.93,0.00,-4.34,10,0.00,68.07,0.00,31.93,0.00,HealthLevelTooLow,0,0
27,500,-0.53,0.00,-0.91,0,0,-13.74,2.51,0.00,72.27,12,3.61,65.73,0.00,30.66,0.00,MaxStepReached,0,0
29,500,-0.53,0.00,-0.95,0,0,-13.74,2.51,0.00,61.71,15,2.81,66.53,0.00,30.66,0.00,MaxStepReached,0,0
31,452,-0.49,0.00,-0.95,0,0,-13.10,2.93,0.00,-4.34,10,0.00,68.07,0.00,31.93,0.00,HealthLevelTooLow,0,0
33,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
35,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
37,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
39,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,75.58,10,0.00,65.13,0.00,34.87,0.00,MaxStepReached,0,0
41,500,-0.53,0.00,-0.90,0,0,-13.74,2.51,0.00,76.13,9,0.00,68.14,0.00,31.86,0.00,MaxStepReached,0,0
