Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,174,-0.51,0.00,-1.01,0,0,2.65,3.43,-15.01,97.03,1,0.58,56.65,0.00,12.72,30.06,ThermoLevelOutOfRange,0,0
5,172,-0.59,0.00,-1.27,0,0,2.68,3.45,-15.01,23.54,27,0.00,50.88,0.00,8.77,40.35,ThermoLevelOutOfRange,0,0
7,172,-0.59,0.00,-1.27,0,0,2.68,3.45,-15.01,23.54,27,0.00,50.88,0.00,8.77,40.35,ThermoLevelOutOfRange,0,0
9,172,-0.52,0.00,-1.01,0,0,2.68,3.45,-15.01,97.02,1,0.00,56.73,0.00,12.87,30.41,ThermoLevelOutOfRange,0,0
11,172,-0.53,0.00,-1.01,0,0,2.68,3.45,-15.01,100.01,0,0.00,54.39,0.00,12.28,33.33,ThermoLevelOutOfRange,0,0
13,172,-0.59,0.00,-1.26,0,0,2.68,3.45,-15.01,23.51,27,0.00,51.46,0.00,8.77,39.77,ThermoLevelOutOfRange,0,0
15,171,-0.52,0.00,-1.01,0,0,2.69,3.46,-15.01,97.08,1,0.00,60.59,0.00,12.94,26.47,ThermoLevelOutOfRange,0,0
17,172,-0.59,0.00,-1.26,0,0,2.68,3.45,-15.01,23.51,27,0.00,51.46,0.00,8.77,39.77,ThermoLevelOutOfRange,0,0
19,172,-0.59,0.00,-1.27,0,0,2.68,3.45,-15.01,23.54,27,0.00,50.88,0.00,8.77,40.35,ThermoLevelOutOfRange,0,0
21,171,-0.52,0.00,-1.01,0,0,2.69,3.46,-15.01,97.07,1,0.00,60.00,0.00,12.94,27.06,ThermoLevelOutOfRange,0,0
23,172,-0.59,0.00,-1.27,0,0,2.68,3.45,-15.01,23.52,27,0.00,51.46,0.00,8.77,39.77,ThermoLevelOutOfRange,0,0
25,172,-0.59,0.00,-1.26,0,0,2.68,3.45,-15.01,23.51,27,0.00,51.46,0.00,8.77,39.77,ThermoLevelOutOfRange,0,0
