Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,223,-0.63,-0.01,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.45,9.01,31.08,59.46,0.00,FoodLevelOutOfRange,0,0
5,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
7,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
9,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
11,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
13,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
15,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
17,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
19,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
21,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
23,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
25,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
27,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
29,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
31,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
33,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
35,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
37,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
39,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
41,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.71,6,0.00,9.01,31.53,59.46,0.00,FoodLevelOutOfRange,0,0
43,223,-0.63,0.00,-1.21,0,0,-15.01,-14.01,0.00,82.72,6,0.00,9.01,31.08,59.91,0.00,FoodLevelOutOfRange,0,0
