Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,156,-0.69,-0.01,-1.31,0,0,-14.11,-13.40,-15.01,82.48,9,0.65,54.19,0.00,45.16,0.00,ThermoLevelOutOfRange,0,0
5,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.27,7,0.00,21.92,0.00,78.08,0.00,ThermoLevelOutOfRange,0,0
7,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
9,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.50,7,0.68,19.86,0.00,79.45,0.00,ThermoLevelOutOfRange,0,0
11,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
13,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.69,7,0.00,20.55,0.00,79.45,0.00,ThermoLevelOutOfRange,0,0
15,147,-0.68,0.00,-1.28,0,0,-13.98,-13.32,-15.01,88.03,2,0.00,98.63,0.00,1.37,0.00,ThermoLevelOutOfRange,0,0
17,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.94,11,0.00,28.77,7.53,63.70,0.00,ThermoLevelOutOfRange,0,0
19,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.20,7,0.00,26.03,0.68,73.29,0.00,ThermoLevelOutOfRange,0,0
21,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.00,80.57,3,0.68,26.71,0.00,72.60,0.00,ThermoLevelOutOfRange,0,0
23,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.83,7,0.00,29.45,0.00,70.55,0.00,ThermoLevelOutOfRange,0,0
25,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.34,7,0.00,21.92,0.00,78.08,0.00,ThermoLevelOutOfRange,0,0
27,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.91,4,0.68,47.26,0.00,52.05,0.00,ThermoLevelOutOfRange,0,0
29,147,-0.97,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.24,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
31,147,-0.96,0.00,-1.49,0,0,-13.98,-13.32,-15.01,22.15,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
33,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.62,7,0.00,26.71,0.00,73.29,0.00,ThermoLevelOutOfRange,0,0
35,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.59,8,0.00,21.23,19.86,58.90,0.00,ThermoLevelOutOfRange,0,0
37,164,-0.71,0.00,-1.34,0,0,-14.21,-13.48,-15.01,81.44,4,0.61,35.58,0.00,63.80,0.00,ThermoLevelOutOfRange,0,0
39,160,-0.72,0.00,-1.33,0,0,-14.16,-13.44,-15.01,80.91,9,0.63,28.93,0.00,70.44,0.00,ThermoLevelOutOfRange,0,0
41,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.00,80.10,7,0.00,26.03,0.00,73.97,0.00,ThermoLevelOutOfRange,0,0
43,152,-0.69,0.00,-1.30,0,0,-14.05,-13.37,-15.00,81.03,7,0.00,36.42,0.00,63.58,0.00,ThermoLevelOutOfRange,0,0
45,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
47,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.43,7,0.68,20.55,0.00,78.77,0.00,ThermoLevelOutOfRange,0,0
49,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.24,1,0.00,17.12,13.70,69.18,0.00,ThermoLevelOutOfRange,0,0
51,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
53,147,-0.68,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.71,4,0.00,54.11,0.00,45.89,0.00,ThermoLevelOutOfRange,0,0
55,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.56,9,0.00,23.97,0.00,76.03,0.00,ThermoLevelOutOfRange,0,0
57,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
59,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.32,3,0.00,17.81,0.00,82.19,0.00,ThermoLevelOutOfRange,0,0
61,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.84,7,0.00,23.29,0.00,76.71,0.00,ThermoLevelOutOfRange,0,0
63,147,-0.69,0.00,-1.28,0,0,-13.98,-13.32,-15.01,81.85,7,0.00,40.41,0.00,59.59,0.00,ThermoLevelOutOfRange,0,0
65,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.69,8,0.00,23.97,0.00,76.03,0.00,ThermoLevelOutOfRange,0,0
67,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.77,7,0.00,22.60,0.00,77.40,0.00,ThermoLevelOutOfRange,0,0
69,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.28,7,0.00,21.23,0.00,78.77,0.00,ThermoLevelOutOfRange,0,0
71,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
73,147,-0.97,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.24,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
75,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
77,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
79,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.90,7,0.00,23.29,0.00,76.71,0.00,ThermoLevelOutOfRange,0,0
81,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.63,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
83,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.79,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
85,147,-0.95,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.20,1,0.00,18.49,81.51,0.00,0.00,ThermoLevelOutOfRange,0,0
87,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
89,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.07,7,0.00,21.23,0.00,78.77,0.00,ThermoLevelOutOfRange,0,0
91,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.12,7,0.00,21.23,0.00,78.77,0.00,ThermoLevelOutOfRange,0,0
93,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.39,7,0.00,35.62,0.00,64.38,0.00,ThermoLevelOutOfRange,0,0
95,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
97,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.76,7,0.00,23.97,0.00,76.03,0.00,ThermoLevelOutOfRange,0,0
99,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.61,8,0.00,19.86,14.38,65.75,0.00,ThermoLevelOutOfRange,0,0
101,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.87,6,0.68,30.14,0.00,69.18,0.00,ThermoLevelOutOfRange,0,0
103,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
105,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.73,6,0.68,22.60,0.00,76.71,0.00,ThermoLevelOutOfRange,0,0
107,163,-0.70,0.00,-1.34,0,0,-14.20,-13.47,-15.01,81.83,7,0.00,40.74,0.00,59.26,0.00,ThermoLevelOutOfRange,0,0
109,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.53,8,0.00,21.23,17.12,61.64,0.00,ThermoLevelOutOfRange,0,0
111,147,-0.97,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.24,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
113,153,-0.71,0.00,-1.31,0,0,-14.07,-13.38,-15.01,80.55,4,0.66,23.68,0.00,75.66,0.00,ThermoLevelOutOfRange,0,0
115,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.25,8,0.00,29.45,0.68,69.86,0.00,ThermoLevelOutOfRange,0,0
117,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.34,9,0.00,24.66,0.00,75.34,0.00,ThermoLevelOutOfRange,0,0
119,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.45,10,0.00,28.08,15.07,56.85,0.00,ThermoLevelOutOfRange,0,0
121,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
123,147,-0.68,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.37,7,0.00,46.58,0.00,53.42,0.00,ThermoLevelOutOfRange,0,0
125,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.32,7,0.00,21.92,0.00,78.08,0.00,ThermoLevelOutOfRange,0,0
127,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.13,8,0.00,19.18,12.33,68.49,0.00,ThermoLevelOutOfRange,0,0
129,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
131,148,-0.69,0.00,-1.29,0,0,-14.00,-13.33,-15.01,81.97,10,0.00,43.54,0.00,56.46,0.00,ThermoLevelOutOfRange,0,0
133,147,-0.97,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.24,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
135,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.08,8,0.00,23.29,10.27,66.44,0.00,ThermoLevelOutOfRange,0,0
137,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.14,8,0.00,19.86,12.33,67.81,0.00,ThermoLevelOutOfRange,0,0
139,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.63,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
141,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
143,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
145,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
147,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.27,7,0.00,21.23,0.00,78.77,0.00,ThermoLevelOutOfRange,0,0
149,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
151,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.60,8,0.00,19.86,17.12,63.01,0.00,ThermoLevelOutOfRange,0,0
153,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.51,8,0.00,23.97,17.12,58.90,0.00,ThermoLevelOutOfRange,0,0
155,147,-0.97,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.24,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
157,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
159,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.63,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
161,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.32,5,0.00,36.30,0.00,63.70,0.00,ThermoLevelOutOfRange,0,0
163,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
165,147,-0.88,0.00,-1.43,0,0,-13.98,-13.32,-15.01,35.29,1,0.00,17.12,82.88,0.00,0.00,ThermoLevelOutOfRange,0,0
167,154,-0.69,0.00,-1.31,0,0,-14.08,-13.39,-15.01,81.77,1,0.00,64.05,0.00,35.95,0.00,ThermoLevelOutOfRange,0,0
169,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.81,8,0.00,19.18,12.33,68.49,0.00,ThermoLevelOutOfRange,0,0
171,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.60,8,0.00,30.14,0.00,69.86,0.00,ThermoLevelOutOfRange,0,0
173,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
175,147,-0.97,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.24,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
177,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.05,8,0.00,19.18,12.33,68.49,0.00,ThermoLevelOutOfRange,0,0
179,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
181,147,-0.79,0.00,-1.36,0,0,-13.98,-13.32,-15.01,52.72,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
183,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.62,8,0.00,26.03,0.00,73.97,0.00,ThermoLevelOutOfRange,0,0
185,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.00,80.41,7,0.00,24.66,0.00,75.34,0.00,ThermoLevelOutOfRange,0,0
187,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.58,8,0.00,21.92,16.44,61.64,0.00,ThermoLevelOutOfRange,0,0
189,147,-0.96,0.00,-1.50,0,0,-13.98,-13.32,-15.01,21.22,1,0.00,17.12,82.88,0.00,0.00,ThermoLevelOutOfRange,0,0
191,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.90,7,0.00,23.29,0.00,76.71,0.00,ThermoLevelOutOfRange,0,0
193,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
195,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
197,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
199,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
201,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
203,147,-0.68,0.00,-1.28,0,0,-13.98,-13.32,-15.00,81.78,7,0.68,39.73,0.00,59.59,0.00,ThermoLevelOutOfRange,0,0
205,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.16,8,0.00,18.49,13.01,68.49,0.00,ThermoLevelOutOfRange,0,0
207,148,-0.69,0.00,-1.29,0,0,-14.00,-13.33,-15.01,81.03,5,0.00,31.97,0.00,68.03,0.00,ThermoLevelOutOfRange,0,0
209,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
211,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,76.16,8,0.00,18.49,13.01,68.49,0.00,ThermoLevelOutOfRange,0,0
213,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.46,10,0.00,27.40,0.00,72.60,0.00,ThermoLevelOutOfRange,0,0
215,147,-0.70,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.96,8,0.00,19.18,12.33,68.49,0.00,ThermoLevelOutOfRange,0,0
217,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.85,3,0.00,21.23,0.00,78.77,0.00,ThermoLevelOutOfRange,0,0
219,147,-0.67,0.00,-1.29,0,0,-13.98,-13.32,-15.01,81.37,6,0.00,73.97,0.00,26.03,0.00,ThermoLevelOutOfRange,0,0
221,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
223,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
225,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,80.40,10,0.00,26.71,0.00,73.29,0.00,ThermoLevelOutOfRange,0,0
227,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.62,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
229,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
231,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
233,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.58,9,0.00,21.92,0.00,78.08,0.00,ThermoLevelOutOfRange,0,0
235,147,-0.77,0.00,-1.34,0,0,-13.98,-13.32,-15.01,58.26,1,0.00,15.75,84.25,0.00,0.00,ThermoLevelOutOfRange,0,0
237,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.63,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
239,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,79.02,7,0.00,22.60,0.00,77.40,0.00,ThermoLevelOutOfRange,0,0
241,147,-0.71,0.00,-1.29,0,0,-13.98,-13.32,-15.01,75.64,8,0.00,17.81,13.01,69.18,0.00,ThermoLevelOutOfRange,0,0
243,147,-0.67,0.00,-1.29,0,0,-13.98,-13.32,-15.01,81.18,7,0.00,65.75,0.00,34.25,0.00,ThermoLevelOutOfRange,0,0
245,147,-0.69,0.00,-1.29,0,0,-13.98,-13.32,-15.01,78.90,6,0.68,19.86,0.00,79.45,0.00,ThermoLevelOutOfRange,0,0
