Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
5,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
7,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
9,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
11,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
13,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
15,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
17,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
19,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
21,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
23,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
25,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
27,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
29,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
31,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
33,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
35,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
37,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
39,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
41,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
43,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
45,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
47,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
49,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
51,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
53,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
55,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
57,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
59,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
61,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
63,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
65,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
67,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
69,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
71,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
73,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
75,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
77,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
79,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
81,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
83,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
85,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
87,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
89,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
91,300,-0.18,0.00,-0.36,0,0,-7.04,4.31,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
