Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
5,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
7,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
9,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
11,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
13,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
15,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
17,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
19,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
21,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
23,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
25,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
27,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
29,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
31,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
33,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
35,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
37,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
39,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
41,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
43,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
45,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
47,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
49,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
51,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
53,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
55,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
57,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
59,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
61,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
63,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
65,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
67,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
69,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
71,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
73,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
75,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
77,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
79,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
81,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
83,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
85,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
87,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
89,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
91,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
93,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
95,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
97,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
99,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
101,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
103,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
105,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
107,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
109,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
111,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
113,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
115,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
117,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
119,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
121,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
123,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
125,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
127,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
129,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
131,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
133,334,-0.50,0.00,-1.00,0,0,-15.03,7.00,0.00,100.10,0,100.00,0.00,0.00,0.00,0.00,FoodLevelOutOfRange,0,0
