Episode,TotalSteps,AvgReward,MaxReward,MinReward,FoodConsumed,WaterConsumed,FinalFoodLevel,FinalWaterLevel,FinalTempLevel,FinalHealthLevel,Collisions,None%,Forward%,Left%,Right%,Eat%,EpisodeEndType,TotalEvents,UniqueEventTypes
3,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
5,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
7,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
9,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
11,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
13,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
15,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
17,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
19,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
21,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
23,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
25,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
27,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
29,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
31,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
33,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
35,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
37,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
39,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
41,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
43,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
45,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
47,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
49,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
51,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
53,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
55,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
57,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
59,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
61,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
63,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
65,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
67,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
69,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
71,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
73,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
75,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
77,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
79,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
81,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
83,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
85,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
87,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
89,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
91,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
93,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
95,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
97,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
99,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
101,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
103,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
105,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
107,500,-0.32,0.00,-0.64,0,0,0.26,-11.49,0.00,100.00,0,100.00,0.00,0.00,0.00,0.00,MaxStepReached,0,0
