Wall time,Step,Value
1746930273.441139,1,1111.0
1746930316.620322,2,1334.0
1746930353.8218765,3,1112.0
1746930405.7465045,4,1556.0
1746930474.7478144,5,2000.0
1746930537.8970015,6,1778.0
1746930644.8969278,7,2889.0
1746930687.4186792,8,1112.0
1746930753.4155416,9,1778.0
1746930864.5385852,10,2889.0
1746930923.2301686,11,1556.0
1746930981.9275296,12,1556.0
1746931056.552036,13,2000.0
1746931115.9762275,14,1556.0
1746931183.802099,15,1778.0
1746931226.6316862,16,1112.0
1746931308.576344,17,2223.0
1746931375.6044693,18,1778.0
1746931426.7614915,19,1334.0
1746931485.4018624,20,1556.0
1746931588.4374862,21,2667.0
1746931639.342136,22,1334.0
1746931682.6326778,23,1112.0
1746931733.202182,24,1334.0
1746931776.1273105,25,1112.0
1746931834.5716372,26,1556.0
1746931909.0054102,27,2000.0
1746931951.5506065,28,1112.0
1746931994.0156775,29,1112.0
1746932059.86359,30,1753.0
1746932102.8748484,31,1112.0
1746932153.5296526,32,1334.0
1746932212.5883822,33,1556.0
1746932265.898644,34,1334.0
1746932330.2915146,35,1667.0
1746932372.7871025,36,1112.0
1746932406.2182062,37,857.0
1746932457.3880289,38,1334.0
1746932500.517644,39,1112.0
1746932559.6529462,40,1556.0
1746932602.8721724,41,1112.0
1746932670.3042946,42,1778.0
1746932738.0336409,43,1778.0
1746932829.560603,44,2445.0
1746932880.718621,45,1334.0
1746932939.038799,46,1556.0
1746933008.90151,47,1778.0
1746933052.275146,48,1112.0
1746933151.9574037,49,2667.0
1746933195.4621766,50,1112.0
1746933246.8212616,51,1334.0
1746933274.1513257,52,677.0
1746933325.3906524,53,1334.0
1746933392.6833758,54,1778.0
1746933459.9564757,55,1778.0
1746933511.5879002,56,1334.0
1746933571.2797701,57,1556.0
1746933591.8621147,58,495.0
1746933666.365773,59,2000.0
1746933712.8457074,60,1112.0
1746933756.6148252,61,1112.0
1746933823.6207163,62,1778.0
1746933874.593065,63,1334.0
1746933957.8495622,64,2223.0
1746934021.424158,65,1667.0
1746934064.6019747,66,1101.0
1746934108.5656497,67,1112.0
1746934172.2031553,68,1667.0
1746934272.2980862,69,2667.0
1746934339.3130171,70,1778.0
1746934382.8578799,71,1112.0
1746934486.4201286,72,2667.0
1746934524.4953456,73,970.0
1746934567.83675,74,1112.0
1746934635.311586,75,1778.0
1746934711.1208317,76,2000.0
1746934752.4807897,77,1055.0
1746934828.2403536,78,2000.0
1746934896.2915208,79,1778.0
1746934964.2386289,80,1778.0
1746935007.8105886,81,1112.0
1746935067.0419345,82,1556.0
1746935152.9739237,83,2223.0
1746935253.7249286,84,2667.0
1746935367.7238739,85,3035.0
1746935411.447259,86,1112.0
1746935455.2013345,87,1112.0
1746935498.9756782,88,1112.0
1746935559.3308325,89,1556.0
1746935618.516871,90,1556.0
1746935767.3980815,91,4000.0
1746935818.9174433,92,1334.0
1746935906.4637594,93,2223.0
1746936006.7347395,94,2667.0
