Wall time,Step,Value
1746930709.1527607,4,1112.0
1746930800.589585,6,1112.0
1746930852.9602425,7,1334.0
1746930953.818606,9,1112.0
1746931037.5144374,11,1112.0
1746931079.6094556,12,1112.0
1746931121.2603288,13,1112.0
1746931170.7964911,14,1334.0
1746931212.678632,15,1112.0
1746931254.5942686,16,1112.0
1746931296.1911247,17,1112.0
1746931357.706925,18,1667.0
1746931399.9362519,19,1112.0
1746931441.3130314,20,1112.0
1746931502.5823567,21,1667.0
1746931585.877866,23,1667.0
1746931688.5536754,25,1667.0
1746931750.3105628,26,1667.0
1746931997.9285245,31,1667.0
1746932039.6952283,32,1112.0
1746932081.4368944,33,1112.0
1746932122.835246,34,1112.0
1746932164.6602566,35,1112.0
1746932279.1598775,37,1667.0
1746932436.4191098,40,2001.0
1746932497.4936712,41,1667.0
1746932588.1508818,43,1112.0
1746932614.653667,44,690.0
1746932675.4367015,45,1667.0
1746932717.3392613,46,1112.0
1746932816.4156651,48,1112.0
1746932919.5630436,50,1667.0
1746932961.815955,51,1112.0
1746933108.8855968,54,1112.0
1746933182.8734927,55,2001.0
1746933225.4906843,56,1112.0
1746933287.561632,57,1667.0
1746933313.346087,58,671.0
1746933468.2719734,61,1667.0
1746933509.682895,62,1112.0
1746933593.7806494,64,1112.0
1746933655.0706644,65,1667.0
1746933718.728479,66,1667.0
1746933771.7325234,67,1418.0
1746933814.454953,68,1112.0
1746933856.435973,69,1112.0
1746933898.532982,70,1112.0
1746933998.6528127,72,1112.0
1746934060.4472146,73,1667.0
1746934110.1771076,74,1334.0
1746934151.757788,75,1112.0
1746934256.398588,77,1667.0
1746934340.3017426,79,1112.0
1746934382.2887785,80,1112.0
1746934489.3344433,82,1667.0
1746934531.5047724,83,1112.0
1746934654.844012,85,1667.0
1746934696.1042812,86,1112.0
1746934737.6540136,87,1112.0
1746934779.5888238,88,1112.0
1746934821.5029566,89,1112.0
1746934884.0873783,90,1667.0
1746934988.7116973,92,1112.0
1746935019.9956994,93,834.0
1746935061.6818137,94,1112.0
1746935124.104038,95,1667.0
1746935367.6616814,100,977.0
1746935409.5280159,101,1112.0
1746935493.1844566,103,1112.0
1746935597.1745422,105,1112.0
1746935638.6366234,106,1112.0
1746935680.568973,107,1112.0
1746935849.0197268,110,1112.0
1746935913.3402653,111,1667.0
1746936057.0919774,114,1667.0
1746936167.5299387,117,1112.0
1746936251.220479,119,1112.0
1746936292.9317386,120,1112.0
1746936355.6206472,121,1667.0
1746936540.3635528,125,1112.0
1746936560.1938753,126,481.0
1746936605.1860945,127,1112.0
1746936647.7247689,128,1112.0
1746936752.1943905,130,1667.0
1746936794.7270644,131,1112.0
1746936989.654667,134,1112.0
1746937155.515467,137,1112.0
1746937217.6803966,138,1667.0
1746937325.288552,140,1112.0
1746937454.2065043,142,1778.0
1746937517.323678,143,1667.0
1746937567.5321622,144,1334.0
1746937630.2479417,145,1667.0
1746937693.5404527,146,1667.0
1746937743.1301916,147,1334.0
1746937835.5933437,149,2000.0
1746937898.0191252,150,1667.0
1746937939.2515037,151,1112.0
1746937981.900876,152,1112.0
1746938081.152759,154,758.0
1746938143.6419904,155,1667.0
1746938186.1071758,156,1112.0
1746938315.8756313,158,1112.0
1746938356.863526,159,1112.0
1746938398.9031267,160,1112.0
1746938504.731092,162,1667.0
1746938547.1715977,163,1112.0
1746938652.930068,165,1667.0
1746938695.1989129,166,1112.0
1746938823.4888144,168,1667.0
1746938890.3646858,169,1778.0
1746938932.6893764,170,1112.0
1746939069.1861882,172,1667.0
1746939131.942962,173,1667.0
1746939258.98893,176,1112.0
1746939283.117521,177,605.0
1746939346.121719,178,1667.0
1746939388.7562985,179,1112.0
1746939488.438377,181,1458.0
1746939551.5993752,182,1667.0
1746939657.2552922,184,1112.0
1746939762.8558877,186,1667.0
1746939804.5101821,187,1112.0
1746939845.910308,188,1112.0
1746939908.795577,189,1667.0
1746940013.5169647,191,1112.0
1746940076.1674092,192,1667.0
1746940246.9882953,195,1667.0
1746940438.1366544,199,589.0
1746940659.7616563,203,1667.0
1746940804.3763788,206,1112.0
1746940867.370294,207,1667.0
1746940932.324988,208,1667.0
1746940995.8722315,209,1667.0
1746941037.476049,210,1112.0
1746941183.3709962,213,1112.0
1746941257.841866,214,2001.0
1746941320.978708,215,1667.0
1746941383.959358,216,1667.0
1746941532.9062328,219,1112.0
1746941575.810177,220,1112.0
1746941638.2312255,221,1667.0
1746941703.2352366,222,1667.0
1746941746.273755,223,1112.0
1746941809.2806778,224,1667.0
1746941893.3904107,226,1112.0
1746941956.1609719,227,1667.0
1746942021.9865189,228,1778.0
1746942147.0423675,230,1667.0
1746942210.041172,231,1667.0
1746942284.4132724,232,2001.0
1746942346.9417691,233,1667.0
1746942412.3176045,234,1667.0
1746942475.9917488,235,1667.0
1746942643.509345,238,1112.0
1746942706.311071,239,1667.0
1746942809.9957056,241,1112.0
1746943018.3060856,245,1112.0
1746943060.8198617,246,1112.0
1746943169.0163405,248,1112.0
1746943232.8422463,249,1667.0
1746943295.1214821,250,1667.0
1746943357.0546718,251,1667.0
1746943420.5951319,252,1667.0
1746943483.2912478,253,1667.0
1746943670.8543859,256,1667.0
1746943859.1047213,259,1667.0
1746943904.4534225,260,1112.0
1746943968.4176013,261,1667.0
1746944031.610104,262,1667.0
1746944168.6358814,264,2001.0
1746944273.5715709,266,1112.0
1746944378.7783496,268,1667.0
1746944503.5529256,270,1667.0
1746944656.0284624,272,1667.0
1746944698.9243443,273,1112.0
1746944761.9522376,274,1667.0
1746944825.006739,275,1667.0
1746944870.3637462,276,1112.0
1746944997.4747493,278,1667.0
1746945055.6074207,279,1556.0
1746945161.0016167,281,1667.0
