Wall time,Step,Value
1742907423.5298288,1,1462.0
1742907867.5749922,2,1112.0
1742908399.2975807,3,1334.0
1742908927.528525,4,1334.0
1742909379.2134411,5,1112.0
1742909919.0146234,6,1334.0
1742910399.9552612,7,1147.0
1742910842.2216055,8,1112.0
1742911282.1090374,9,1112.0
1742911816.6219246,10,1334.0
1742912346.5048058,11,1334.0
1742912788.2899275,12,1112.0
1742913259.9280567,13,1112.0
1742913704.2240698,14,1112.0
1742914324.3524945,15,1556.0
1742914773.6586685,16,1112.0
1742915218.3095448,17,1112.0
1742915661.9297612,18,1112.0
1742916104.2732232,19,1112.0
1742916636.4464166,20,1334.0
1742917165.379243,21,1334.0
1742917511.2394316,22,868.0
1742917959.2012076,23,1112.0
1742918490.9369946,24,1334.0
1742918932.0665624,25,1112.0
1742919378.4566946,26,1112.0
1742920044.0708964,27,1667.0
1742920574.7953525,28,1334.0
1742921021.723204,29,1112.0
1742921466.3884447,30,1112.0
1742921923.4278665,31,1112.0
1742922367.7393615,32,1112.0
1742922815.174613,33,1112.0
1742923432.410623,34,1556.0
1742923963.310654,35,1334.0
1742924412.8385117,36,1112.0
1742924856.803571,37,1112.0
1742925298.9320252,38,1112.0
1742926243.5805666,39,2374.0
1742926914.3843954,40,1667.0
1742927363.3211014,41,1112.0
1742927811.0264173,42,1112.0
1742928431.7496142,43,1556.0
1742929056.971373,44,1556.0
1742929588.072579,45,1334.0
1742930217.0069737,46,1556.0
1742930663.1320658,47,1112.0
1742931107.6207767,48,1112.0
1742932305.4131687,49,3001.0
1742932541.37204,50,590.0
1742932987.123615,51,1112.0
1742933407.6848001,52,958.0
1742933892.3660896,53,1112.0
1742934335.1668222,54,1112.0
1742934980.0644815,55,1556.0
1742935512.1400669,56,1334.0
1742935964.4935575,57,1112.0
1742936186.433895,58,527.0
1742936829.0352473,59,1556.0
1742937272.1742902,60,1112.0
1742937800.4757032,61,1334.0
1742938370.3861237,62,1334.0
1742938779.8225756,63,1000.0
1742939863.6176782,64,2667.0
1742940672.9069545,65,2001.0
1742941121.3448203,66,1112.0
1742941661.2720711,67,1334.0
1742942382.1330204,68,1778.0
1742943052.2518888,69,1667.0
1742943692.12327,70,1556.0
1742944140.8258286,71,1112.0
1742944587.3563468,72,1112.0
1742945219.5632474,73,1556.0
1742945667.4978902,74,1112.0
1742946114.9269962,75,1112.0
1742947014.8631742,76,2223.0
1742947568.8672116,77,1334.0
1742948212.927252,78,1334.0
1742948869.3956037,79,1556.0
1742948964.0710742,80,225.0
1742949688.1384006,81,1778.0
1742950140.3986566,82,1112.0
1742950824.3650634,83,1667.0
1742951770.9988935,84,2334.0
1742952263.0018194,85,1158.0
1742953000.0000181,86,1778.0
1742953351.3316343,87,814.0
1742954720.9998424,88,3112.0
1742956081.719046,89,2667.0
1742956692.6669602,90,1334.0
1742957171.3992858,91,1112.0
1742957624.2855659,92,1112.0
1742958573.160054,93,2334.0
1742960037.8831475,94,3667.0
1742963958.4985566,95,4000.0
1742965397.6852381,96,2889.0
1742966495.4079318,97,2667.0
1742968128.2269647,98,4000.0
1742968935.2870412,99,1974.0
1742969752.5458443,100,2000.0
1742970841.700399,101,2662.0
1742971580.6895304,102,1778.0
1742973129.1655524,103,3778.0
1742975457.823449,104,5667.0
1742976283.096977,105,2001.0
1742976755.5893815,106,1141.0
1742977285.7536187,107,1253.0
1742980852.8542857,108,8445.0
1742982992.0012343,109,5267.0
1742987618.4126217,110,11334.0
