Wall time,Step,Value
1743567700.9742348,1,393.0
1743567742.3165138,2,501.0
1743568415.7320437,3,501.0
1743568889.438771,4,501.0
1743569349.065605,5,501.0
1743569821.3187218,6,501.0
1743570134.3149617,7,337.0
1743570170.3177676,8,34.0
1743570630.1519136,9,501.0
1743571095.372706,10,501.0
1743571556.85945,11,501.0
1743571760.7994785,12,221.0
1743572218.5622294,13,501.0
1743572532.628844,14,341.0
1743572999.6722336,15,501.0
1743573363.4923913,16,393.0
1743573730.245897,17,389.0
1743574204.8787374,18,501.0
1743574543.3858368,19,369.0
1743574923.5600574,20,404.0
1743575389.5231366,21,501.0
1743575546.1274316,22,165.0
1743576121.2759001,23,617.0
1743576551.4119313,24,451.0
1743576883.1081939,25,357.0
1743576969.2333474,26,82.0
1743577422.0941427,27,487.0
1743577563.488659,28,141.0
1743577860.5396345,29,318.0
1743578252.1465216,30,430.0
1743578352.3805082,31,102.0
1743579039.6125803,32,741.0
1743579509.7742345,33,501.0
1743579986.8382673,34,501.0
1743580318.557967,35,362.0
1743580628.5400505,36,329.0
1743580964.9516306,37,358.0
1743581336.2402396,38,397.0
1743581660.7730684,39,351.0
1743582015.3863873,40,378.0
1743582384.499725,41,403.0
1743582709.2048118,42,353.0
1743583031.0628467,43,334.0
1743583436.0658135,44,442.0
1743583769.0016446,45,357.0
1743584060.7096791,46,301.0
1743584426.2009132,47,394.0
1743584815.9033716,48,421.0
1743585242.8664722,49,461.0
1743585547.5404196,50,327.0
1743585880.6066537,51,365.0
1743586260.9793983,52,409.0
1743586552.9847102,53,302.0
1743586862.0158656,54,341.0
1743587166.379732,55,325.0
1743587537.2478566,56,396.0
1743587797.806237,57,284.0
1743588056.571729,58,283.0
1743588316.5495083,59,277.0
1743588642.2857637,60,347.0
1743588906.5790718,61,287.0
1743589141.830681,62,249.0
1743589493.8473053,63,377.0
1743589806.4297729,64,338.0
1743590054.799862,65,273.0
1743590389.550123,66,366.0
1743590691.451648,67,320.0
1743591031.3492167,68,366.0
1743591485.4271731,69,489.0
1743591850.9259412,70,400.0
1743592169.4228604,71,346.0
1743592488.1330762,72,339.0
1743592836.3911226,73,377.0
1743593247.2149045,74,453.0
1743593574.250766,75,356.0
1743593869.1102257,76,319.0
1743594211.020839,77,372.0
1743594677.9453287,78,501.0
1743595011.3869765,79,359.0
1743595274.9425955,80,279.0
1743595547.523163,81,296.0
1743595796.0844564,82,273.0
1743596087.642816,83,314.0
1743596286.037213,84,217.0
1743596497.3761976,85,228.0
1743596660.5344882,86,177.0
1743596922.854648,87,286.0
1743597202.8649564,88,297.0
1743597542.939207,89,371.0
1743597799.6045282,90,277.0
1743598276.625746,91,501.0
1743598633.213767,92,383.0
1743599004.0325892,93,394.0
1743599204.3708851,94,220.0
1743599439.7021303,95,250.0
1743599878.4168987,96,486.0
1743600160.1175714,97,308.0
1743600440.133303,98,298.0
1743600680.7305233,99,255.0
1743600901.2846248,100,238.0
1743601202.1673377,101,316.0
1743601716.4107213,102,323.0
1743601924.6920815,103,203.0
1743602318.6057792,104,397.0
1743602644.4611099,105,322.0
1743602878.9378827,106,237.0
1743603261.5574164,107,378.0
1743603497.5425074,108,246.0
1743603925.1270216,109,396.0
1743604228.4550586,110,313.0
1743604583.9941983,111,330.0
1743604970.0473866,112,354.0
1743605408.7897866,113,434.0
1743605925.4750686,114,501.0
1743606289.752226,115,357.0
1743606628.238956,116,334.0
1743606932.8978953,117,307.0
1743607175.2581282,118,228.0
1743607461.40276,119,285.0
1743607733.237022,120,259.0
1743608019.521798,121,300.0
1743608356.1739063,122,340.0
1743608623.176119,123,271.0
1743609008.6523974,124,393.0
1743609366.8537178,125,368.0
1743609622.0102708,126,260.0
1743609967.538995,127,360.0
1743610191.0425367,128,233.0
1743610762.9582255,129,501.0
1743611020.6314886,130,241.0
1743611324.3433616,131,294.0
1743611614.0889795,132,280.0
1743611939.2780983,133,331.0
1743612182.5724504,134,240.0
1743612510.4180577,135,328.0
1743612905.4015615,136,351.0
1743613144.767207,137,246.0
1743613619.8732522,138,501.0
1743613947.038774,139,309.0
1743614488.53969,140,501.0
1743614792.2871072,141,267.0
1743615162.4079647,142,301.0
1743615464.2181592,143,298.0
1743615739.295273,144,273.0
1743616056.2640874,145,347.0
1743616289.795724,146,241.0
1743616610.2016776,147,316.0
1743616979.9701982,148,362.0
1743617208.2804472,149,245.0
1743617445.3316672,150,242.0
1743617643.9913883,151,207.0
1743617821.624868,152,187.0
1743618061.297269,153,238.0
1743618398.3198614,154,300.0
1743618676.2448504,155,279.0
1743618957.336791,156,286.0
1743619285.8682995,157,301.0
1743619613.8287785,158,306.0
1743619906.667767,159,312.0
1743620125.4162004,160,233.0
1743620382.0178347,161,237.0
1743620766.9297574,162,365.0
1743621224.5412524,163,456.0
1743621553.1960337,164,319.0
1743621790.8365993,165,208.0
1743622200.5421221,166,354.0
1743622558.0217702,167,363.0
1743622911.4762902,168,332.0
1743623246.4184756,169,319.0
