Wall time,Step,Value
1743569869.767027,6,501.0
1743570350.137927,7,501.0
1743572770.2104378,12,501.0
1743574234.3313487,15,501.0
1743574718.0161142,16,501.0
1743576189.868304,19,501.0
1743576684.0932097,20,501.0
1743577172.0740144,21,501.0
1743579118.4627764,25,501.0
1743584978.9315026,37,501.0
1743586923.4283774,41,501.0
1743587862.1881661,43,469.0
1743588829.9178252,45,501.0
1743589315.3586285,46,501.0
1743590283.3798711,48,501.0
1743592947.71381,54,501.0
1743593427.7262654,55,501.0
1743593906.320118,56,501.0
1743594390.4525626,57,501.0
1743594876.4001043,58,501.0
1743597529.9486926,64,501.0
1743598515.1579237,66,501.0
1743599486.7311115,68,501.0
1743599964.6923225,69,501.0
1743601630.075127,72,501.0
1743602155.2327187,73,501.0
1743602664.5998487,74,501.0
1743603196.6354377,75,501.0
1743605874.4029298,80,501.0
1743608487.5315359,85,501.0
1743610004.4826913,88,501.0
1743610563.8692203,89,501.0
1743613690.7343693,95,434.0
1743616911.0047688,103,501.0
1743618480.054118,106,501.0
1743618987.275208,107,501.0
1743622819.1311364,114,501.0
1743624433.0225303,117,501.0
1743625573.9045184,119,501.0
1743628925.071321,126,159.0
1743629495.1751149,127,501.0
1743631121.48327,130,501.0
1743631679.1173522,131,501.0
1743635325.962029,138,501.0
1743636029.8616834,140,223.0
1743637015.251916,142,501.0
1743637508.251456,143,501.0
1743638015.7930558,144,501.0
1743641563.393176,151,501.0
1743643834.8880544,156,501.0
1743644842.0460806,158,501.0
1743645333.5601974,159,501.0
1743646907.0002801,163,428.0
1743649421.5871282,168,501.0
1743649936.280395,169,501.0
1743651452.2078044,172,501.0
1743654090.1590793,178,147.0
1743654588.2475789,179,501.0
1743655588.3916898,181,501.0
1743657063.1410062,184,501.0
1743658031.838672,186,501.0
1743658533.7972567,187,501.0
1743659597.969435,189,501.0
1743660610.487929,191,501.0
1743660992.8070884,192,389.0
1743663852.0487547,199,501.0
1743666741.5024855,207,501.0
1743666820.0948827,208,80.0
1743667074.601115,209,250.0
1743668118.111777,213,501.0
1743671062.815799,223,290.0
1743671507.174751,224,426.0
1743671959.6238973,226,86.0
1743672652.9659784,230,178.0
1743673202.28275,233,279.0
1743673291.4212158,234,84.0
1743673468.5491083,235,174.0
1743673891.8345387,238,184.0
1743677008.6477818,250,245.0
1743677847.755422,256,62.0
1743678839.0426793,259,435.0
1743679042.6390908,261,135.0
1743679213.6279023,262,170.0
1743679840.6601164,264,150.0
1743680871.643295,268,181.0
1743681425.6934156,272,158.0
1743681765.5169058,274,183.0
1743682812.9088225,279,112.0
1743684932.5326462,292,153.0
1743685024.2668207,293,86.0
1743685558.1972382,298,124.0
1743685909.687158,299,352.0
1743686641.836867,303,91.0
1743686786.3951266,304,148.0
1743687139.9623694,308,43.0
1743687175.6864092,309,31.0
1743687386.8930418,311,120.0
1743687917.8703701,314,179.0
1743688655.4121845,319,167.0
1743688773.3990045,320,105.0
1743688868.553961,321,90.0
1743689382.4784484,326,191.0
1743689435.987205,327,52.0
1743689537.2756023,328,97.0
1743689726.7160318,331,48.0
1743690737.6076252,340,100.0
1743691113.3283372,342,104.0
1743691552.2077518,346,181.0
1743691798.0702977,348,102.0
1743692565.822604,354,88.0
1743692847.0589137,355,285.0
1743693457.3772984,361,87.0
1743693829.4078448,364,117.0
1743694214.668952,368,91.0
1743694723.131196,372,97.0
1743695075.414141,374,139.0
1743695496.1428,378,89.0
1743695568.4566686,379,74.0
1743695710.3602607,380,140.0
1743695884.49733,382,49.0
1743696312.609126,387,56.0
1743696922.117457,392,185.0
1743697032.9169347,393,107.0
1743697147.9167814,394,114.0
1743699444.143075,409,230.0
1743700593.4083343,416,151.0
1743701402.252745,422,141.0
1743701666.4436524,423,269.0
1743701930.822523,425,155.0
1743702103.4976418,427,85.0
1743702596.8318355,431,254.0
1743704416.1571372,440,133.0
1743704795.9179728,442,115.0
1743704917.7192347,443,126.0
1743705548.2693672,446,63.0
1743706549.703624,452,158.0
1743708369.3314588,460,243.0
1743708563.9000878,461,197.0
1743709202.3349295,464,405.0
1743709412.2895496,465,214.0
1743710402.7699873,469,244.0
1743711496.8202536,474,353.0
1743711617.0368717,475,119.0
1743713911.7716365,486,304.0
1743714377.091071,489,142.0
1743714405.0306993,490,24.0
1743714836.3544505,492,135.0
1743715095.2094114,494,155.0
1743715662.2202597,497,245.0
1743717241.6249583,508,108.0
1743718016.079552,513,166.0
1743718247.5124695,515,122.0
1743718664.8028286,518,163.0
1743719025.9643993,520,198.0
1743720013.7076764,525,227.0
1743720110.9604936,526,113.0
1743720706.807067,532,147.0
1743720937.9966094,534,145.0
1743721054.125983,535,136.0
1743721221.3742237,537,61.0
1743721353.587452,538,158.0
1743721579.0180557,541,71.0
1743722608.3978481,543,194.0
