Wall time,Step,Value
1744352446.3936133,1,1654.0
1744353797.8803582,2,1181.0
1744358717.5118482,3,4523.0
1744359681.4896264,4,898.0
1744360680.668707,5,927.0
1744362693.5368583,6,1882.0
1744364314.9112368,7,1510.0
1744365452.206931,8,1036.0
1744369571.170462,9,3789.0
1744370309.8628378,10,691.0
1744376377.6716526,11,5698.0
1744377252.5545168,12,823.0
1744386097.5364833,13,8295.0
1744386428.8373616,14,314.0
1744386996.81126,15,544.0
1744391065.8794293,16,3800.0
1744396358.306507,17,4952.0
1744442804.5452611,18,42673.0
1744491874.1324878,19,45862.0
1744492979.977399,20,1008.0
1744508703.4587982,21,14112.0
1744519263.798951,22,9856.0
1744523423.492442,23,3910.0
1744523793.1614912,24,346.0
