Wall time,Step,Value
1744350919.3112438,1,534.0
1744351020.7305715,2,433.0
1744351675.1253111,3,433.0
1744352176.720855,4,433.0
1744352623.047378,5,433.0
1744353109.6848047,6,433.0
1744353564.8726788,7,433.0
1744354036.277643,8,433.0
1744354833.607633,9,774.0
1744355965.3216,10,1112.0
1744356411.034805,11,433.0
1744356858.8277705,12,433.0
1744357321.1524098,13,433.0
1744357859.7863584,14,525.0
1744358300.246863,15,433.0
1744358731.9854782,16,433.0
1744359189.727647,17,450.0
1744359423.222593,18,223.0
1744359845.5898545,19,433.0
1744360984.5736258,20,1112.0
1744361409.9944832,21,433.0
1744361846.5613844,22,433.0
1744362769.9969442,23,914.0
1744362902.5763764,24,135.0
1744363366.9748743,25,433.0
1744363465.6564157,26,96.0
1744363907.546594,27,433.0
1744364341.757534,28,433.0
1744364795.8776226,29,437.0
1744365247.387905,30,444.0
1744365695.2136385,31,433.0
1744366312.435862,32,624.0
1744366770.255875,33,433.0
1744367211.1033309,34,433.0
1744367639.9672766,35,433.0
1744368099.194039,36,436.0
1744368541.8158793,37,433.0
1744369015.9131145,38,433.0
1744369463.6833503,39,433.0
1744369906.9048643,40,433.0
1744370340.9421299,41,433.0
1744370786.5003138,42,433.0
1744371233.8635364,43,433.0
1744371665.851444,44,433.0
1744372105.104483,45,433.0
1744372540.5193038,46,433.0
1744372972.7926471,47,433.0
1744373045.5139027,48,70.0
1744373918.867844,49,869.0
1744374816.5086403,50,901.0
1744375866.510258,51,1032.0
1744376296.0026822,52,433.0
1744376739.8826804,53,433.0
1744377168.93474,54,439.0
1744377609.4218314,55,433.0
1744378737.7947595,56,1112.0
1744379188.0760365,57,433.0
1744380307.3060496,58,1086.0
1744380750.4909656,59,433.0
1744381178.3697753,60,433.0
1744381624.4091532,61,433.0
1744382042.7072186,62,434.0
1744382695.8704667,63,651.0
1744383112.9031923,64,433.0
1744384225.0840597,65,1112.0
1744384653.7348347,66,433.0
1744385097.6286988,67,433.0
1744385948.284117,68,854.0
1744386820.7713726,69,891.0
1744387286.1632545,70,455.0
1744387985.2168975,71,672.0
1744388527.249653,72,548.0
1744389435.48334,73,882.0
1744389862.6301587,74,433.0
1744391181.6894786,75,1334.0
1744391609.2996953,76,433.0
1744392036.7429543,77,433.0
1744392488.5331073,78,444.0
1744392923.3281634,79,433.0
1744393359.4340532,80,433.0
1744393817.220339,81,433.0
1744394319.2234204,82,500.0
1744394760.8780391,83,433.0
1744395186.7690618,84,433.0
1744395621.7240403,85,433.0
1744396067.851012,86,433.0
1744397382.5219128,87,1293.0
1744398494.5245836,88,1112.0
1744398941.3504503,89,433.0
1744399988.6864045,90,1045.0
1744400414.2806025,91,435.0
1744400845.084974,92,433.0
1744401494.6040823,93,657.0
1744402074.9553936,94,433.0
1744403832.6613872,95,1334.0
1744404421.7064507,96,433.0
1744404996.2974086,97,433.0
1744405525.333574,98,433.0
1744406022.7136033,99,433.0
1744406536.5565414,100,433.0
1744407396.677231,101,764.0
1744407860.0320847,102,433.0
1744408299.4736435,103,433.0
1744408733.0113366,104,433.0
1744409161.7484741,105,433.0
1744409584.3609893,106,433.0
1744410001.6120074,107,433.0
1744410425.564505,108,433.0
1744410851.4531555,109,434.0
1744411269.0863352,110,436.0
1744412156.3161755,111,891.0
1744412576.2635605,112,433.0
1744413340.8898003,113,794.0
1744413721.9572291,114,381.0
1744413817.6882043,115,88.0
1744414904.6784627,116,1107.0
1744415984.8975315,117,1112.0
1744416495.9080324,118,520.0
1744416919.0853105,119,433.0
1744417351.684478,120,435.0
1744417790.580361,121,435.0
1744418880.3226073,122,1112.0
1744419995.4059935,123,1112.0
1744420447.0631747,124,440.0
1744420934.8743718,125,433.0
1744422067.5241408,126,1120.0
1744422502.8960476,127,433.0
1744422556.0115843,128,52.0
1744422980.428231,129,433.0
1744423739.0567596,130,755.0
1744423990.041794,131,237.0
1744424424.5999897,132,433.0
1744425004.8534005,133,557.0
1744425436.9877975,134,433.0
1744425881.194424,135,433.0
1744426306.7279882,136,433.0
1744427264.9522803,137,973.0
1744427800.177259,138,547.0
1744428125.4167044,139,325.0
1744428557.8374612,140,433.0
1744428997.4915237,141,433.0
1744429434.1269789,142,433.0
1744429878.771217,143,433.0
1744430313.758683,144,433.0
1744430743.8480842,145,433.0
1744431178.3287048,146,433.0
1744431614.509005,147,433.0
1744432335.4180098,148,725.0
1744433062.988988,149,728.0
1744433522.4481342,150,451.0
1744433953.0369072,151,433.0
1744434377.1179492,152,434.0
1744434798.3070424,153,433.0
1744435247.0479524,154,433.0
1744435685.980157,155,433.0
1744436107.5435536,156,433.0
1744436878.587676,157,786.0
1744437652.9652255,158,779.0
1744438078.9638062,159,433.0
1744438522.7228687,160,433.0
1744439018.9188902,161,438.0
1744440059.3564007,162,1050.0
1744440489.7813523,163,433.0
