Wall time,Step,Value
1744730528.3529963,1,1279.0
1744733747.3439488,2,2976.0
1744736808.9914153,3,2815.0
1744737351.2086287,4,490.0
1744737478.8057945,5,110.0
1744737624.9759276,6,127.0
1744737912.8248239,7,257.0
1744739648.7616878,8,1595.0
1744743881.3035724,9,3896.0
1744745200.3783805,10,1211.0
1744746247.7157571,11,960.0
1744746671.8218086,12,385.0
1744747266.6009073,13,541.0
1744749086.2743855,14,1666.0
1744749527.760032,15,399.0
1744749848.386136,16,288.0
1744750701.3147388,17,777.0
1744751780.0458696,18,989.0
1744753646.6670852,19,1713.0
1744753837.3027816,20,169.0
1744754208.4040263,21,334.0
1744754898.6233969,22,630.0
1744754982.2103565,23,69.0
1744755891.4125896,24,831.0
1744756649.3630364,25,695.0
1744757835.3502953,26,1087.0
1744758154.0779848,27,288.0
1744758493.442261,28,308.0
1744758808.2093675,29,283.0
1744759061.0894241,30,227.0
1744759288.7583587,31,204.0
1744760096.940437,32,735.0
1744760526.6609468,33,384.0
1744760801.36104,34,247.0
1744762250.373661,35,1328.0
1744762468.054352,36,192.0
1744763795.686817,37,1211.0
1744765713.6017776,38,1751.0
1744765802.786707,39,75.0
1744766413.6436932,40,551.0
1744766879.7181118,41,419.0
1744771406.0167656,42,4126.0
1744772426.2592947,43,924.0
1744773042.7221644,44,555.0
1744773589.8924067,45,493.0
1744773978.1083071,46,347.0
1744774539.5337954,47,502.0
1744777421.4480944,48,2613.0
1744781395.230068,49,3614.0
1744782707.8000836,50,1187.0
1744782796.7942584,51,73.0
1744783120.0525563,52,287.0
1744784876.8981779,53,1596.0
1744785087.1572042,54,182.0
1744785183.0512543,55,80.0
1744786245.944173,56,959.0
1744788356.7790704,57,1917.0
1744797371.134207,58,8206.0
1744797822.9758146,59,405.0
1744798379.8007252,60,500.0
1744798562.568019,61,158.0
1744802189.162941,62,3284.0
1744802275.104797,63,70.0
1744803153.1179035,64,793.0
1744804356.0090551,65,1090.0
1744808577.530063,66,3827.0
1744809945.6246097,67,1234.0
1744810364.4990492,68,372.0
1744810438.840221,69,60.0
1744816672.9222822,70,5670.0
1744816747.0934787,71,60.0
1744817680.1986802,72,842.0
1744819222.2842212,73,1396.0
1744819604.13634,74,340.0
1744820041.4724956,75,390.0
1744820791.8696692,76,675.0
1744824358.0559123,77,3238.0
1744827906.3742206,78,3219.0
1744832254.474928,79,3952.0
1744844091.5038693,80,10785.0
1744844405.1254294,81,278.0
1744845686.594709,82,1158.0
1744846485.781931,83,720.0
1744849428.215292,84,2659.0
1744849616.1783195,85,162.0
1744849698.5359454,86,66.0
1744850998.1189914,87,1171.0
1744853194.9591236,88,1981.0
1744854233.434301,89,931.0
1744858038.7261853,90,3432.0
1744858444.0036979,91,359.0
1744858795.4750159,92,310.0
1744858939.1528094,93,123.0
