Wall time,Step,Value
1744730149.3639114,1,435.0
1744730190.6984208,2,440.0
1744730460.1368046,3,433.0
1744730856.197394,4,433.0
1744731253.0202563,5,433.0
1744731655.3447025,6,433.0
1744731723.6325219,7,69.0
1744731962.5565376,8,250.0
1744732770.276029,9,865.0
1744732893.1366484,10,127.0
1744733301.5520394,11,431.0
1744733706.3918493,12,433.0
1744734112.7856991,13,434.0
1744734486.6297894,14,399.0
1744734908.8418975,15,452.0
1744735313.2556114,16,433.0
1744735721.834123,17,433.0
1744736129.6648421,18,433.0
1744736534.7733622,19,433.0
1744736941.5315242,20,433.0
1744737346.1683393,21,433.0
1744737751.840353,22,433.0
1744738159.9041488,23,434.0
1744738623.140872,24,497.0
1744739028.917315,25,433.0
1744739245.2619314,26,227.0
1744739568.8887076,27,343.0
1744739973.8876579,28,433.0
1744740377.8037992,29,433.0
1744740785.8418798,30,433.0
1744741816.2638266,31,1112.0
1744742221.2281084,32,433.0
1744742625.536881,33,433.0
1744743029.1531367,34,433.0
1744743726.1885674,35,748.0
1744744131.5917609,36,433.0
1744744535.5588858,37,433.0
1744745085.8449712,38,592.0
1744745820.5613189,39,788.0
1744746226.607169,40,433.0
1744746582.7963753,41,379.0
1744746988.9439206,42,434.0
1744747395.5872927,43,433.0
1744747800.9808373,44,433.0
1744748203.5269423,45,433.0
1744748443.2980387,46,254.0
1744748846.0987756,47,433.0
1744749549.2487257,48,756.0
1744749954.4261937,49,433.0
1744750360.1862028,50,433.0
1744750766.753243,51,433.0
1744751141.7596138,52,400.0
1744751557.85042,53,442.0
1744751925.4998589,54,395.0
1744752171.1489136,55,261.0
1744752597.7471902,56,458.0
1744752999.8118205,57,433.0
1744753403.2472742,58,433.0
1744753810.3063085,59,433.0
1744754215.8721986,60,433.0
1744754622.8254137,61,433.0
1744755028.3480766,62,433.0
1744755667.739299,63,686.0
1744756072.677168,64,433.0
1744756477.090816,65,434.0
1744756882.2431235,66,433.0
1744757287.9982076,67,433.0
1744757696.4448197,68,433.0
1744758101.8175344,69,433.0
1744759129.0637937,70,1112.0
1744759680.068103,71,589.0
1744760088.2034557,72,433.0
1744760492.8761246,73,433.0
1744760898.9832082,74,433.0
1744761306.0826135,75,433.0
1744761712.410585,76,433.0
1744762119.076538,77,433.0
1744762526.5475411,78,433.0
1744762931.3955455,79,433.0
1744763338.386624,80,433.0
1744763745.1891997,81,433.0
1744764152.533673,82,433.0
1744764352.7887042,83,208.0
1744764760.3799753,84,433.0
1744765170.2704732,85,433.0
1744765577.3502114,86,433.0
1744765987.2436657,87,433.0
1744766396.5096657,88,433.0
1744766806.004176,89,433.0
1744767213.6445594,90,433.0
1744767484.590517,91,286.0
1744767892.6654243,92,433.0
1744768205.1513574,93,328.0
1744768610.539979,94,433.0
1744769017.5921001,95,433.0
1744769564.4081469,96,581.0
1744769972.0312324,97,433.0
1744770368.3607612,98,418.0
1744770851.0710835,99,514.0
1744771258.4387236,100,433.0
1744771666.540399,101,433.0
1744772074.440311,102,433.0
1744772485.4972236,103,433.0
1744772751.6016252,104,279.0
1744773163.1001027,105,434.0
1744773574.1530073,106,433.0
1744773984.277811,107,433.0
1744774326.1854274,108,361.0
1744774608.9855533,109,295.0
1744775019.4491956,110,433.0
1744775430.2241304,111,433.0
1744776350.256587,112,983.0
1744776758.9742987,113,433.0
1744777169.0524197,114,433.0
1744777590.132902,115,444.0
1744777999.4598954,116,433.0
1744778429.1956046,117,454.0
1744778836.1167696,118,433.0
1744779245.9775467,119,433.0
1744779653.902544,120,433.0
1744780063.6773067,121,433.0
1744780472.2590072,122,433.0
1744780883.6737754,123,433.0
1744781291.0581348,124,427.0
1744781527.4475448,125,246.0
1744781937.491293,126,433.0
1744782347.3719914,127,433.0
1744782761.0376155,128,434.0
1744782863.0249884,129,101.0
1744783271.4719555,130,433.0
1744783681.5124876,131,433.0
1744784092.0033226,132,433.0
1744785129.5341818,133,1112.0
1744785540.3745275,134,433.0
1744785949.6083012,135,433.0
1744786358.4910522,136,433.0
1744786916.7995849,137,596.0
1744787324.70076,138,433.0
1744787734.5182526,139,433.0
1744788142.0767229,140,433.0
1744788554.8044279,141,434.0
1744788801.7331674,142,259.0
1744789208.8466203,143,433.0
1744789533.5736265,144,343.0
1744789944.176134,145,433.0
1744790355.186179,146,433.0
1744790910.051811,147,591.0
1744791320.9114344,148,433.0
1744792238.6700952,149,982.0
1744792651.5320518,150,433.0
1744793062.495098,151,433.0
1744793475.4706383,152,433.0
1744793691.457381,153,226.0
1744794104.6566834,154,433.0
1744794728.1882362,155,664.0
1744795137.6395414,156,433.0
1744795546.2761893,157,433.0
1744795936.648995,158,411.0
1744796343.1481888,159,433.0
1744796570.4422975,160,237.0
1744796978.0293427,161,433.0
1744797035.217458,162,52.0
1744797444.395518,163,433.0
1744797856.0265126,164,433.0
1744798268.4308302,165,439.0
1744798680.434313,166,433.0
1744798934.2939076,167,263.0
1744799342.585655,168,433.0
1744799754.6793413,169,433.0
1744800445.2047985,170,731.0
1744800853.8051455,171,433.0
1744801263.5390491,172,433.0
1744801766.6178694,173,537.0
1744802601.9204004,174,895.0
1744803014.2902048,175,433.0
1744803429.0602586,176,433.0
1744803837.8182318,177,433.0
1744804248.8884943,178,433.0
1744804655.1888547,179,433.0
1744805065.9477627,180,433.0
1744805471.6691267,181,433.0
1744805882.7384908,182,433.0
1744806290.3211951,183,433.0
1744806441.409838,184,156.0
1744806848.239769,185,433.0
1744807258.6225636,186,433.0
1744807834.6864858,187,611.0
1744808240.808045,188,433.0
1744808650.0781357,189,433.0
1744809056.6874886,190,433.0
1744809468.9459422,191,433.0
1744809737.3166852,192,278.0
1744810145.9421754,193,433.0
1744810558.0191555,194,433.0
1744810968.7920797,195,433.0
1744811378.1686852,196,433.0
1744811788.018799,197,433.0
1744812196.2871144,198,433.0
1744812603.8343327,199,433.0
1744813137.4397054,200,565.0
1744813569.6190991,201,455.0
1744813980.3598785,202,433.0
1744814097.3437812,203,116.0
1744814507.3879228,204,433.0
1744814852.4165614,205,364.0
1744815259.2784255,206,433.0
1744815668.5775247,207,433.0
1744816080.3880215,208,433.0
1744816489.0481396,209,433.0
1744816900.4376464,210,433.0
1744817304.4400842,211,430.0
1744817714.3885489,212,433.0
1744818125.374305,213,434.0
1744818534.3032916,214,433.0
1744818770.2985468,215,248.0
1744819180.7361615,216,433.0
1744819589.4910975,217,433.0
1744819997.7238796,218,433.0
1744820406.7276685,219,433.0
1744820814.5541701,220,433.0
1744821226.8389266,221,433.0
1744821635.616817,222,433.0
1744822042.7258122,223,433.0
1744822455.5734408,224,435.0
1744822866.6065192,225,433.0
1744823313.3724415,226,472.0
1744823724.5772285,227,433.0
1744824160.7482023,228,462.0
1744824570.206594,229,433.0
1744824978.1657722,230,433.0
1744825430.9373066,231,477.0
1744825789.5222101,232,380.0
1744826198.680879,233,433.0
1744826572.5146618,234,392.0
1744826980.681974,235,433.0
1744827406.169578,236,448.0
1744827677.0530083,237,283.0
1744828084.2600322,238,433.0
1744828490.2040112,239,433.0
1744828893.2327857,240,433.0
1744829299.7371686,241,433.0
1744829790.0897846,242,518.0
1744830201.1754632,243,433.0
1744830608.1468394,244,433.0
1744831014.6446197,245,433.0
1744831422.6989875,246,433.0
1744831833.6972082,247,433.0
1744832243.4065902,248,433.0
1744832650.1590343,249,433.0
1744833129.8814287,250,511.0
1744833537.4630632,251,433.0
1744833872.54996,252,353.0
1744834281.2876177,253,433.0
1744834690.3525906,254,433.0
1744835097.65221,255,433.0
1744835503.1695247,256,433.0
1744835633.4391701,257,132.0
1744836042.7193415,258,433.0
1744836452.0470772,259,433.0
1744836857.0182092,260,433.0
1744837262.962583,261,433.0
1744837467.5575588,262,212.0
1744837879.13487,263,433.0
1744838227.9528534,264,366.0
1744838637.5047085,265,433.0
1744838996.7815702,266,378.0
1744839271.7207472,267,288.0
1744839685.2097745,268,433.0
1744840094.3486998,269,433.0
1744840445.4616215,270,367.0
1744840582.794507,271,141.0
1744840993.7561607,272,433.0
1744841130.6785889,273,142.0
1744841538.3901072,274,433.0
1744842518.8066053,275,1048.0
1744842929.3341413,276,433.0
1744843336.6238475,277,433.0
1744843748.8894873,278,433.0
1744844157.3684356,279,433.0
1744844486.4626374,280,348.0
1744844847.7469213,281,384.0
1744845023.3492727,282,183.0
1744845430.594809,283,433.0
1744845676.6091123,284,259.0
1744845980.621948,285,318.0
1744846390.6759102,286,433.0
1744846799.1999063,287,433.0
1744847231.9600213,288,455.0
1744847654.3125722,289,448.0
1744848062.841511,290,433.0
1744848165.2622323,291,105.0
1744848675.1915257,292,542.0
1744849085.8263102,293,433.0
1744849532.868495,294,472.0
1744849658.8785021,295,128.0
1744850088.895111,296,450.0
1744850499.4379754,297,433.0
1744850909.3358817,298,433.0
1744851156.6799552,299,255.0
1744851564.5847642,300,433.0
1744851976.5137923,301,433.0
1744852387.6946754,302,433.0
1744852795.921305,303,433.0
1744853238.6356971,304,462.0
1744853528.673999,305,305.0
1744853942.185822,306,433.0
1744854349.9345298,307,433.0
1744854551.9519007,308,208.0
1744854960.635192,309,434.0
1744855435.206374,310,499.0
1744855742.7427404,311,319.0
1744856153.8174896,312,433.0
1744856502.5513122,313,364.0
1744856910.6454334,314,429.0
1744857319.4798062,315,433.0
1744857731.7986732,316,433.0
1744858099.3355744,317,383.0
1744858512.9983652,318,433.0
1744858711.2875338,319,207.0
1744859569.5782497,320,906.0
