Wall time,Step,Value
1744691576.7165947,1,478.0
1744691618.6476746,2,433.0
1744691639.2296689,3,114.0
1744692054.4385943,4,436.0
1744692482.252956,5,433.0
1744692904.0422559,6,433.0
1744693424.6526532,7,545.0
1744693761.091373,8,345.0
1744694816.6651804,9,1112.0
1744695228.4854965,10,433.0
1744695640.0017648,11,433.0
1744696694.8270433,12,1112.0
1744697125.0397766,13,455.0
1744697537.226348,14,433.0
1744697951.2263844,15,433.0
1744698362.3493817,16,433.0
1744698774.804357,17,433.0
1744699206.8361804,18,455.0
1744699537.6179476,19,344.0
1744700554.0772207,20,1072.0
1744700787.0704007,21,242.0
1744701201.1547422,22,433.0
1744701614.0698843,23,433.0
1744702667.6912725,24,1112.0
1744703007.2448432,25,353.0
1744703303.6296651,26,311.0
1744703714.8928916,27,434.0
1744703775.9334643,28,59.0
1744704126.4326,29,366.0
1744704352.5519814,30,235.0
1744704479.6013908,31,131.0
1744704953.5880566,32,497.0
1744705367.8477402,33,433.0
1744706008.0895133,34,679.0
1744706060.4023633,35,50.0
1744706472.3807435,36,433.0
1744706883.9600546,37,433.0
1744707325.6182203,38,465.0
1744707737.509165,39,433.0
1744707796.7345188,40,57.0
1744708214.6255896,41,439.0
1744708564.051764,42,367.0
1744708975.5487137,43,433.0
1744709386.6757543,44,433.0
1744710008.4711099,45,652.0
1744710527.5169668,46,544.0
1744711094.7920222,47,594.0
1744711153.9985366,48,58.0
1744711583.2593791,49,433.0
1744711998.8043666,50,433.0
1744712411.414059,51,433.0
1744712822.34038,52,433.0
1744713233.7349098,53,433.0
1744713645.1648378,54,433.0
1744714067.0112453,55,443.0
1744714477.7667685,56,433.0
1744714528.9317563,57,50.0
1744714942.1439867,58,433.0
1744715354.02996,59,434.0
1744716084.6991754,60,771.0
1744716495.5710433,61,433.0
1744716903.7332036,62,433.0
1744717740.3726919,63,886.0
1744718150.7367492,64,433.0
1744718561.168221,65,433.0
1744718968.7288647,66,433.0
1744719537.3467765,67,602.0
1744720071.4324198,68,566.0
1744720485.0461473,69,433.0
1744721531.4528537,70,1112.0
1744721940.2189584,71,433.0
1744722990.5477839,72,1112.0
1744723402.215541,73,433.0
1744723814.754698,74,433.0
1744724348.5479183,75,564.0
1744724779.7928743,76,457.0
1744725190.2603583,77,433.0
1744725567.5250597,78,396.0
1744726618.8872159,79,1112.0
1744727243.300471,80,660.0
1744727305.230799,81,61.0
1744727712.7415426,82,433.0
1744728524.8749137,83,863.0
1744728934.2316391,84,433.0
1744729446.6709406,85,542.0
1744729491.1184828,86,42.0
1744729944.0191803,87,460.0
1744731003.8935325,88,1112.0
1744731435.9778955,89,456.0
1744732491.415873,90,1112.0
1744732902.4422069,91,433.0
1744733956.1507623,92,1112.0
1744735016.1169825,93,1112.0
1744735469.595202,94,477.0
1744736367.2363474,95,946.0
1744736779.351992,96,433.0
1744737289.67681,97,537.0
1744738341.2300847,98,1112.0
1744738753.3834662,99,433.0
1744739805.1627445,100,1112.0
1744740218.5730953,101,433.0
1744740630.744315,102,433.0
1744741041.9273553,103,433.0
1744741712.6676385,104,704.0
1744742124.7662697,105,437.0
1744742525.6886594,106,422.0
1744743119.0213954,107,623.0
1744743532.242499,108,433.0
1744743946.8786454,109,433.0
1744744442.2470906,110,519.0
1744744858.2735608,111,433.0
1744745270.97288,112,433.0
1744745663.7362602,113,412.0
1744746076.930557,114,435.0
1744746584.7463524,115,530.0
1744747091.316976,116,533.0
1744747610.7246244,117,547.0
1744748023.199128,118,433.0
1744748566.1580644,119,573.0
1744749179.2787335,120,643.0
1744749604.82118,121,446.0
1744750017.934936,122,433.0
1744750456.5712657,123,462.0
1744750870.3330328,124,433.0
1744751285.8628082,125,433.0
1744752303.2442124,126,1075.0
1744753360.695509,127,1112.0
1744754412.5202127,128,1112.0
1744755470.6429484,129,1112.0
1744755884.5778515,130,433.0
1744756297.8901067,131,433.0
1744756714.78695,132,433.0
1744757128.5582633,133,433.0
1744757541.2951217,134,433.0
1744757952.3785217,135,433.0
1744758366.222309,136,433.0
1744759422.25172,137,1112.0
1744759943.3388717,138,547.0
1744760358.5036979,139,433.0
1744760999.007464,140,674.0
1744761415.3061113,141,433.0
1744762429.4649038,142,1066.0
1744763488.3041277,143,1112.0
1744763902.99828,144,433.0
1744764512.208955,145,643.0
1744764927.5797014,146,433.0
1744765340.5096097,147,433.0
1744765938.0135846,148,625.0
1744766350.4897292,149,433.0
1744766766.6638868,150,433.0
1744767183.8059936,151,433.0
1744767618.8733642,152,456.0
1744768030.5184376,153,433.0
1744768558.3950238,154,556.0
1744768958.2248433,155,418.0
1744769372.7023356,156,433.0
1744769783.8067698,157,433.0
1744770841.3725998,158,1112.0
1744770987.3784876,159,151.0
1744771048.6320407,160,60.0
