Wall time,Step,Value
1744731968.436932,1,2214.0
1744733172.2096636,2,1108.0
1744734153.240749,3,904.0
1744734716.4663389,4,518.0
1744735662.1556008,5,871.0
1744736398.4092438,6,679.0
1744737124.3737454,7,668.0
1744737922.5808334,8,735.0
1744738610.0500853,9,633.0
1744740212.3342826,10,1483.0
1744741472.6334577,11,1161.0
1744742196.551903,12,667.0
1744743127.213988,13,859.0
1744746654.989752,14,3262.0
1744748057.9921062,15,1294.0
1744748783.455658,16,667.0
1744750094.8061242,17,1204.0
1744751007.5566883,18,840.0
1744753159.1512115,19,1992.0
1744753939.9420357,20,720.0
1744754329.798112,21,356.0
1744754997.1124654,22,613.0
1744755817.9457452,23,757.0
1744756595.2796478,24,716.0
1744757293.4417143,25,645.0
1744758054.962654,26,699.0
1744758746.2020237,27,633.0
1744760188.4877384,28,1326.0
1744761481.0464537,29,1191.0
1744763771.8140938,30,2104.0
1744766005.054849,31,2046.0
1744768227.6238832,32,2032.0
1744769632.0492508,33,1285.0
1744770035.6445265,34,367.0
1744770673.587431,35,580.0
1744771708.8702815,36,942.0
1744772262.5113552,37,501.0
1744772558.90582,38,266.0
1744773042.6269526,39,436.0
1744773113.4985843,40,60.0
1744773177.705728,41,54.0
1744773424.1194522,42,221.0
1744774048.7715082,43,561.0
1744774319.3287575,44,241.0
1744774650.3348405,45,297.0
1744774910.1477668,46,234.0
1744775502.2534685,47,536.0
1744775983.5885715,48,434.0
1744776600.987192,49,556.0
1744777053.4114182,50,409.0
1744777492.3523846,51,395.0
1744778059.1055017,52,515.0
1744778828.9774923,53,696.0
1744779597.3677082,54,699.0
1744780032.3456817,55,395.0
1744780907.9030716,56,796.0
1744781601.597513,57,627.0
1744783342.806772,58,1577.0
1744783832.5750153,59,441.0
1744784104.5935738,60,245.0
1744784763.1100237,61,593.0
1744785220.8037148,62,414.0
1744786755.157483,63,1389.0
1744787815.373362,64,963.0
1744788267.1262643,65,407.0
1744788999.891914,66,664.0
1744789558.1283348,67,505.0
1744790171.2366612,68,558.0
1744791220.733805,69,950.0
1744791565.0388389,70,310.0
1744792295.7014108,71,660.0
1744793038.040947,72,665.0
1744793733.3741722,73,624.0
1744794379.277167,74,587.0
1744795132.6046739,75,683.0
1744795720.8100727,76,534.0
1744796825.5882113,77,1001.0
1744798059.6338673,78,1121.0
1744799207.1583369,79,1039.0
1744800265.557549,80,961.0
1744801147.3672879,81,801.0
1744801733.1117105,82,530.0
1744802158.3110905,83,386.0
1744803085.1393638,84,841.0
1744803919.3145318,85,756.0
1744806134.1225796,86,2024.0
1744807246.883159,87,1015.0
1744808011.948762,88,691.0
1744808277.2592351,89,237.0
1744810479.4793062,90,2013.0
1744811051.6609335,91,515.0
1744812562.1391718,92,1380.0
1744813344.8173842,93,713.0
1744814652.2374532,94,1195.0
1744816396.1892624,95,1593.0
1744816967.896931,96,515.0
1744817851.967527,97,806.0
1744818295.7323034,98,404.0
1744819679.532516,99,1267.0
1744820488.1443539,100,735.0
1744821607.1662307,101,1024.0
1744822259.3136322,102,594.0
1744823028.9415329,103,699.0
1744823753.0843449,104,659.0
1744824446.4400084,105,629.0
1744825556.0952332,106,1009.0
1744826441.2954028,107,808.0
1744828418.0804741,108,1804.0
1744829099.03267,109,620.0
1744829860.3894188,110,693.0
1744830429.5270922,111,521.0
1744831163.0506272,112,670.0
1744832043.410193,113,804.0
1744832634.4239151,114,540.0
1744834556.3058612,115,1755.0
1744836053.5530865,116,1370.0
1744836583.401075,117,485.0
1744837318.1923244,118,670.0
1744838471.2898514,119,1055.0
1744839199.1810162,120,664.0
1744839873.049611,121,614.0
1744840585.5359666,122,649.0
1744841203.8304687,123,565.0
1744841783.4848325,124,527.0
1744843114.1134553,125,1216.0
1744843941.335299,126,757.0
1744844525.5282311,127,532.0
1744845088.767704,128,513.0
1744845809.578266,129,659.0
1744846315.8269658,130,455.0
1744846987.9431973,131,612.0
1744847604.2526717,132,555.0
1744848737.583893,133,1030.0
1744849237.673257,134,454.0
1744849758.913676,135,466.0
1744850553.8890064,136,719.0
1744850797.072539,137,215.0
1744851997.426686,138,1083.0
1744852910.8586195,139,821.0
1744853103.5083487,140,170.0
1744853809.4812338,141,638.0
1744854405.9999816,142,538.0
1744854980.4239566,143,516.0
1744857752.5615697,144,2506.0
1744859024.8441513,145,1147.0
