Wall time,Step,Value
1744730536.7665577,1,966.0
1744730873.613138,2,425.0
1744730918.0558884,3,46.0
1744730980.30152,4,66.0
1744731033.5852664,5,55.0
1744731092.1525452,6,61.0
1744731131.5013275,7,39.0
1744731178.025511,8,48.0
1744731229.108654,9,52.0
1744731301.4994583,10,76.0
1744731356.854021,11,57.0
1744731413.812201,12,60.0
1744731803.9288013,13,433.0
1744732193.0801635,14,433.0
1744732581.9093146,15,433.0
1744733216.1288962,16,715.0
1744733342.5938482,17,138.0
1744733499.0361109,18,172.0
1744734012.7686327,19,566.0
1744734349.6279635,20,370.0
1744734785.3358343,21,486.0
1744735039.9898784,22,283.0
1744735338.0793867,23,328.0
1744735596.2778845,24,280.0
1744735786.919641,25,209.0
1744736219.243223,26,479.0
1744736552.303338,27,365.0
1744736874.7704499,28,353.0
1744737436.4783244,29,625.0
1744737829.6047258,30,433.0
1744738332.8736715,31,554.0
1744738735.8782403,32,443.0
1744739226.4114244,33,543.0
1744739656.3665214,34,473.0
1744740047.1872776,35,433.0
1744740438.212631,36,433.0
1744740827.8000104,37,433.0
1744741131.6591234,38,334.0
1744741262.5102553,39,142.0
1744741652.9734335,40,433.0
1744742041.008435,41,434.0
1744742461.6927075,42,470.0
1744742850.2423902,43,433.0
1744743655.00053,44,905.0
1744744006.180494,45,391.0
1744744395.2290132,46,433.0
1744744945.5290227,47,619.0
1744745752.913245,48,909.0
1744746143.120436,49,433.0
1744746611.975899,50,522.0
1744747007.2815146,51,437.0
1744747999.3516493,52,1112.0
1744748391.2777812,53,433.0
1744748780.1005094,54,433.0
1744749169.8675861,55,433.0
1744749954.9207351,56,877.0
1744750530.5116324,57,640.0
1744750983.8583117,58,502.0
1744751171.4331915,59,206.0
1744751678.6762836,60,562.0
1744752674.5909452,61,1112.0
1744753064.3469656,62,433.0
1744753463.8057184,63,447.0
1744754278.805442,64,908.0
1744754631.9595358,65,395.0
1744755018.5177903,66,429.0
1744755677.9801006,67,734.0
1744756091.2849612,68,462.0
1744756455.9623926,69,407.0
1744756547.0704658,70,97.0
1744757237.6271126,71,773.0
1744757625.0795443,72,433.0
1744757953.2116106,73,368.0
1744758499.113033,74,609.0
1744758894.3031704,75,443.0
1744759331.7571301,76,486.0
1744759493.7939093,77,174.0
1744759882.8957944,78,433.0
1744760422.746087,79,602.0
1744760798.9611542,80,418.0
1744761259.142195,81,512.0
1744761646.4277093,82,433.0
1744762556.9590328,83,1018.0
1744762945.4365842,84,433.0
1744763086.748036,85,153.0
1744763475.529128,86,433.0
1744763871.8202999,87,439.0
1744764261.0722892,88,433.0
1744764638.3704207,89,423.0
1744765179.4287968,90,605.0
1744765414.7781477,91,259.0
1744765807.469648,92,433.0
1744766613.545397,93,901.0
1744767023.2963922,94,457.0
1744767412.1945164,95,433.0
1744768348.0666292,96,1052.0
1744768515.8734884,97,181.0
1744769176.763424,98,743.0
1744769566.550651,99,433.0
1744769957.1364675,100,433.0
1744770345.9361506,101,433.0
1744771342.972154,102,1112.0
1744771958.800207,103,687.0
1744772242.3221343,104,313.0
1744772671.8476405,105,479.0
1744773427.009181,106,848.0
1744773901.258435,107,528.0
1744774487.8245008,108,654.0
1744774954.6189983,109,520.0
1744775948.0646586,110,1112.0
1744776282.3234277,111,366.0
1744777044.702913,112,854.0
1744777431.2913852,113,433.0
1744777942.012887,114,570.0
1744778713.025015,115,857.0
1744779504.2230284,116,882.0
1744779769.2898262,117,292.0
1744779812.3260741,118,42.0
1744780200.8164787,119,433.0
1744780657.580771,120,507.0
1744781048.1293368,121,433.0
1744781367.2337353,122,354.0
1744781756.8240836,123,433.0
1744782045.29029,124,317.0
1744782824.1812963,125,866.0
1744783212.1595666,126,433.0
1744784036.442083,127,921.0
1744784460.3511097,128,464.0
1744784745.9876137,129,312.0
1744785255.0746484,130,565.0
1744785924.7683089,131,735.0
1744786265.9359674,132,376.0
1744786682.7936811,133,462.0
1744787682.7428668,134,1112.0
1744788110.8119626,135,475.0
1744789051.1453366,136,1048.0
1744789491.5298996,137,485.0
1744789887.4447267,138,438.0
1744790215.2917066,139,359.0
1744790548.2880251,140,366.0
1744791386.7411113,141,932.0
1744791775.9337108,142,433.0
1744792161.036316,143,433.0
1744792363.897678,144,222.0
1744792472.3917093,145,114.0
1744792768.042187,146,325.0
1744793162.5909748,147,433.0
1744793186.8497388,148,22.0
1744793697.8088446,149,567.0
1744794093.0944846,150,433.0
1744794472.3477473,151,416.0
1744795156.0542705,152,766.0
1744795675.4552412,153,577.0
1744796066.7514203,154,433.0
1744796302.8294246,155,259.0
1744796618.306739,156,350.0
1744797019.5377855,157,445.0
1744797410.49975,158,433.0
1744797925.885026,159,577.0
1744798263.6567004,160,374.0
1744798559.0814996,161,327.0
1744798953.8302221,162,436.0
1744799292.7687576,163,375.0
1744799648.1550465,164,390.0
1744800195.727225,165,611.0
1744800674.1364787,166,533.0
1744800945.098488,167,298.0
1744801337.622672,168,433.0
1744802038.8301094,169,785.0
1744802590.9834683,170,608.0
1744803332.76864,171,824.0
1744803760.4538007,172,475.0
1744804514.9527235,173,844.0
1744804951.9470632,174,483.0
1744805338.653174,175,431.0
1744805961.217775,176,691.0
1744806393.0767787,177,479.0
1744806785.36089,178,433.0
1744807313.1755874,179,582.0
1744807630.6115625,180,352.0
1744808065.60312,181,480.0
1744808207.426475,182,152.0
1744808448.5252178,183,262.0
1744808830.3059099,184,421.0
1744809160.9919589,185,365.0
1744809425.7002196,186,294.0
1744809734.010717,187,341.0
1744810007.6053045,188,300.0
1744810513.077938,189,564.0
1744810675.6026657,190,176.0
1744811003.8033617,191,359.0
1744811345.8220353,192,377.0
1744812346.337262,193,1112.0
1744812877.0294805,194,589.0
1744813203.9383059,195,358.0
1744814155.120598,196,1056.0
1744814787.6782508,197,699.0
1744815171.991476,198,424.0
1744815540.9817123,199,405.0
1744816276.0421069,200,813.0
1744816709.4672244,201,482.0
1744817533.5957327,202,921.0
1744817684.267178,203,163.0
1744817867.980435,204,201.0
1744818211.111473,205,381.0
1744818726.7228208,206,576.0
1744819318.9634764,207,656.0
1744819513.1475637,208,211.0
1744819825.3823805,209,346.0
1744820291.5261772,210,516.0
1744820692.2145119,211,441.0
1744821423.6074417,212,817.0
1744821590.3686616,213,181.0
1744821793.071884,214,221.0
1744822149.6556292,215,395.0
1744822841.189274,216,774.0
1744823103.0305867,217,289.0
1744823734.2982814,218,695.0
1744823892.2649887,219,174.0
1744824068.7189252,220,195.0
1744824545.591485,221,532.0
1744824816.490398,222,301.0
1744825083.237807,223,295.0
1744825312.2516139,224,250.0
1744825584.0344818,225,300.0
1744826250.593081,226,739.0
1744826990.715591,227,824.0
1744827985.4795156,228,1112.0
1744828455.0495496,229,523.0
1744829036.8326159,230,648.0
1744829905.3477173,231,968.0
1744830374.486099,232,521.0
1744831370.3118293,233,1112.0
1744831895.165671,234,580.0
1744832101.6947598,235,226.0
1744832434.4582934,236,364.0
1744833206.983091,237,863.0
1744833450.0299833,238,267.0
1744833650.0984228,239,219.0
1744834281.6859589,240,701.0
1744834508.7329361,241,249.0
1744834870.2941883,242,399.0
1744835156.361967,243,312.0
1744835235.2205212,244,83.0
1744835291.25746,245,57.0
1744835719.5427628,246,472.0
1744836341.491294,247,695.0
1744837049.1954594,248,785.0
1744837444.1181223,249,433.0
1744837851.6663454,250,453.0
1744837936.6799347,251,91.0
1744838228.267174,252,321.0
1744839060.3036854,253,925.0
1744839577.244761,254,573.0
1744839811.5661335,255,258.0
1744840236.8700118,256,469.0
1744841053.7354941,257,913.0
1744841698.994566,258,719.0
1744842521.0208004,259,919.0
1744843286.3466842,260,852.0
1744843546.1937945,261,286.0
1744843893.3300772,262,385.0
1744844284.9586496,263,435.0
1744844974.0228093,264,764.0
1744845419.7723591,265,490.0
1744845801.9199722,266,425.0
1744846301.7759242,267,551.0
1744846486.4153638,268,201.0
1744846764.4009037,269,303.0
1744847187.5608904,270,468.0
1744847706.3707814,271,579.0
1744848155.1329842,272,498.0
1744848207.909392,273,52.0
1744848823.254669,274,679.0
1744849283.1719031,275,515.0
1744849865.0692012,276,642.0
1744850677.8639247,277,909.0
1744851288.1061795,278,677.0
1744851742.7890515,279,503.0
1744851967.548617,280,249.0
1744852063.39237,281,101.0
1744852572.1537218,282,565.0
1744852689.8441222,283,127.0
1744853039.661577,284,387.0
1744853415.7434442,285,415.0
1744853801.8298085,286,426.0
1744854233.7539515,287,477.0
1744854391.80016,288,176.0
1744854781.8406117,289,433.0
1744855050.8319833,290,293.0
1744855158.7848938,291,116.0
1744855409.4372466,292,276.0
1744855604.0463533,293,213.0
1744855718.5247605,294,124.0
1744855884.151218,295,181.0
1744856175.910454,296,323.0
1744856256.8503933,297,85.0
1744856401.4936876,298,155.0
1744856714.0876372,299,347.0
1744856792.3185096,300,82.0
1744857123.7857242,301,364.0
1744857214.3418987,302,97.0
1744857544.1037512,303,365.0
1744857752.433926,304,229.0
1744858002.1969323,305,274.0
1744858308.0148778,306,337.0
1744858752.0986974,307,496.0
1744859241.7134125,308,545.0
1744859534.6876702,309,324.0
