Wall time,Step,Value
1746790175.7171009,1,542.0
1746790389.8839025,2,752.0
1746790519.9183629,3,202.0
1746790998.177914,4,769.0
1746791307.9341712,5,501.0
1746791400.8038957,6,147.0
1746791684.4835646,7,458.0
1746792533.9360113,8,1380.0
1746792831.7578316,9,482.0
1746793074.6679394,10,390.0
1746793342.276897,11,432.0
1746793654.7115207,12,507.0
1746794077.5307882,13,687.0
1746794382.9836485,14,496.0
1746794835.4278235,15,732.0
1746795146.7170503,16,502.0
1746795430.6968188,17,460.0
1746795724.1096015,18,474.0
1746796015.5478935,19,470.0
1746796266.4210985,20,405.0
1746796640.5247266,21,428.0
1746797297.8603418,22,1031.0
1746797612.2460508,23,480.0
1746797857.035611,24,352.0
1746798677.1272638,25,1138.0
1746798989.921655,26,494.0
1746799440.8208795,27,728.0
1746799726.8066938,28,460.0
1746800012.9344122,29,459.0
1746800597.2810907,30,942.0
1746800861.573112,31,425.0
1746801178.5039415,32,512.0
1746801460.6191797,33,455.0
1746802133.4212253,34,1087.0
1746802220.6762938,35,138.0
1746802508.601305,36,463.0
1746802731.807613,37,357.0
1746802994.9440763,38,420.0
1746803490.566003,39,798.0
1746803803.4503913,40,503.0
1746804114.0574253,41,499.0
1746804271.4985108,42,252.0
1746804579.9766607,43,495.0
1746804855.7468371,44,446.0
1746805168.0164056,45,502.0
1746805473.1150792,46,490.0
1746805907.4117005,47,701.0
1746806369.6577733,48,743.0
1746806646.8917854,49,446.0
1746806919.8659558,50,439.0
1746807214.0912306,51,473.0
1746808700.224008,52,468.0
1746809462.0818212,53,835.0
1746809735.1469045,54,439.0
1746810403.5105555,55,1071.0
1746810687.4304085,56,455.0
1746810949.6636305,57,420.0
1746811235.4036498,58,460.0
1746811666.119386,59,693.0
1746811979.479427,60,508.0
1746812256.22771,61,443.0
1746812529.4064724,62,437.0
1746812775.534921,63,394.0
1746813087.8278973,64,502.0
1746813369.1140594,65,450.0
1746813434.55838,66,102.0
1746813878.643112,67,716.0
1746814200.7465992,68,516.0
1746814687.37453,69,784.0
1746815010.7068038,70,520.0
1746815283.5015411,71,437.0
1746816160.64237,72,1414.0
1746816271.025415,73,176.0
1746817006.3697765,74,1188.0
1746817477.770327,75,757.0
1746817865.001178,76,622.0
1746818165.3685145,77,482.0
1746818452.1773918,78,460.0
1746818812.1226423,79,580.0
1746819502.7748516,80,1113.0
1746819819.263522,81,508.0
1746820423.4485402,82,975.0
1746820489.118642,83,102.0
1746820812.3558328,84,517.0
1746821155.8635628,85,553.0
1746821455.5449219,86,480.0
1746821709.5054276,87,411.0
1746821971.3795805,88,418.0
1746822261.973755,89,467.0
1746822594.4066255,90,535.0
1746822860.4324162,91,427.0
1746823311.9511476,92,724.0
1746823333.4434733,93,31.0
1746823660.2683609,94,522.0
1746823987.4819221,95,527.0
1746824690.6314452,96,1131.0
1746824970.1660006,97,448.0
1746825259.419111,98,465.0
1746825653.7066321,99,631.0
1746825990.1719387,100,541.0
1746826535.2435565,101,880.0
1746827032.3773565,102,802.0
1746827910.357833,103,1413.0
1746828218.7951634,104,494.0
1746828581.412419,105,583.0
1746828893.617797,106,502.0
1746829201.0922394,107,496.0
1746829524.4358518,108,521.0
1746830854.7096045,109,2150.0
1746830981.424312,110,202.0
1746831600.4834864,111,998.0
1746831919.0935197,112,513.0
1746832264.251907,113,553.0
1746832545.1773562,114,450.0
1746832578.7805562,115,51.0
1746832883.1641698,116,490.0
1746833268.7102022,117,620.0
1746833582.0410087,118,505.0
1746834259.3799977,119,1093.0
1746834566.5414236,120,494.0
1746834910.2291079,121,553.0
1746835879.7347684,122,1564.0
1746836560.8171353,123,1099.0
1746836891.0940185,124,532.0
1746837365.2184916,125,763.0
1746837715.7756314,126,563.0
1746838147.3987515,127,698.0
1746838794.0226696,128,1044.0
1746839798.2987363,129,1621.0
1746840562.4893994,130,1237.0
1746840897.8938537,131,540.0
1746840962.596453,132,102.0
1746841212.9963672,133,405.0
1746841232.687833,134,29.0
1746841592.345216,135,578.0
1746841896.1909168,136,487.0
1746842626.965696,137,1187.0
1746843115.715802,138,791.0
1746843954.0662632,139,543.0
1746844343.1091561,140,599.0
1746844663.884721,141,518.0
1746845166.6980233,142,809.0
1746845437.6192963,143,437.0
1746845800.5622964,144,586.0
1746846821.7377512,145,1651.0
1746847148.0596101,146,528.0
1746848004.7872956,147,1230.0
1746848436.8822997,148,703.0
1746848566.4542797,149,203.0
1746849125.2370667,150,902.0
1746849852.9286091,151,1178.0
1746850225.4830503,152,602.0
1746850700.1154563,153,767.0
1746851012.5934641,154,503.0
1746851404.2821558,155,631.0
1746851703.6326978,156,483.0
1746851985.0733252,157,453.0
1746852823.6844573,158,1358.0
1746852959.0705884,159,218.0
1746853340.1501215,160,615.0
1746853860.289116,161,841.0
1746854177.9313388,162,509.0
1746854576.3624787,163,645.0
1746855491.012023,164,1482.0
1746855814.2562208,165,522.0
1746856200.279789,166,622.0
1746856936.2299397,167,1189.0
1746857695.7596214,168,1230.0
1746858069.5437791,169,602.0
1746858496.816415,170,690.0
1746858654.7777426,171,252.0
1746859062.592925,172,654.0
1746859477.956818,173,670.0
1746860014.202112,174,867.0
1746860624.3826506,175,985.0
1746861737.283482,176,1797.0
1746862125.1697083,177,628.0
1746862525.135755,178,635.0
1746862989.3335817,179,750.0
1746863258.1244786,180,434.0
1746863525.5103278,181,432.0
1746864125.7263427,182,971.0
1746864546.2851644,183,680.0
1746865162.1869125,184,936.0
1746866574.256149,185,2281.0
1746867177.8935142,186,973.0
1746867570.8474798,187,633.0
1746867946.4739323,188,606.0
1746868442.4269304,189,802.0
1746868910.1707313,190,752.0
1746869430.7968538,191,838.0
1746869707.5192058,192,444.0
1746870028.8117597,193,515.0
1746870619.9576385,194,952.0
1746870937.2031357,195,510.0
1746871422.405724,196,784.0
1746871845.4775167,197,683.0
1746872178.1935365,198,536.0
1746872254.9313207,199,121.0
1746872421.249258,200,265.0
1746872605.3705637,201,295.0
1746873184.459734,202,928.0
1746873560.003441,203,606.0
1746874004.2377632,204,717.0
1746874471.638395,205,752.0
1746874763.7835085,206,469.0
1746875059.6017582,207,476.0
1746876048.1211138,208,1599.0
1746876625.1717916,209,931.0
1746877701.46337,210,1743.0
1746878207.5593429,211,816.0
1746878729.4641783,212,842.0
1746879128.9626594,213,645.0
1746879462.497883,214,539.0
1746879982.9374685,215,841.0
1746881104.1009185,216,1813.0
1746881380.7910085,217,445.0
1746881694.7789717,218,504.0
1746882380.010189,219,1106.0
1746882718.09427,220,543.0
1746882876.2040262,221,252.0
1746883223.9626737,222,560.0
1746883540.9523685,223,509.0
1746883839.4653847,224,480.0
1746884227.3593671,225,625.0
1746884384.2842543,226,252.0
1746884743.8431273,227,580.0
1746885164.3054023,228,681.0
1746885523.874537,229,578.0
1746886951.5336928,230,2315.0
1746887690.6898036,231,1184.0
1746888003.050409,232,504.0
1746888499.9632638,233,803.0
1746889625.0564752,234,1816.0
1746889783.6786318,235,252.0
1746890803.6915627,236,1646.0
1746891131.997806,237,525.0
1746891548.458296,238,674.0
1746891854.6492453,239,490.0
1746892404.2464082,240,887.0
1746892711.1742449,241,494.0
1746892965.877823,242,409.0
1746893301.0540488,243,539.0
1746894023.4226193,244,1169.0
1746894685.8074408,245,1068.0
1746894855.3120315,246,270.0
1746895261.6958706,247,656.0
1746895949.3654463,248,1110.0
1746896255.2808597,249,494.0
1746896580.0613127,250,524.0
1746896989.4071012,251,659.0
1746897475.1463697,252,782.0
1746898409.273847,253,1510.0
1746898772.6021981,254,586.0
1746899079.9992483,255,496.0
1746899415.763632,256,540.0
1746899738.1400325,257,520.0
1746900432.4860837,258,1121.0
1746900717.662805,259,460.0
1746900975.3649783,260,413.0
1746901066.919424,261,145.0
1746901121.8290539,262,85.0
1746901718.024727,263,964.0
1746903420.4293706,264,2752.0
1746903747.9112592,265,527.0
1746903892.4191601,266,231.0
1746904136.8527677,267,393.0
1746904445.2880378,268,497.0
1746904819.658837,269,605.0
1746905891.2491133,270,1728.0
1746906189.9312143,271,482.0
1746906347.425954,272,252.0
1746906687.682245,273,550.0
1746906986.2295427,274,482.0
1746907276.480736,275,466.0
1746907574.9605815,276,480.0
1746907908.8224943,277,536.0
1746908364.6958785,278,736.0
1746908729.385649,279,589.0
1746909019.3371055,280,467.0
1746909313.653049,281,476.0
1746909626.6994183,282,504.0
1746909925.0875711,283,479.0
1746910507.2665973,284,939.0
1746910778.0453017,285,437.0
1746911160.0413706,286,615.0
1746911540.4765959,287,611.0
1746911857.4997232,288,511.0
1746912166.3198786,289,498.0
1746912386.0720153,290,352.0
1746913159.2640417,291,1252.0
1746913410.4025772,292,402.0
1746913942.8203144,293,860.0
1746914313.5338883,294,596.0
1746914687.1409454,295,601.0
1746914997.463788,296,502.0
1746915599.2136903,297,975.0
1746916976.6007962,298,2225.0
1746917764.3165636,299,1273.0
1746918044.860388,300,451.0
1746918368.1159124,301,520.0
1746918695.0752456,302,529.0
1746918990.074808,303,474.0
1746919303.4082966,304,502.0
1746919616.520698,305,505.0
1746919918.0565648,306,485.0
1746920240.268163,307,520.0
1746920861.2493687,308,1005.0
1746921891.9121065,309,1673.0
1746922257.938073,310,591.0
1746924154.8829184,311,3072.0
1746924507.022662,312,569.0
1746924818.8538027,313,503.0
1746925182.0932994,314,586.0
1746925536.2063859,315,572.0
1746925856.044011,316,515.0
1746926137.1194148,317,452.0
1746926454.6208704,318,513.0
1746926748.1001012,319,474.0
1746927305.8773713,320,902.0
1746927350.3769526,321,68.0
1746927842.2405345,322,794.0
1746928443.8336222,323,974.0
1746928916.0446224,324,763.0
1746928955.1891208,325,60.0
1746929481.873249,326,849.0
1746929767.7329392,327,459.0
1746930115.094598,328,560.0
1746931538.0844367,329,2304.0
1746932241.1632104,330,1137.0
