Wall time,Step,Value
1746789851.8216224,1,433.0
1746789873.308713,2,477.0
1746789942.7370954,3,223.0
1746790063.9824848,4,209.0
1746790101.3186321,5,62.0
1746790351.985331,6,433.0
1746790991.1377985,7,1112.0
1746791052.117811,8,102.0
1746791301.633666,9,433.0
1746791715.612729,10,717.0
1746791964.3236802,11,431.0
1746792079.543967,12,198.0
1746792334.3264177,13,439.0
1746792738.3916028,14,700.0
1746792988.84119,15,433.0
1746793240.1752152,16,433.0
1746793490.0754764,17,433.0
1746793760.034713,18,465.0
1746793876.1653888,19,200.0
1746794159.579195,20,488.0
1746794392.748124,21,402.0
1746794643.8367126,22,433.0
1746794894.6764753,23,433.0
1746795145.1715121,24,433.0
1746795237.626454,25,157.0
1746795290.3458107,26,88.0
1746795541.244939,27,433.0
1746795652.8811536,28,189.0
1746795903.3569126,29,433.0
1746796154.5030053,30,433.0
1746796584.6847897,31,617.0
1746796843.8880951,32,434.0
1746797100.7117698,33,433.0
1746797352.6898663,34,433.0
1746797612.250364,35,433.0
1746797892.3965595,36,460.0
1746798143.418675,37,433.0
1746798403.6732516,38,433.0
1746798730.0078394,39,435.0
1746798983.371441,40,433.0
1746799044.2730758,41,102.0
1746799295.333782,42,434.0
1746799547.875924,43,436.0
1746799766.988766,44,377.0
1746800018.0033746,45,433.0
1746800315.2473688,46,512.0
1746800566.4040053,47,433.0
1746800699.8571599,48,230.0
1746801055.8168342,49,615.0
1746801389.8815327,50,575.0
1746801641.2587907,51,433.0
1746801902.120526,52,447.0
1746802152.5228124,53,433.0
1746802403.6324325,54,433.0
1746803045.7125072,55,1112.0
1746803296.2829688,56,433.0
1746803547.3126476,57,433.0
1746803973.465505,58,733.0
1746804421.8147993,59,775.0
1746804853.144598,60,744.0
1746805032.3534212,61,308.0
1746805284.061732,62,434.0
1746805536.0581236,63,434.0
1746806022.707334,64,842.0
1746806663.8319993,65,1112.0
1746806915.1554084,66,435.0
1746807166.3312309,67,433.0
1746807576.7883725,68,286.0
1746808627.963975,69,448.0
1746809069.6990232,70,511.0
1746809405.5918822,71,434.0
1746809663.9779534,72,435.0
1746810324.0311809,73,1112.0
1746810581.8719194,74,434.0
1746811236.5589712,75,1112.0
1746811493.125627,76,433.0
1746811816.8917298,77,549.0
1746812163.7777593,78,589.0
1746812820.099153,79,1112.0
1746813445.1340203,80,1062.0
1746813699.3972485,81,433.0
1746813957.4106612,82,433.0
1746814609.1706412,83,1112.0
1746814864.6264148,84,433.0
1746815121.3039236,85,433.0
1746815385.712197,86,450.0
1746815642.4308188,87,433.0
1746815897.5740843,88,433.0
1746816425.664529,89,899.0
1746816703.1528413,90,468.0
1746817128.7301612,91,722.0
1746817498.3568084,92,631.0
1746817812.4966056,93,532.0
1746818066.9329748,94,433.0
1746818321.2292888,95,434.0
1746818616.938317,96,502.0
1746818872.1242542,97,433.0
1746819125.8849325,98,433.0
1746819380.2617886,99,433.0
1746819639.0127828,100,439.0
1746819894.4315298,101,434.0
1746820149.058527,102,433.0
1746820548.847193,103,682.0
1746820802.9338403,104,433.0
1746821059.284538,105,433.0
1746821321.3735511,106,442.0
1746821575.391341,107,433.0
1746821786.2947161,108,355.0
1746822041.2572958,109,433.0
1746822298.6004295,110,433.0
1746822556.9105294,111,438.0
1746822813.6375973,112,433.0
1746823070.674866,113,436.0
1746823181.208208,114,185.0
1746823436.8033576,115,434.0
1746823692.3890452,116,433.0
1746823990.922654,117,505.0
1746824245.6441782,118,433.0
1746824500.881592,119,433.0
1746824758.0813065,120,434.0
1746825054.3690672,121,498.0
1746825112.7391434,122,97.0
1746825262.9202015,123,252.0
1746825617.8760965,124,605.0
1746825879.41871,125,446.0
1746826134.4390156,126,433.0
1746826786.5605412,127,1112.0
1746827042.9016237,128,436.0
1746827296.7338657,129,433.0
1746827551.3433547,130,433.0
1746827805.918766,131,433.0
1746828061.0033863,132,433.0
1746828316.8687272,133,434.0
1746828721.0524602,134,689.0
1746829138.689335,135,710.0
1746829686.9165666,136,934.0
1746829941.0204086,137,433.0
1746830290.7160363,138,594.0
1746830576.8178372,139,484.0
1746830832.5809417,140,433.0
1746831091.8593395,141,439.0
1746831417.1868865,142,555.0
1746831625.2257197,143,352.0
1746831960.2808502,144,569.0
1746832138.249312,145,301.0
1746832303.4951189,146,278.0
1746832562.467048,147,437.0
1746832758.692102,148,332.0
1746833028.0513263,149,455.0
1746833451.246536,150,717.0
1746833707.2908125,151,433.0
1746834016.8370214,152,522.0
1746834272.0296233,153,433.0
1746834459.421614,154,318.0
1746834659.4249477,155,338.0
1746834914.2208612,156,433.0
1746835168.0365098,157,433.0
1746835603.1003067,158,744.0
1746835858.8770473,159,434.0
1746836188.6643105,160,559.0
1746836254.3565812,161,109.0
1746836307.953396,162,87.0
1746836392.76707,163,143.0
1746836721.2968452,164,555.0
1746836905.8801334,165,312.0
1746837161.7081552,166,433.0
1746837653.2688684,167,838.0
1746837907.4837284,168,433.0
1746838162.8350666,169,435.0
1746838561.1787508,170,678.0
1746838864.8445485,171,516.0
1746839107.5887208,172,409.0
1746839365.3692675,173,435.0
1746839620.845641,174,433.0
1746840202.1781008,175,990.0
1746840732.3115108,176,904.0
1746841026.4060721,177,498.0
1746841163.7551534,178,233.0
1746841725.302194,179,959.0
1746842005.6603148,180,472.0
1746842148.514406,181,241.0
1746842436.022895,182,487.0
1746842969.7157767,183,906.0
1746843162.1936445,184,325.0
1746843837.2423272,185,433.0
1746844135.1034772,186,433.0
1746844389.67396,187,433.0
1746844501.281856,188,190.0
1746844701.4722905,189,346.0
1746844784.3596087,190,140.0
1746844852.4609034,191,113.0
1746845497.7415476,192,1112.0
1746845720.982477,193,383.0
1746846202.5480099,194,833.0
1746846455.7446477,195,435.0
1746846544.065135,196,149.0
1746846603.7022982,197,99.0
1746846684.949867,198,137.0
1746846872.9543262,199,321.0
1746847517.528411,200,1112.0
1746848134.0622594,201,943.0
1746848392.3154407,202,443.0
1746848630.3919642,203,410.0
1746848834.390565,204,352.0
1746849086.6679704,205,435.0
1746849341.497056,206,436.0
1746849640.6563017,207,515.0
1746849978.3697748,208,583.0
1746850458.2856073,209,826.0
1746851019.9889529,210,965.0
1746851195.6747158,211,302.0
1746851574.0666552,212,652.0
1746851657.6272619,213,142.0
1746851688.42721,214,50.0
1746851742.3742535,215,90.0
1746851832.850755,216,153.0
1746852084.1260607,217,435.0
1746852158.067667,218,125.0
1746852410.0876718,219,433.0
1746852463.9775224,220,90.0
1746852524.7720916,221,102.0
1746852673.0668697,222,254.0
1746852709.7199059,223,61.0
1746852773.0930703,224,106.0
1746852830.941042,225,98.0
1746853084.499804,226,436.0
1746853154.8269916,227,118.0
1746853291.8764513,228,235.0
1746853544.1295745,229,433.0
1746853581.870857,230,61.0
1746853628.7550354,231,77.0
1746853886.02052,232,444.0
1746853943.6493542,233,96.0
1746854027.6393363,234,142.0
1746854091.212989,235,107.0
1746854258.139928,236,286.0
1746854351.9142046,237,160.0
1746854522.0260184,238,293.0
1746854650.8184547,239,220.0
1746855073.8917563,240,732.0
1746855236.7128649,241,277.0
1746855351.7819543,242,197.0
1746855993.090753,243,1112.0
1746856244.6837711,244,433.0
1746856518.8995502,245,475.0
1746856570.781966,246,87.0
1746856820.5873966,247,433.0
1746856931.6989596,248,190.0
1746856996.0736,249,108.0
1746857105.370659,250,187.0
1746857248.6465142,251,245.0
1746857515.3691607,252,463.0
1746857621.717459,253,180.0
1746857962.86481,254,591.0
1746858245.2773538,255,488.0
1746858494.5835757,256,433.0
1746858554.7459946,257,102.0
1746858804.9326415,258,433.0
1746858991.069924,259,317.0
1746859259.6903281,260,467.0
1746859381.4257376,261,207.0
1746859430.5715847,262,82.0
1746859748.5166004,263,549.0
1746859852.9701629,264,178.0
1746859945.5267937,265,157.0
1746860016.1914358,266,120.0
1746860072.630774,267,95.0
1746860322.8365443,268,433.0
1746860369.1852195,269,77.0
1746860535.0208433,270,283.0
1746860666.0261054,271,224.0
1746860735.9513552,272,117.0
1746860986.8613217,273,433.0
1746861065.1662674,274,132.0
1746861331.967752,275,462.0
1746861587.8604362,276,442.0
1746861644.4973001,277,94.0
1746861894.2116394,278,433.0
1746861966.1624825,279,122.0
1746862078.942024,280,192.0
1746862147.5438392,281,116.0
1746862229.1582267,282,134.0
1746862463.7708108,283,399.0
1746862540.5408733,284,130.0
1746862759.0855696,285,376.0
1746862823.4708824,286,107.0
1746862872.3910165,287,81.0
1746863139.3357942,288,458.0
1746863596.9997895,289,792.0
1746863848.21991,290,433.0
