Wall time,Step,Value
1746790446.824498,1,921.0
1746791218.729404,2,1315.0
1746792007.4709356,3,1246.0
1746792619.0922506,4,966.0
1746792916.2883725,5,467.0
1746793128.4823594,6,331.0
1746793288.0799804,7,248.0
1746793564.3265069,8,437.0
1746793928.1659737,9,567.0
1746794290.6620984,10,571.0
1746794636.0998282,11,542.0
1746794964.049862,12,515.0
1746795363.0746288,13,630.0
1746795710.9422817,14,547.0
1746795789.0804377,15,121.0
1746796503.3856559,16,1125.0
1746796928.8601563,17,673.0
1746797311.8058102,18,603.0
1746797585.9718246,19,432.0
1746797932.6011612,20,545.0
1746798666.5452857,21,1154.0
1746798985.331553,22,497.0
1746799460.384883,23,745.0
1746800070.4491148,24,965.0
1746800421.2612176,25,554.0
1746800932.0201268,26,806.0
1746801231.5645504,27,471.0
1746801593.7542334,28,568.0
1746801991.497893,29,627.0
1746802352.782948,30,567.0
1746802676.117883,31,511.0
1746803258.01996,32,920.0
1746803518.2188478,33,410.0
1746803938.4128003,34,661.0
1746804237.442429,35,468.0
1746804551.0438533,36,494.0
1746805271.6852949,37,1142.0
1746805314.895895,38,65.0
1746805869.7372227,39,875.0
1746806299.3185792,40,681.0
1746806559.1038213,41,410.0
1746806928.270394,42,583.0
1746807270.1274579,43,539.0
1746807617.876277,44,542.0
1746807954.401316,45,532.0
1746808295.683392,46,540.0
1746808589.44437,47,461.0
1746808938.1514783,48,548.0
1746809389.8996217,49,713.0
1746809719.1085181,50,519.0
1746810318.8156815,51,952.0
1746810776.2466795,52,720.0
1746811150.100122,53,591.0
1746812597.6133776,54,2292.0
1746813211.1238759,55,972.0
1746813617.389025,56,643.0
1746813929.6923606,57,496.0
1746814481.6408777,58,876.0
1746815495.1274905,59,1612.0
1746815845.0343688,60,552.0
1746816155.294383,61,489.0
1746816279.1628017,62,192.0
1746816586.6452653,63,487.0
1746816978.6814737,64,619.0
1746817299.8038528,65,505.0
1746817620.035913,66,505.0
1746817648.0111425,67,41.0
1746818899.6988041,68,1991.0
1746819678.5674477,69,1239.0
1746819972.3024766,70,467.0
1746820624.2709286,71,1036.0
1746820977.794166,72,560.0
1746821683.284279,73,1121.0
1746822073.6772726,74,617.0
1746822379.487484,75,482.0
1746822982.4120972,76,960.0
1746823448.04201,77,733.0
1746823804.9264839,78,569.0
1746824588.4596992,79,1246.0
1746824629.0904505,80,60.0
1746824953.542038,81,518.0
1746825327.4091566,82,593.0
1746825699.4208515,83,590.0
1746826027.3680677,84,523.0
1746826398.5563793,85,589.0
1746826762.299701,86,577.0
1746827469.4484096,87,1126.0
1746827971.7732253,88,803.0
1746828279.6780026,89,488.0
1746828440.5195625,90,252.0
1746828520.0924516,91,123.0
1746829090.2255673,92,903.0
1746829463.8191624,93,592.0
1746829984.8439145,94,829.0
1746830642.732461,95,1045.0
1746831423.0668359,96,1245.0
1746832275.9107342,97,1357.0
1746832888.0081766,98,972.0
1746833382.3013844,99,783.0
1746833986.5341415,100,957.0
1746834346.9281013,101,570.0
1746835030.083556,102,1088.0
1746835316.281172,103,454.0
1746835695.8845713,104,604.0
1746836400.8867345,105,1124.0
1746836698.0376468,106,474.0
1746837404.5030828,107,1123.0
1746837744.156467,108,541.0
1746838035.8700619,109,463.0
1746838740.4768887,110,1120.0
1746839042.313866,111,476.0
1746839371.4648528,112,522.0
1746839878.894362,113,806.0
1746840225.632341,114,548.0
1746840508.2307928,115,447.0
1746840869.752624,116,574.0
1746841166.7176309,117,473.0
1746841545.0774586,118,602.0
1746841888.6397939,119,547.0
1746842496.491203,120,969.0
1746842835.5906806,121,541.0
1746843101.133594,122,419.0
1746843498.2579088,123,631.0
1746843894.215411,124,631.0
1746844233.5153155,125,540.0
1746844443.9451315,126,332.0
1746844734.0874364,127,460.0
1746845053.0773115,128,505.0
1746845502.4435885,129,717.0
1746845958.0884888,130,726.0
1746846296.0010958,131,534.0
1746846928.5213234,132,1013.0
1746847239.7781358,133,496.0
1746848481.0599108,134,1983.0
1746849674.693515,135,1899.0
1746850374.6603558,136,1113.0
1746850716.3836095,137,545.0
1746851057.0921679,138,540.0
1746851393.996404,139,535.0
1746851506.4318376,140,176.0
1746851750.832583,141,382.0
1746852181.0148787,142,681.0
1746852520.9833221,143,537.0
1746852883.3187332,144,574.0
1746853167.6097648,145,450.0
1746853453.3754833,146,451.0
1746854505.9854534,147,1678.0
1746855159.1763215,148,1043.0
1746855514.219403,149,566.0
1746856254.3653193,150,1176.0
1746856917.3997552,151,1044.0
1746857254.2253702,152,536.0
1746857576.2265944,153,508.0
1746857996.8970585,154,666.0
