Wall time,Step,Value
1746790349.166779,1,276.0
1746790354.548263,2,54.0
1746790371.640026,3,362.0
1746790537.6350985,4,575.0
1746790570.6407342,5,50.0
1746791272.5763788,6,1112.0
1746791545.5238042,7,421.0
1746791952.6020424,8,651.0
1746792183.005036,9,357.0
1746792379.0592692,10,303.0
1746792747.776385,11,571.0
1746793103.9140637,12,544.0
1746793704.2112138,13,931.0
1746794347.9802856,14,995.0
1746794668.3520758,15,502.0
1746794722.3189893,16,82.0
1746794990.583505,17,426.0
1746795460.8772671,18,731.0
1746795859.9022255,19,622.0
1746796245.8269393,20,595.0
1746796724.3895977,21,741.0
1746797108.1678958,22,589.0
1746797325.3617628,23,346.0
1746797712.2434156,24,607.0
1746798320.5788684,25,952.0
1746798506.05782,26,281.0
1746798699.3903291,27,297.0
1746798818.4556,28,188.0
1746799004.2180066,29,292.0
1746799428.8914258,30,659.0
1746799684.9602933,31,393.0
1746799895.9444623,32,330.0
1746800305.9135509,33,656.0
1746800789.667461,34,749.0
1746801045.1257792,35,411.0
1746801247.369148,36,315.0
1746801423.297287,37,282.0
1746801825.7394981,38,632.0
1746802064.6410902,39,379.0
1746802237.003928,40,277.0
1746802930.716455,41,1112.0
1746803626.5605366,42,1112.0
1746803918.5945096,43,460.0
1746803974.352516,44,83.0
1746804150.2043366,45,285.0
1746804602.795262,46,721.0
1746804670.451248,47,105.0
1746804703.9403467,48,51.0
1746804961.4061358,49,417.0
1746805052.9027038,50,148.0
1746805444.7915292,51,633.0
1746805627.718146,52,287.0
1746806084.90596,53,752.0
1746806550.326046,54,749.0
1746806965.9713597,55,655.0
1746807378.4662037,56,655.0
1746807591.8968897,57,339.0
1746808017.685086,58,687.0
1746808279.742893,59,423.0
1746808452.491689,60,281.0
1746808738.6642056,61,460.0
1746809425.863608,62,1112.0
1746809875.7159054,63,735.0
1746810366.062829,64,795.0
1746810698.176092,65,542.0
1746810897.946239,66,323.0
1746811317.424541,67,688.0
1746811751.7756472,68,700.0
1746812449.3459682,69,1112.0
1746812698.602716,70,395.0
1746813205.222458,71,812.0
1746813636.4424303,72,696.0
1746813873.6542728,73,378.0
1746814567.583574,74,1112.0
1746814704.6104722,75,216.0
1746815254.8602903,76,887.0
1746815630.1727605,77,607.0
1746816085.8199131,78,731.0
1746816769.2983806,79,1112.0
1746816942.9648156,80,278.0
1746817368.2819626,81,695.0
1746817559.2188745,82,308.0
1746817730.1832216,83,276.0
1746817828.322397,84,158.0
1746818276.9826403,85,733.0
1746818690.1985977,86,679.0
1746819109.4212275,87,687.0
1746819556.0874538,88,737.0
1746819991.8969126,89,716.0
1746820373.5015504,90,629.0
1746820715.820566,91,564.0
1746821166.774055,92,746.0
1746821430.4877796,93,429.0
1746821805.926289,94,610.0
1746821977.3080676,95,279.0
1746822217.4749017,96,389.0
1746822592.0649931,97,612.0
1746822911.6467755,98,518.0
1746823174.3661308,99,425.0
1746823344.4038534,100,275.0
1746823593.9634776,101,407.0
1746823884.8682315,102,478.0
1746824213.4277284,103,539.0
1746824854.358672,104,1059.0
1746825434.1772604,105,956.0
1746826106.760721,106,1112.0
1746826280.185609,107,284.0
1746826450.5519857,108,280.0
1746826657.6042871,109,346.0
1746827325.092213,110,1112.0
1746827673.4547236,111,574.0
1746827796.7279687,112,208.0
1746828152.5274532,113,589.0
1746828505.5672152,114,583.0
1746829077.5534577,115,940.0
1746829556.868793,116,787.0
1746829741.0819798,117,299.0
1746830032.4091606,118,475.0
1746830385.7353537,119,582.0
1746830653.840333,120,438.0
1746831020.693418,121,601.0
1746831302.5524647,122,461.0
1746831722.857845,123,687.0
1746832090.205621,124,595.0
1746832344.0889976,125,416.0
1746833009.3717525,126,1112.0
1746833533.7447248,127,855.0
1746833970.332092,128,722.0
1746834358.4983637,129,634.0
1746834641.8471634,130,465.0
1746835094.872129,131,750.0
1746835477.5562701,132,634.0
1746835758.867046,133,460.0
1746836035.4860778,134,455.0
1746836399.966289,135,595.0
1746837072.740057,136,1112.0
1746837367.0449595,137,484.0
1746837553.730979,138,305.0
1746837607.5651438,139,86.0
1746837948.4213514,140,567.0
1746838450.399651,141,830.0
1746838678.5524924,142,384.0
1746839344.0134354,143,1112.0
1746839428.573148,144,137.0
1746839742.1843698,145,523.0
1746840202.0610018,146,771.0
1746840381.8008728,147,292.0
1746840783.7766232,148,668.0
1746840977.643407,149,316.0
1746841224.8587976,150,408.0
1746841795.4798481,151,953.0
1746842150.460173,152,597.0
1746842336.1030757,153,303.0
1746842633.4581752,154,486.0
1746842855.7915945,155,364.0
1746843269.9079237,156,702.0
1746843584.0876455,157,522.0
1746843888.5297248,158,509.0
1746844156.4725065,159,447.0
1746844469.276503,160,519.0
1746844715.3244884,161,413.0
1746845009.575229,162,490.0
1746845381.832751,163,624.0
1746846041.5282476,164,1112.0
1746846219.1042595,165,287.0
1746846595.652632,166,618.0
1746846703.1255307,167,174.0
1746846982.2677429,168,458.0
1746847044.3848612,169,99.0
1746847509.6348093,170,752.0
1746847760.0296354,171,410.0
1746848126.6758401,172,595.0
1746848807.903404,173,1112.0
1746849200.053036,174,644.0
1746849482.055766,175,455.0
1746849562.201255,176,123.0
1746850025.295535,177,749.0
1746850391.7734497,178,590.0
1746850667.7011106,179,447.0
1746850845.5798292,180,287.0
