Wall time,Step,Value
1746933442.8963416,1,1738.0
1746933499.9726212,2,1112.0
1746933787.382354,4,3778.0
1746933896.53262,5,1778.0
1746933982.1102688,6,1334.0
1746934065.729184,7,1334.0
1746934211.0555239,8,2445.0
1746934283.9192996,9,1112.0
1746934392.8711624,10,1778.0
1746934476.2448773,11,1334.0
1746934571.877786,12,1556.0
1746934655.6546094,13,1334.0
1746934851.1557698,14,3334.0
1746934934.0088956,15,1334.0
1746935004.8174083,16,1112.0
1746935079.6059792,17,1112.0
1746935180.967441,18,1556.0
1746935261.7482467,19,1281.0
1746935336.548604,20,1112.0
1746935407.1017115,21,1112.0
1746935489.146614,22,1334.0
1746935584.1323895,23,1556.0
1746935656.9352822,24,1112.0
1746935724.9519386,25,1112.0
1746935844.323621,26,2000.0
1746935906.2125347,27,938.0
1746936002.6595957,28,1556.0
1746936209.4869199,30,1556.0
1746936279.0211048,31,1047.0
1746936405.1399248,32,2000.0
1746936477.4139383,33,1142.0
1746936563.227887,34,1334.0
1746936647.3211365,35,1334.0
1746936749.9826388,36,1667.0
1746936834.363391,37,1334.0
1746936905.0738537,38,1112.0
1746936975.1236033,39,1112.0
1746937045.7020104,40,1112.0
1746937169.0015566,41,2000.0
1746937339.0813758,43,1112.0
1746937434.124436,44,1556.0
1746937505.5637748,45,1112.0
1746937683.4771516,46,3001.0
1746937780.729291,47,1556.0
1746937956.079785,48,2915.0
1746938039.6889992,49,1334.0
1746938166.395258,50,2079.0
1746938269.667044,51,1657.0
1746938392.242886,52,2000.0
1746938477.174688,53,1334.0
1746938547.9260914,54,1077.0
1746938629.989779,55,1334.0
1746938723.2482429,56,1556.0
1746938833.063906,57,1778.0
1746938865.8759658,58,472.0
1746938968.6460476,59,1680.0
1746939051.434311,60,1334.0
1746939112.1674137,61,946.0
1746939183.188176,62,1112.0
1746939254.8067105,63,1112.0
1746939403.6716578,64,2445.0
1746939473.154408,65,1090.0
1746939578.5566037,66,1667.0
1746939717.0756564,67,2257.0
1746939906.6381865,68,3227.0
1746940015.3634455,69,1744.0
1746940126.4742,70,1778.0
1746940289.7276518,71,2798.0
1746940362.3490458,72,1112.0
1746940442.264549,73,1312.0
1746940513.469641,74,1112.0
1746940586.6260612,75,1112.0
1746940697.4239345,76,1778.0
1746940792.6919951,77,1556.0
1746940873.7801793,78,1334.0
1746940989.242876,79,2000.0
1746941131.6561508,80,2445.0
1746941242.2431579,81,1778.0
1746941512.128153,82,4730.0
1746941641.650347,83,2223.0
1746941783.8084133,84,2445.0
1746941852.98408,85,1112.0
1746941922.7191398,86,1112.0
1746942006.4790967,87,1334.0
1746942056.8338196,88,729.0
1746942140.3567824,89,1334.0
1746942236.0245924,90,1556.0
1746942293.9320605,91,859.0
1746942365.9660518,92,1112.0
1746942437.954314,93,1112.0
1746942497.3748333,94,920.0
1746942570.8220894,95,1112.0
1746942640.6418214,96,1112.0
1746942735.6698635,97,1556.0
1746942843.8652947,98,1778.0
1746942926.3202024,99,1334.0
1746943002.1719384,100,1112.0
1746943050.8325498,101,686.0
1746943139.7586715,102,1334.0
1746943222.3418756,103,1334.0
1746943283.986711,104,928.0
1746943329.3027096,105,641.0
1746943403.2137468,106,1112.0
1746943476.0248456,107,1112.0
1746943513.6328247,108,508.0
1746943543.1001117,109,435.0
1746943592.9743466,110,806.0
1746943663.205058,111,1049.0
1746943738.145021,112,1112.0
1746943846.9624817,113,1860.0
1746943887.6535988,114,600.0
1746943952.7631788,115,982.0
1746944038.0345488,116,1334.0
1746944109.966329,117,1100.0
1746944157.3754444,118,700.0
1746944263.7219274,119,1778.0
1746944314.8795424,120,827.0
1746944359.6084712,121,632.0
1746944420.5223107,122,951.0
1746944479.8366787,123,881.0
1746944565.0457833,124,1334.0
1746944641.9546442,125,1144.0
1746944712.9709022,126,1112.0
1746944783.9835968,127,1112.0
1746944858.4709811,128,1112.0
1746944985.6539986,130,1112.0
1746945047.833256,131,911.0
1746945138.482816,132,1334.0
1746945261.1400664,134,1556.0
1746945333.9571774,135,1112.0
1746945391.6654096,136,856.0
1746945437.3127599,137,693.0
1746945514.0807445,138,1243.0
1746945584.181586,139,1112.0
1746945653.745997,140,1112.0
1746945736.8669786,141,1334.0
1746945809.3284767,142,1112.0
1746945865.8179643,143,875.0
1746946137.7346044,144,4628.0
1746946211.8543868,145,1112.0
1746946341.3981395,146,2223.0
1746946559.4270074,147,3778.0
1746946976.3381376,148,7334.0
1746947121.4969788,149,2445.0
1746947221.263946,150,1665.0
1746947494.7065964,151,4667.0
1746947641.506397,152,2445.0
1746947867.8698728,154,1091.0
1746948042.242902,155,2889.0
1746948094.7093174,156,791.0
1746948291.11406,157,3334.0
1746948467.5745912,158,2972.0
1746948614.4346802,159,2445.0
1746948739.068193,160,2068.0
1746948808.4718974,161,1112.0
1746948907.3138475,162,1556.0
1746948981.6963668,163,1112.0
1746949091.1987987,164,1755.0
1746949165.115356,165,1112.0
1746949249.1633904,166,1334.0
1746949333.96266,167,1334.0
1746949381.1929464,168,672.0
1746949453.050555,169,1112.0
1746949525.4989033,170,1112.0
1746949631.5911925,172,450.0
1746949715.3763316,173,1334.0
1746949787.908766,174,1112.0
1746949855.5285997,175,1020.0
1746949923.9119084,176,1112.0
1746949997.1294572,177,1112.0
1746950068.3011513,178,1112.0
1746950141.8600495,179,1112.0
1746950212.8340356,180,1112.0
1746950323.82563,181,1778.0
1746950396.027519,182,1112.0
1746950473.1686423,183,1206.0
1746950543.0274084,184,1132.0
1746950616.5624526,185,1112.0
1746950699.8742754,186,1334.0
1746950772.9618342,187,1112.0
1746950845.2921326,188,1112.0
1746950965.5497057,189,1986.0
1746951063.6946678,190,1556.0
1746951148.885228,191,1334.0
1746951234.9729233,192,1334.0
1746951428.7915907,194,2000.0
1746951500.755154,195,1112.0
1746951701.2435212,198,1778.0
1746951766.979925,199,1004.0
1746951826.1926825,200,872.0
1746951901.8945034,201,1171.0
1746952025.2438862,202,2000.0
1746952135.5799258,203,1760.0
1746952233.0788636,204,1556.0
1746952360.997862,206,626.0
1746952432.4426885,207,1112.0
1746952538.2673078,208,1667.0
1746952625.7583573,209,1387.0
1746952735.380421,210,1778.0
1746952859.6176262,212,778.0
