Wall time,Step,Value
1746933807.391029,2,1667.0
1746933986.1156669,4,1334.0
1746934164.5773466,6,1334.0
1746934262.4396155,7,1667.0
1746934440.0528963,9,1667.0
1746934630.6085494,11,1667.0
1746934730.2758727,12,1667.0
1746934830.1717277,13,1667.0
1746934910.3675406,14,1334.0
1746935002.4380815,15,1556.0
1746935096.4145105,16,1556.0
1746935199.3619196,17,1667.0
1746935301.24645,18,1667.0
1746935408.15408,19,1778.0
1746935515.1396205,20,1778.0
1746935596.5952675,21,1334.0
1746935664.732216,22,1112.0
1746935745.999988,23,1334.0
1746935895.5202148,25,1334.0
1746935962.8964045,26,1112.0
1746936147.5776591,28,1556.0
1746936369.175844,31,1112.0
1746936469.5630257,32,1667.0
1746936538.8869796,33,1112.0
1746936637.796107,34,1667.0
1746936736.6224217,35,1667.0
1746936934.9826553,37,1667.0
1746937226.1824734,40,1667.0
1746937326.1164684,41,1667.0
1746937524.6252434,43,1667.0
1746937622.8573542,44,1667.0
1746937721.7979054,45,1667.0
1746937820.5119383,46,1667.0
1746937920.173974,47,1667.0
1746937989.7770464,48,1131.0
1746938227.3903735,50,2334.0
1746938326.3259556,51,1667.0
1746938623.1421878,54,1667.0
1746938721.2081587,55,1667.0
1746938787.8643754,56,1112.0
1746938885.413619,57,1667.0
1746938983.4307456,58,1667.0
1746939283.0881944,61,1667.0
1746939383.164061,62,1667.0
1746939482.3042428,63,1667.0
1746939580.4086113,64,1667.0
1746939679.246121,65,1667.0
1746939778.849028,66,1667.0
1746939846.5511084,67,1112.0
1746939946.105793,68,1667.0
1746940014.8784714,69,1112.0
1746940115.4949899,70,1667.0
1746940317.6605217,72,1667.0
1746940386.8679066,73,1112.0
1746940457.9532926,74,1112.0
1746940527.051651,75,1112.0
1746940686.8622174,77,1112.0
1746940787.3635764,78,1667.0
1746940855.5116465,79,1112.0
1746940954.609633,80,1667.0
1746941133.6852612,82,1667.0
1746941232.6170824,83,1667.0
1746941469.5959647,85,1667.0
1746941561.425722,86,1556.0
1746941661.4069126,87,1667.0
1746941759.6648514,88,1667.0
1746941857.8391562,89,1667.0
1746941950.2743893,90,1556.0
1746942181.3587093,92,2334.0
1746942280.8775218,93,1667.0
1746942383.2459528,94,1667.0
1746942451.1223884,95,1112.0
1746942668.8529608,97,1667.0
1746942767.0837936,98,1667.0
1746942902.505594,100,1112.0
1746943001.5098014,101,1667.0
1746943071.2481108,102,1112.0
1746943170.887035,103,1667.0
1746943240.4936786,104,1112.0
1746943339.4009297,105,1667.0
1746943407.8787389,106,1112.0
1746943476.8415618,107,1112.0
1746943683.3408036,110,1112.0
1746943718.8001406,111,516.0
1746943939.2563803,114,1334.0
1746944077.2273846,116,1112.0
1746944176.2273352,117,1667.0
1746944245.1099055,118,1112.0
1746944313.6737182,119,1112.0
1746944414.1124525,120,1667.0
1746944513.831019,121,1667.0
1746944582.599496,122,1112.0
1746944711.0745828,124,1334.0
1746944780.8640683,125,1112.0
1746944849.6885617,126,1112.0
1746944920.022036,127,1112.0
1746945019.9044292,128,1667.0
1746945192.5739129,130,1112.0
1746945263.4213383,131,1112.0
1746945498.2179198,134,1112.0
1746945565.430766,135,1112.0
1746945735.4152203,137,1112.0
1746945793.6402647,138,934.0
1746945959.9728975,140,1667.0
1746946128.991224,142,1112.0
1746946209.4835217,143,1334.0
1746946309.4675226,144,1667.0
1746946377.5259984,145,1112.0
1746946478.2249546,146,1667.0
1746946546.5854623,147,1112.0
1746946718.0083098,149,1112.0
1746946786.0218372,150,1112.0
1746946834.5315561,151,732.0
1746946933.7111568,152,1667.0
1746947122.420298,154,1112.0
1746947222.6892653,155,1667.0
1746947291.56646,156,1112.0
1746947463.83316,158,1112.0
1746947532.206269,159,1112.0
1746947601.5968406,160,1112.0
1746947737.8079505,162,1112.0
1746947837.292486,163,1667.0
1746948006.4083734,165,1112.0
1746948106.860185,166,1667.0
1746948266.663976,168,1112.0
1746948366.7388623,169,1667.0
1746948435.694732,170,1112.0
1746948582.7753747,172,1334.0
1746948651.7704477,173,1112.0
1746948720.0943906,174,1112.0
1746948882.0524547,176,1556.0
1746948962.8462918,177,1334.0
1746949082.262961,178,2000.0
1746949151.8228943,179,1112.0
1746949311.8739595,181,1112.0
1746949406.7557132,182,1556.0
1746949475.015129,183,1112.0
1746949542.193996,184,1112.0
1746949640.8687518,185,1667.0
1746949740.52028,186,1667.0
1746949808.3698354,187,1112.0
1746949908.5200899,188,1667.0
1746950003.94592,189,1556.0
1746950183.6444256,191,1334.0
1746950251.652641,192,1112.0
1746950518.3084033,195,1667.0
1746950856.723596,199,1667.0
1746950937.7397704,200,1334.0
1746951107.0440156,202,1112.0
1746951175.1881895,203,1112.0
1746951244.722717,204,1112.0
1746951413.1372786,206,1112.0
1746951494.9801853,207,1334.0
1746951562.241517,208,1112.0
1746951631.1154635,209,1112.0
1746951711.8747313,210,1334.0
1746951951.458886,213,1667.0
1746952052.3026302,214,1667.0
1746952134.7936037,215,1334.0
1746952236.1287456,216,1667.0
1746952517.1861403,219,1667.0
1746952585.550661,220,1112.0
1746952667.8962362,221,1334.0
1746952737.823497,222,1112.0
1746952819.3127093,223,1334.0
1746952899.9332354,224,1334.0
1746953102.1373792,226,1667.0
1746953170.1317225,227,1112.0
1746953239.7192984,228,1112.0
1746953399.1918247,230,990.0
1746953465.3155327,231,1094.0
1746953523.5929499,232,964.0
1746953591.4099252,233,1112.0
1746953692.7856479,234,1667.0
1746953742.5825787,235,774.0
1746953847.8774376,236,1783.0
1746953933.4933379,238,690.0
1746953978.9559836,239,727.0
1746954055.529171,241,739.0
1746954098.9022985,242,652.0
1746954128.006085,243,438.0
1746954212.351361,245,643.0
1746954277.1329334,246,1009.0
1746954301.1169856,247,338.0
1746954333.3530087,248,475.0
1746954369.8026223,249,543.0
1746954403.2417252,250,473.0
1746954469.336979,251,1065.0
1746954542.7879953,252,1164.0
1746954584.889963,253,628.0
1746954627.546366,254,648.0
1746954668.6116135,255,620.0
1746954749.487231,256,1334.0
1746954888.9372158,259,596.0
1746954933.1081762,260,672.0
